actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-23T02:11:07.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-23T02:11:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-23T02:11:10.0Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2022-10-23T02:11:10Z,40000,,,0,,Jump Ball D. Sabonis vs. I. Zubac: Tip to H. Barnes,"[203084, 1627734, 1627826]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-10-23T02:11:22.2Z,1,REGULAR,3pt,Jump Shot,[],1628989,76.82325886990802,11.27450980392157,1610612758,3,0,2022-10-23T02:11:28Z,70000,-194.0,165.0,1,right,K. Huerter 25' 3PT  (3 PTS) (D. Sabonis 1 AST),"[1628989, 1627734]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,25.46,Made,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2022-10-23T02:11:42.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,8.229303547963205,42.40196078431372,1610612746,3,0,2022-10-23T02:11:49Z,90000,38.0,25.0,1,left,MISS I. Zubac turnaround bank Hook,[1627826],1610612746.0,LAC,turnaround bank,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,4.54,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-10-23T02:11:45.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,3,0,2022-10-23T02:11:45Z,100000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M15.00S,2022-10-23T02:11:51.2Z,1,REGULAR,3pt,Jump Shot,[],1627734,68.15045992115637,61.51960784313726,1610612758,3,0,2022-10-23T02:11:57Z,110000,58.0,247.0,1,right,MISS D. Sabonis 25' 3PT,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,25.35,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-10-23T02:11:55.2Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,3,0,2022-10-23T02:11:57Z,120000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M03.00S,2022-10-23T02:12:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,5.863994743758213,63.23529411764706,1610612746,3,0,2022-10-23T02:12:11Z,130000,-66.0,3.0,1,left,MISS N. Powell 6' Layup - blocked,"[1626181, 1628368]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,6.63,Missed,,,,,,,,,Fox,1628368.0,,,,,,,,
14,PT11M03.00S,2022-10-23T02:12:03.6Z,1,REGULAR,block,,[],1628368,,,1610612746,3,0,2022-10-23T02:12:06Z,140000,,,0,,D. Fox BLOCK (1 BLK),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2022-10-23T02:12:03.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,3,0,2022-10-23T02:12:11Z,150000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,13.0,,,,,,,,,,,,,
