actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-29T22:10:44.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-29T22:10:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-29T22:10:47.9Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2022-10-29T22:10:48Z,40000,,,0,,Jump Ball B. Adebayo vs. D. Sabonis: Tip to K. Lowry,"[200768, 1628389, 1627734]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2022-10-29T22:11:12.7Z,1,REGULAR,2pt,Jump Shot,[],1629639,97.58541392904073,90.68627450980392,1610612748,0,0,2022-10-29T22:11:24Z,70000,203.0,-30.0,1,right,MISS T. Herro 20' fadeaway Shot,[1629639],1610612748.0,MIA,fadeaway,,,Herro,T. Herro,,,,,Mid-Range,16-24 Right,20.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-10-29T22:11:12.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,0,0,2022-10-29T22:11:24Z,80000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Mid-Range,16-24 Right,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2022-10-29T22:11:17.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612748,0,0,2022-10-29T22:12:28Z,90000,,,0,,MIA shot clock Team TURNOVER,[],1610612748.0,MIA,,,,,,,,,,Restricted Area,0-8 Center,,,,2882.0,,,,,,,,,,,,,,,,
10,PT11M14.00S,2022-10-29T22:11:45.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,24.26084099868594,83.57843137254902,1610612758,3,0,2022-10-29T22:13:23Z,100000,-168.0,176.0,1,left,K. Huerter 24' 3PT pullup (3 PTS) (D. Sabonis 1 AST),"[1628989, 1627734]",1610612758.0,SAC,pullup,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,24.3,Made,,,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,
12,PT10M54.00S,2022-10-29T22:12:05.7Z,1,REGULAR,2pt,Jump Shot,[],1628997,94.1688567674113,91.66666666666666,1610612748,3,0,2022-10-29T22:12:10Z,120000,208.0,2.0,1,right,MISS C. Martin 20' Jump Shot,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Right,20.83,Missed,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2022-10-29T22:12:08.7Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,3,0,2022-10-29T22:12:10Z,130000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Mid-Range,16-24 Right,,,12.0,,,,,,1.0,1.0,0.0,,,,,,,,,
14,PT10M48.00S,2022-10-29T22:12:11.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628368,30.436925098554536,70.83333333333334,1610612758,3,0,2022-10-29T22:12:19Z,140000,-104.0,234.0,1,left,MISS D. Fox 25' running 3PT,[1628368],1610612758.0,SAC,running,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,25.58,Missed,,,,,,,,,,,,,,,,,,
15,PT10M44.00S,2022-10-29T22:12:14.5Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,3,0,2022-10-29T22:12:14Z,150000,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,14.0,,,,,,1.0,0.0,1.0,,,,,,,,,
