actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-09T01:40:34.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-09T01:40:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-09T01:40:36.7Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612742,0,0,2022-02-09T01:40:36Z,40000,,,0,,Jump Ball D. Powell vs. I. Stewart: Tip to L. Doncic,"[1629029, 203939, 1630191]",1610612742.0,DAL,startperiod,L. Doncic,1629029.0,Doncic,L. Doncic,Powell,203939.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-02-09T01:40:55.9Z,1,REGULAR,foul,personal,['2freethrow'],1628977,,,1610612742,0,0,2022-02-09T01:41:10Z,70000,,,0,,H. Diallo shooting personal FOUL (1 PF) (Doncic 2 FT),"[1628977, 1629029]",1610612765.0,DET,shooting,,,Diallo,H. Diallo,,,,,1627962.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,,,,
9,PT11M39.00S,2022-02-09T01:41:22.2Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,0,0,2022-02-09T01:41:22Z,90000,,,0,,MISS L. Doncic Free Throw 1 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,Missed,,,,,,,,,,,,,,,
10,PT11M39.00S,2022-02-09T01:41:22.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,0,0,2022-02-09T01:41:22Z,100000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M39.00S,2022-02-09T01:41:37.4Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,1,0,2022-02-09T01:41:37Z,110000,,,0,,L. Doncic Free Throw 2 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,Made,,1.0,,,,,,,,,,,,,
12,PT11M26.00S,2022-02-09T01:41:55.1Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612765,1,0,2022-02-09T01:42:17Z,120000,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Grant 2 FT),"[1627827, 203924]",1610612742.0,DAL,shooting,,,Finney-Smith,D. Finney-Smith,,,,,1627962.0,1.0,0.0,Grant,203924.0,,,,,,,,,,,,,,,,
15,PT11M26.00S,2022-02-09T01:42:06.6Z,1,REGULAR,stoppage,other,[],0,,,1610612765,1,0,2022-02-09T01:43:35Z,135000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M26.00S,2022-02-09T01:42:18.1Z,1,REGULAR,freethrow,1 of 2,[],203924,,,1610612765,1,1,2022-02-09T01:42:18Z,140000,,,0,,J. Grant Free Throw 1 of 2 (1 PTS),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,Made,,1.0,,,,,,,,,,,,,
16,PT11M26.00S,2022-02-09T01:43:26.0Z,1,REGULAR,freethrow,2 of 2,[],203924,,,1610612765,1,2,2022-02-09T01:43:26Z,150000,,,0,,J. Grant Free Throw 2 of 2 (2 PTS),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,Made,,2.0,,,,,,,,,,,,,
17,PT11M17.00S,2022-02-09T01:43:36.3Z,1,REGULAR,turnover,bad pass,[],1627827,,,1610612742,1,2,2022-02-09T01:43:39Z,160000,,,0,,D. Finney-Smith bad pass TURNOVER (1 TO),"[1627827, 1630191]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,1.0,Stewart,1630191.0,,,,,,,,,,
18,PT11M17.00S,2022-02-09T01:43:36.3Z,1,REGULAR,steal,,[],1630191,,,1610612765,1,2,2022-02-09T01:43:38Z,170000,,,0,,I. Stewart STEAL (1 STL),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT11M12.00S,2022-02-09T01:43:43.8Z,1,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612765,1,2,2022-02-09T01:43:50Z,180000,,,0,,J. Brunson shooting personal FOUL (1 PF) (Diallo 2 FT),"[1628973, 1628977]",1610612742.0,DAL,shooting,,,Brunson,J. Brunson,,,,,101283.0,1.0,0.0,Diallo,1628977.0,,,,,,,,,,,,,,,,
21,PT11M12.00S,2022-02-09T01:44:11.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628977,,,1610612765,1,3,2022-02-09T01:44:32Z,200000,,,0,,H. Diallo Free Throw 1 of 2 (1 PTS),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,Made,,1.0,,,,,,,,,,,,,
22,PT11M12.00S,2022-02-09T01:44:11.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628977,,,1610612765,1,3,2022-02-09T01:44:32Z,210000,,,0,,MISS H. Diallo Free Throw 2 of 2,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,Missed,,,,,,,,,,,,,,,
23,PT11M10.00S,2022-02-09T01:44:13.3Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,1,3,2022-02-09T01:44:32Z,220000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,22.0,,,,,1.0,1.0,0.0,,,,,,,
24,PT10M55.00S,2022-02-09T01:44:45.8Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,1,3,2022-02-09T01:44:50Z,230000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1630180]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,1.0,Bey,1630180.0,,,,,,,,,,
25,PT10M55.00S,2022-02-09T01:44:45.8Z,1,REGULAR,steal,,[],1630180,,,1610612765,1,3,2022-02-09T01:46:18Z,240000,,,0,,S. Bey STEAL (1 STL),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M51.00S,2022-02-09T01:44:50.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628977,6.783837056504599,47.794117647058826,1610612765,1,5,2022-02-09T01:45:06Z,250000,11.0,11.0,1,left,H. Diallo running alley-oop DUNK (3 PTS) (S. Bey 1 AST),"[1628977, 1630180]",1610612765.0,DET,running alley-oop,,,Diallo,H. Diallo,,,,,,,,,,Made,,3.0,,,,,,,1.58,S. Bey,1630180.0,1.0,,,
28,PT10M51.00S,2022-02-09T01:44:54.9Z,1,REGULAR,stoppage,other,[],0,,,1610612742,1,5,2022-02-09T01:44:55Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT10M41.00S,2022-02-09T01:45:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,92.59198423127464,57.35294117647059,1610612742,1,5,2022-02-09T01:45:41Z,280000,37.0,17.0,1,right,MISS L. Doncic driving floating bank Shot,[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,,,,,,Missed,,,,,,,,,4.06,,,,,,
