actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-22T00:58:47.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-22T00:58:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-22T00:58:49.3Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2022-03-22T00:58:49Z,40000,,,0,,Jump Ball K. Towns vs. D. Powell: Tip to J. Vanderbilt,"[1629020, 1626157, 203939]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-03-22T00:59:01.6Z,1,REGULAR,2pt,Jump Shot,[],1626156,7.227332457293036,67.1798406862745,1610612750,0,2,2022-03-22T00:59:27Z,70000,-86.0,15.0,1,left,D. Russell 8' driving floating Jump Shot (2 PTS),[1626156],1610612750.0,MIN,driving floating,,,Russell,D. Russell,,,,,8.73,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2022-03-22T00:59:18.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,93.64323258869908,50.73529411764706,1610612742,2,2,2022-03-22T00:59:23Z,80000,4.0,7.0,1,right,D. Powell alley-oop DUNK (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,0.82,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,,
10,PT11M16.00S,2022-03-22T00:59:30.6Z,1,REGULAR,2pt,Jump Shot,[],201976,14.454664914586072,69.87591911764706,1610612750,2,4,2022-03-22T00:59:48Z,100000,-99.0,83.0,1,left,P. Beverley 12' pullup Jump Shot (2 PTS),[201976],1610612750.0,MIN,pullup,,,Beverley,P. Beverley,,,,,12.98,Made,2.0,,,,,,,,,,,,,,,,,,
11,PT10M58.00S,2022-03-22T00:59:48.3Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,2,4,2022-03-22T00:59:58Z,110000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1629020]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,1.0,Vanderbilt,1629020.0,,,,,,,,,,,,
12,PT10M58.00S,2022-03-22T00:59:48.3Z,1,REGULAR,steal,,[],1629020,,,1610612750,2,4,2022-03-22T00:59:50Z,120000,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2022-03-22T00:59:52.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626156,7.178055190538765,41.911764705882355,1610612750,2,4,2022-03-22T01:00:03Z,130000,40.0,15.0,1,left,MISS D. Russell running Layup,[1626156],1610612750.0,MIN,running,,,Russell,D. Russell,,,,,4.31,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2022-03-22T00:59:55.4Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,2,4,2022-03-22T01:00:03Z,150000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
16,PT10M41.00S,2022-03-22T01:00:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,92.46057818659659,52.69607843137255,1610612742,2,4,2022-03-22T01:00:09Z,160000,13.0,18.0,1,right,MISS J. Brunson driving Layup,[1628973],1610612742.0,DAL,driving,,,Brunson,J. Brunson,,,,,2.28,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M39.00S,2022-03-22T01:00:07.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,4,2022-03-22T01:00:09Z,170000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT10M32.00S,2022-03-22T01:00:14.4Z,1,REGULAR,3pt,Jump Shot,[],1626156,27.808804204993432,78.43137254901961,1610612750,2,7,2022-03-22T01:00:17Z,180000,-142.0,209.0,1,left,D. Russell 25' 3PT  (5 PTS) (P. Beverley 1 AST),"[1626156, 201976]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,25.27,Made,5.0,P. Beverley,201976.0,1.0,,,,,,,,,,,,,,,
20,PT10M17.00S,2022-03-22T01:00:28.8Z,1,REGULAR,3pt,Jump Shot,[],203493,67.49342969776609,50.73529411764706,1610612742,5,7,2022-03-22T01:00:32Z,200000,4.0,253.0,1,right,R. Bullock 25' 3PT  (3 PTS) (L. Doncic 2 AST),"[203493, 1629029]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,25.31,Made,3.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,,,,,
