actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-20T01:40:23.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-20T01:40:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-20T01:40:27.2Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612742,0,0,2022-01-20T01:40:27Z,40000,,,0,,Jump Ball K. Porzingis vs. P. Achiuwa: Tip to L. Doncic,"[1629029, 204001, 1630173]",1610612742.0,DAL,startperiod,L. Doncic,1629029.0,Doncic,L. Doncic,Porzingis,204001.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-01-20T01:40:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,84.97043363994744,51.9607843137255,1610612742,2,0,2022-01-20T01:40:53Z,70000,10.0,89.0,1,right,K. Porzingis 8' turnaround fadeaway Jump Shot (2 PTS),[204001],1610612742.0,DAL,turnaround fadeaway,,,Porzingis,K. Porzingis,,,,,8.93,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2022-01-20T01:41:06.1Z,1,REGULAR,3pt,Jump Shot,[],1628384,27.54599211563732,20.833333333333336,1610612761,2,3,2022-01-20T01:41:10Z,80000,146.0,206.0,1,left,O. Anunoby 25' 3PT  (3 PTS) (F. VanVleet 1 AST),"[1628384, 1627832]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,25.27,Made,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,,,
10,PT10M51.00S,2022-01-20T01:41:32.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,91.5407358738502,60.78431372549019,1610612742,4,3,2022-01-20T01:41:38Z,100000,54.0,27.0,1,right,J. Brunson 6' driving floating bank Jump Shot (2 PTS) (K. Porzingis 1 AST),"[1628973, 204001]",1610612742.0,DAL,driving floating bank,,,Brunson,J. Brunson,,,,,6.03,Made,2.0,K. Porzingis,204001.0,1.0,,,,,,,,,,,,,,,
12,PT10M38.00S,2022-01-20T01:41:45.4Z,1,REGULAR,3pt,Jump Shot,[],1627832,25.837713534822605,82.1078431372549,1610612761,4,3,2022-01-20T01:42:49Z,120000,-161.0,190.0,1,left,MISS F. VanVleet 24' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,24.9,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M36.00S,2022-01-20T01:41:47.4Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,4,3,2022-01-20T01:41:56Z,130000,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,
14,PT10M35.00S,2022-01-20T01:41:49.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630567,5.590000152587891,50.0,1610612761,4,5,2022-01-20T01:42:10Z,140000,0.0,0.0,1,left,S. Barnes tip Layup (2 PTS),[1630567],1610612761.0,TOR,tip,,,Barnes,S. Barnes,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
15,PT10M27.00S,2022-01-20T01:41:58.2Z,1,REGULAR,foul,personal,[],1630567,,,1610612742,4,5,2022-01-20T01:42:01Z,150000,,,0,,S. Barnes personal FOUL (1 PF),"[1630567, 1628973]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,1199.0,1.0,0.0,Brunson,1628973.0,,,,,,
17,PT10M20.00S,2022-01-20T01:42:34.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,94.30026281208936,50.98039215686274,1610612742,6,5,2022-01-20T01:42:38Z,170000,5.0,1.0,1,right,L. Doncic driving Layup (2 PTS) (K. Porzingis 2 AST),"[1629029, 204001]",1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,0.5,Made,2.0,K. Porzingis,204001.0,2.0,,,,,,,,,,,,,,,
