actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-02T23:32:34.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-02T23:32:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-02T23:32:36.6Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2021-11-02T23:32:36Z,40000,,,0,,Jump Ball B. Adebayo vs. D. Powell: Tip to K. Lowry,"[200768, 1628389, 203939]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-02T23:32:49.7Z,1,REGULAR,3pt,Jump Shot,[],200768,30.436925098554536,31.127450980392158,1610612748,0,0,2021-11-02T23:32:55Z,70000,94.0,234.0,1,left,MISS K. Lowry 25' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,25.2,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-11-02T23:32:52.7Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,0,0,2021-11-02T23:32:55Z,80000,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-11-02T23:33:10.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,0,0,2021-11-02T23:33:10Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2021-11-02T23:33:31.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612742,0,0,2021-11-02T23:33:43Z,100000,,,0,,DAL shot clock Team TURNOVER,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT10M56.00S,2021-11-02T23:34:04.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202710,16.63929040735874,53.67647058823529,1610612748,0,2,2021-11-02T23:34:13Z,110000,-18.0,104.0,1,left,J. Butler 10' driving floating Jump Shot (2 PTS),[202710],1610612748.0,MIA,driving floating,,,Butler,J. Butler,,,,,10.55,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT10M42.00S,2021-11-02T23:34:21.9Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612742,0,2,2021-11-02T23:34:28Z,120000,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Doncic 2 FT),"[1628389, 1629029]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,,,,,,,,1179.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,
14,PT10M42.00S,2021-11-02T23:34:45.0Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,0,2,2021-11-02T23:34:45Z,140000,,,0,,MISS L. Doncic Free Throw 1 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2021-11-02T23:34:45.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,0,2,2021-11-02T23:34:45Z,150000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,
