actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-07T00:41:10.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-07T00:41:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-07T00:41:13.3Z,1,REGULAR,jumpball,recovered,[],203939,,,1610612742,0,0,2021-11-07T00:41:13Z,40000,,,0,,Jump Ball K. Porzingis vs. R. Williams III: Tip to D. Powell,"[203939, 204001, 1629057]",1610612742.0,DAL,startperiod,D. Powell,203939.0,Powell,D. Powell,Porzingis,204001.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-07T00:41:26.9Z,1,REGULAR,2pt,Jump Shot,[],1629029,20.18725361366623,21.813725490196077,1610612742,2,0,2021-11-07T00:41:32Z,70000,141.0,137.0,1,left,L. Doncic 19' Jump Shot (2 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,19.67,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2021-11-07T00:41:47.3Z,1,REGULAR,foul,personal,['2freethrow'],203501,,,1610612738,2,0,2021-11-07T00:41:58Z,80000,,,0,,T. Hardaway Jr. shooting personal FOUL (1 PF) (Williams III 2 FT),"[203501, 1629057]",1610612742.0,DAL,shooting,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,1628951.0,1.0,0.0,Williams III,1629057.0,,,,,,,,,,,,,
10,PT11M25.00S,2021-11-07T00:42:23.4Z,1,REGULAR,freethrow,1 of 2,[],1629057,,,1610612738,2,0,2021-11-07T00:42:23Z,100000,,,0,,MISS R. Williams III Free Throw 1 of 2,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2021-11-07T00:42:23.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,2,0,2021-11-07T00:42:23Z,110000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,
12,PT11M25.00S,2021-11-07T00:42:38.6Z,1,REGULAR,freethrow,2 of 2,[],1629057,,,1610612738,2,0,2021-11-07T00:42:38Z,120000,,,0,,MISS R. Williams III Free Throw 2 of 2,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2021-11-07T00:42:39.6Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,2,0,2021-11-07T00:42:39Z,130000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M10.00S,2021-11-07T00:42:52.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,8.754927726675426,49.01960784313725,1610612742,4,0,2021-11-07T00:42:59Z,140000,5.0,30.0,1,left,K. Porzingis driving DUNK (2 PTS) (L. Doncic 1 AST),"[204001, 1629029]",1610612742.0,DAL,driving,,,Porzingis,K. Porzingis,,,,,3.02,Made,2.0,,,,,,,,,,L. Doncic,1629029.0,1.0,,,,,,
16,PT10M58.00S,2021-11-07T00:43:04.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,81.60315374507228,65.46415441176471,1610612738,4,0,2021-11-07T00:43:11Z,160000,77.0,120.0,1,right,MISS D. Schroder 14' pullup Shot,[203471],1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,14.31,Missed,,,,,,,,,,,,,,,,,,,
