actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-24T00:40:01.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-24T00:40:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-24T00:40:04.0Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2022-03-24T00:40:04Z,40000,,,0,,Jump Ball C. Wood vs. D. Powell: Tip to K. Porter Jr.,"[1629645, 1626174, 203939]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-24T00:40:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,6.1268068331143235,49.26470588235294,1610612745,0,2,2022-03-24T00:40:23Z,70000,4.0,5.0,1,left,E. Gordon driving Layup (2 PTS),[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,0.63,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2022-03-24T00:40:38.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",203493,93.9060446780552,48.28431372549019,1610612742,2,2,2022-03-24T00:40:47Z,80000,-9.0,5.0,1,right,R. Bullock cutting Layup (2 PTS) (J. Brunson 1 AST),"[203493, 1628973]",1610612742.0,DAL,cutting,,,Bullock,R. Bullock,,,,,0.98,Made,2.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-03-24T00:40:41.2Z,1,REGULAR,violation,defensive goaltending,[],1630224,,,1610612742,2,2,2022-03-24T00:40:50Z,100000,,,0,,J. Green defensive goaltending VIOLATION,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,202027.0,,,,,,,,,,,,,,
11,PT10M56.00S,2022-03-24T00:41:14.3Z,1,REGULAR,turnover,lost ball,[],1629645,,,1610612745,2,2,2022-03-24T00:41:18Z,110000,,,0,,K. Porter Jr. lost ball TURNOVER (1 TO),"[1629645, 203493]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,1.0,Bullock,203493.0,,,,,,,,,,,
12,PT10M56.00S,2022-03-24T00:41:14.3Z,1,REGULAR,steal,,[],203493,,,1610612742,2,2,2022-03-24T00:41:16Z,120000,,,0,,R. Bullock STEAL (1 STL),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M39.00S,2022-03-24T00:41:31.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203915,74.32654402102497,14.215686274509803,1610612742,5,2,2022-03-24T00:41:36Z,130000,-179.0,189.0,1,right,S. Dinwiddie 26' 3PT step back (3 PTS),[203915],1610612742.0,DAL,step back,,,Dinwiddie,S. Dinwiddie,,,,,26.01,Made,3.0,,,,,,,,,,,,,,,,,,
14,PT10M28.00S,2022-03-24T00:41:42.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630256,7.703679369250986,61.274509803921575,1610612745,5,4,2022-03-24T00:43:57Z,140000,-56.0,20.0,1,left,J. Tate pullup bank Jump Shot (2 PTS),[1630256],1610612745.0,HOU,pullup bank,,,Tate,J. Tate,,,,,5.98,Made,2.0,,,,,,,,,,,,,,,,,,
15,PT10M12.00S,2022-03-24T00:41:57.6Z,1,REGULAR,3pt,Jump Shot,[],1627827,94.69448094612353,3.6764705882352944,1610612742,5,4,2022-03-24T00:42:01Z,150000,-232.0,-3.0,1,right,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.16,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M11.00S,2022-03-24T00:41:58.6Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,5,4,2022-03-24T00:42:01Z,160000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
