actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-21T00:32:31.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-21T00:32:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-21T00:32:33.6Z,1,REGULAR,jumpball,recovered,[],1628467,,,1610612742,0,0,2022-01-21T00:32:33Z,40000,,,0,,Jump Ball K. Porzingis vs. J. McGee: Tip to M. Kleber,"[1628467, 204001, 201580]",1610612742.0,DAL,startperiod,M. Kleber,1628467.0,Kleber,M. Kleber,Porzingis,204001.0,McGee,201580.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-21T00:32:49.6Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,0,0,2022-01-21T00:32:56Z,70000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1628969]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,1.0,Bridges,1628969.0,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-01-21T00:32:49.6Z,1,REGULAR,steal,,[],1628969,,,1610612756,0,0,2022-01-21T00:32:51Z,80000,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2022-01-21T00:32:53.7Z,1,REGULAR,foul,personal,[],1629029,,,1610612756,0,0,2022-01-21T00:33:16Z,90000,,,0,,L. Doncic personal FOUL (1 PF),"[1629029, 1628969]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,2530.0,1.0,0.0,Bridges,1628969.0,,,,,,,,,,,,,
11,PT11M28.00S,2022-01-21T00:33:14.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,85.89027595269383,94.11764705882352,1610612756,0,3,2022-01-21T00:33:18Z,110000,221.0,80.0,1,right,D. Booker 3PT  (3 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,23.47,Made,3.0,C. Paul,101108.0,1.0,,,,,,,
13,PT11M06.00S,2022-01-21T00:33:35.6Z,1,REGULAR,3pt,Jump Shot,[],1628467,32.933639947437584,45.588235294117645,1610612742,0,3,2022-01-21T00:33:41Z,130000,22.0,257.0,1,left,MISS M. Kleber 25' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,25.8,Missed,,,,,,,,,,,
14,PT11M03.00S,2022-01-21T00:33:38.6Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,0,3,2022-01-21T00:33:41Z,140000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,
15,PT10M52.00S,2022-01-21T00:33:49.4Z,1,REGULAR,3pt,Jump Shot,[],1626164,66.96780551905388,54.90196078431373,1610612756,0,3,2022-01-21T00:33:56Z,150000,25.0,258.0,1,right,MISS D. Booker 25' step back 3PT,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,,,,,,,,,25.92,Missed,,,,,,,,,,,
16,PT10M50.00S,2022-01-21T00:33:51.4Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,0,3,2022-01-21T00:33:56Z,160000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,
17,PT10M40.00S,2022-01-21T00:34:02.9Z,1,REGULAR,3pt,Jump Shot,[],1629029,30.831143232588698,31.127450980392158,1610612742,0,3,2022-01-21T00:34:08Z,170000,94.0,237.0,1,left,MISS L. Doncic 25' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,,,,,,,,,25.54,Missed,,,,,,,,,,,
18,PT10M36.00S,2022-01-21T00:34:06.9Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,0,3,2022-01-21T00:34:08Z,180000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,
19,PT10M32.00S,2022-01-21T00:34:10.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201580,91.14651773981603,47.549019607843135,1610612756,0,5,2022-01-21T00:34:17Z,190000,-12.0,31.0,1,right,J. McGee running Layup (2 PTS) (D. Booker 1 AST),"[201580, 1626164]",1610612756.0,PHX,running,,,McGee,J. McGee,,,,,,,,,,,,,3.31,Made,2.0,D. Booker,1626164.0,1.0,,,,,,,
