actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-24T00:40:18.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-24T00:40:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-24T00:40:21.7Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-01-24T00:40:21Z,40000,,,0,,Jump Ball S. Adams vs. K. Porzingis: Tip to J. Morant,"[1629630, 203500, 204001]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-24T00:40:36.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,89.83245729303549,59.80392156862745,1610612763,0,0,2022-01-24T00:40:48Z,70000,49.0,43.0,1,right,MISS J. Jackson Jr. 6' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,6.53,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-01-24T00:40:38.5Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,0,0,2022-01-24T00:40:48Z,80000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-01-24T00:40:43.7Z,1,REGULAR,3pt,Jump Shot,[],204001,33.98488830486202,49.50980392156863,1610612742,0,0,2022-01-24T00:40:53Z,90000,2.0,267.0,1,left,MISS K. Porzingis 26' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,26.7,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2022-01-24T00:40:47.7Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,0,0,2022-01-24T00:40:53Z,100000,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M26.00S,2022-01-24T00:40:50.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630533,74.32654402102497,12.009803921568627,1610612763,0,0,2022-01-24T00:40:56Z,110000,-190.0,189.0,1,right,MISS Z. Williams 26' 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,26.79,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2022-01-24T00:40:55.2Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,0,0,2022-01-24T00:40:55Z,120000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
13,PT11M18.00S,2022-01-24T00:40:59.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629630,69.20170827858082,67.15686274509804,1610612763,0,0,2022-01-24T00:41:07Z,130000,86.0,237.0,1,right,MISS J. Morant 25' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2022-01-24T00:41:04.6Z,1,REGULAR,rebound,offensive,[],1629723,,,1610612763,0,0,2022-01-24T00:41:07Z,140000,,,0,,J. Konchar REBOUND (Off:1 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
15,PT11M10.00S,2022-01-24T00:41:07.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629630,67.88764783180025,23.284313725490197,1610612763,0,0,2022-01-24T00:43:35Z,150000,-134.0,249.0,1,right,MISS J. Morant 28' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,28.29,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M07.00S,2022-01-24T00:41:10.2Z,1,REGULAR,rebound,offensive,[],1629723,,,1610612763,0,0,2022-01-24T00:43:35Z,160000,,,0,,J. Konchar REBOUND (Off:2 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,15.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
17,PT10M58.00S,2022-01-24T00:41:20.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629630,89.56964520367937,42.8921568627451,1610612763,0,0,2022-01-24T00:44:13Z,170000,-36.0,46.0,1,right,MISS J. Morant driving Layup,[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,5.77,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M57.00S,2022-01-24T00:41:21.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,0,0,2022-01-24T00:41:37Z,180000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,
19,PT10M57.00S,2022-01-24T00:41:25.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,0,0,2022-01-24T00:41:25Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M35.00S,2022-01-24T00:41:53.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,6.915243101182654,52.450980392156865,1610612742,2,0,2022-01-24T00:41:58Z,200000,-12.0,13.0,1,left,L. Doncic cutting finger roll Layup (2 PTS) (K. Porzingis 1 AST),"[1629029, 204001]",1610612742.0,DAL,cutting finger roll,,,Doncic,L. Doncic,,,,,1.75,Made,,,,,2.0,K. Porzingis,204001.0,1.0,,,,,,,,,,,
22,PT10M19.00S,2022-01-24T00:42:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,92.72339027595268,46.81372549019608,1610612763,2,0,2022-01-24T00:45:15Z,220000,-16.0,16.0,1,right,MISS J. Jackson Jr. driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,2.25,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M18.00S,2022-01-24T00:42:09.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,2,0,2022-01-24T00:42:15Z,230000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
24,PT10M12.00S,2022-01-24T00:42:15.6Z,1,REGULAR,3pt,Jump Shot,[],1629029,32.53942181340342,41.66666666666667,1610612742,2,0,2022-01-24T00:46:24Z,240000,42.0,253.0,1,left,MISS L. Doncic 25' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,25.68,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M09.00S,2022-01-24T00:42:18.6Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,2,0,2022-01-24T00:42:20Z,250000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT09M57.00S,2022-01-24T00:42:30.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629630,93.11760840998686,48.529411764705884,1610612763,2,2,2022-01-24T00:42:36Z,260000,-7.0,12.0,1,right,J. Morant driving DUNK (2 PTS),[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,1.43,Made,,,,,2.0,,,,,,,,,,,,,,
