actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-27T00:42:40.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-27T00:42:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-27T00:42:43.4Z,1,REGULAR,jumpball,recovered,[],1628464,,,1610612745,0,0,2021-10-27T00:42:43Z,40000,,,0,,Jump Ball C. Wood vs. K. Porzingis: Tip to D. Theis,"[1628464, 1626174, 204001]",1610612745.0,HOU,startperiod,D. Theis,1628464.0,Theis,D. Theis,Wood,1626174.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-10-27T00:42:52.8Z,1,REGULAR,2pt,Jump Shot,[],1629645,21.369908015768726,68.38235294117648,1610612745,0,0,2021-10-27T00:42:57Z,70000,-92.0,148.0,1,left,MISS K. Porter Jr. 17' pullup Shot,[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,17.46,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-10-27T00:42:55.8Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,0,0,2021-10-27T00:42:57Z,80000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-10-27T00:43:15.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,0,0,2021-10-27T00:43:15Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2021-10-27T00:43:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,93.38042049934296,57.35294117647059,1610612742,2,0,2021-10-27T00:44:37Z,100000,37.0,10.0,1,right,D. Powell cutting Layup (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,3.81,Made,,,,,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,
12,PT11M09.00S,2021-10-27T00:43:47.5Z,1,REGULAR,3pt,Jump Shot,[],1630256,6.389618922470433,96.32352941176471,1610612745,2,0,2021-10-27T00:43:51Z,120000,-232.0,8.0,1,left,MISS J. Tate 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,23.17,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2021-10-27T00:43:48.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,2,0,2021-10-27T00:43:51Z,130000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2021-10-27T00:43:51.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,2,0,2021-10-27T00:43:51Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2021-10-27T00:44:12.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,86.67871222076215,57.35294117647059,1610612742,2,0,2021-10-27T00:44:16Z,150000,37.0,73.0,1,right,MISS L. Doncic 8' driving floating Shot,[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,8.15,Missed,,,,,,,,,,,,,,,,,,,
