actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-31T19:40:41.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-31T19:40:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-31T19:40:43.7Z,1,REGULAR,jumpball,recovered,[],1628467,,,1610612742,0,0,2021-10-31T19:40:43Z,40000,,,0,,Jump Ball D. Powell vs. R. Holmes: Tip to M. Kleber,"[1628467, 203939, 1626158]",1610612742.0,DAL,startperiod,M. Kleber,1628467.0,Kleber,M. Kleber,Powell,203939.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-10-31T19:40:59.8Z,1,REGULAR,violation,kicked ball,[],1626158,,,1610612742,0,0,2021-10-31T19:41:14Z,70000,,,0,,R. Holmes kicked ball VIOLATION,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,2003.0,,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-10-31T19:41:20.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,93.64323258869908,47.30392156862745,1610612742,2,0,2021-10-31T19:41:43Z,80000,-13.0,7.0,1,right,L. Doncic reverse Layup (2 PTS),[1629029],1610612742.0,DAL,reverse,,,Doncic,L. Doncic,,,,,,1.53,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2021-10-31T19:41:41.3Z,1,REGULAR,2pt,Jump Shot,[],1628368,21.369908015768726,55.63725490196079,1610612758,2,0,2021-10-31T19:41:46Z,90000,-28.0,148.0,1,left,MISS D. Fox 15' Jump Shot,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,15.11,Missed,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2021-10-31T19:41:41.3Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,2,0,2021-10-31T19:41:46Z,100000,,,0,,M. Kleber REBOUND (Off:0 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M07.00S,2021-10-31T19:41:49.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203939,92.46057818659659,49.50980392156863,1610612742,4,0,2021-10-31T19:42:02Z,110000,-2.0,18.0,1,right,D. Powell running finger roll Layup (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,running finger roll,,,Powell,D. Powell,,,,,,1.86,Made,2.0,,,,,L. Doncic,1629029.0,1.0,,,,,,,,,,
13,PT10M50.00S,2021-10-31T19:42:07.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,15.062417871222076,57.59803921568627,1610612758,4,0,2021-10-31T19:47:46Z,130000,-38.0,89.0,1,left,MISS T. Haliburton 9' driving floating Shot,[1630169],1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,,9.69,Missed,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2021-10-31T19:42:09.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,4,0,2021-10-31T19:42:09Z,140000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M44.00S,2021-10-31T19:42:16.0Z,1,REGULAR,foul,personal,[],1630169,,,1610612742,4,0,2021-10-31T19:42:49Z,150000,,,0,,T. Haliburton personal FOUL (1 PF),"[1630169, 1629029]",1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,2002.0,,,,,,,,,,,1.0,0.0,Doncic,1629029.0,,,,,,
