actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-11T01:41:52.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-11T01:41:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-04-11T01:41:55.9Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-04-11T01:41:55Z,40000,,,0,,Jump Ball J. Poeltl vs. D. Powell: Tip to K. Johnson,"[1629640, 1627751, 203939]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-04-11T01:42:04.2Z,1,REGULAR,3pt,Jump Shot,[],1629640,31.882391590013142,48.77450980392157,1610612759,0,0,2022-04-11T01:42:28Z,70000,6.0,247.0,1,left,MISS K. Johnson 24' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-04-11T01:42:06.2Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2022-04-11T01:42:28Z,80000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-04-11T01:42:25.2Z,1,REGULAR,3pt,Jump Shot,[],1628973,95.0886990801577,4.6568627450980395,1610612742,3,0,2022-04-11T01:42:30Z,90000,-227.0,-6.0,1,right,J. Brunson 3PT  (3 PTS) (L. Doncic 1 AST),"[1628973, 1629029]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,22.68,Made,,,,,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,
11,PT11M09.00S,2022-04-11T01:42:43.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630563,6.258212877792378,59.80392156862745,1610612759,3,2,2022-04-11T01:43:29Z,110000,-49.0,6.0,1,left,J. Primo turnaround fadeaway bank Jump Shot (2 PTS),[1630563],1610612759.0,SAS,turnaround fadeaway bank,,,Primo,J. Primo,,,,,4.94,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT10M56.00S,2022-04-11T01:42:58.2Z,1,REGULAR,violation,kicked ball,[],1627751,,,1610612742,3,2,2022-04-11T01:43:09Z,120000,,,0,,J. Poeltl kicked ball VIOLATION,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,204059.0,,,,,,,,,,
13,PT10M54.00S,2022-04-11T01:43:15.7Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,3,2,2022-04-11T01:43:33Z,130000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1627751]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,1.0,Poeltl,1627751.0,,,,,,,
14,PT10M54.00S,2022-04-11T01:43:15.7Z,1,REGULAR,steal,,[],1627751,,,1610612759,3,2,2022-04-11T01:43:17Z,140000,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2022-04-11T01:43:23.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627749,5.469776609724048,72.30392156862744,1610612759,3,4,2022-04-11T01:43:37Z,150000,-112.0,-1.0,1,left,D. Murray 11' step back Jump Shot (2 PTS),[1627749],1610612759.0,SAS,step back,,,Murray,D. Murray,,,,,11.15,Made,,,,,2.0,,,,,,,,,,,,,,
