actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-29T00:40:53.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-29T00:40:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-29T00:40:56.3Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2021-10-29T00:40:56Z,40000,,,0,,Jump Ball J. Poeltl vs. D. Powell: Tip to K. Johnson,"[1629640, 1627751, 203939]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-10-29T00:41:10.7Z,1,REGULAR,2pt,Jump Shot,[],1629640,8.935611038107753,67.67003676470588,1610612759,0,0,2021-10-29T00:42:17Z,70000,-88.0,31.0,1,left,MISS K. Johnson 9' pullup Shot,[1629640],1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,9.38,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-10-29T00:41:12.7Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,0,0,2021-10-29T00:41:17Z,80000,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2021-10-29T00:41:29.6Z,1,REGULAR,foul,personal,[],1629640,,,1610612742,0,0,2021-10-29T00:41:37Z,90000,,,0,,K. Johnson personal FOUL (1 PF),"[1629640, 203939]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,204059.0,1.0,0.0,Powell,203939.0,,,,,,,,,,
11,PT11M23.00S,2021-10-29T00:41:49.7Z,1,REGULAR,turnover,traveling,[],1629029,,,1610612742,0,0,2021-10-29T00:41:54Z,110000,,,0,,L. Doncic traveling TURNOVER (1 TO),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,204059.0,,,,,1.0,,,,,,,,,
12,PT11M09.00S,2021-10-29T00:42:12.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627751,6.783837056504599,50.98039215686274,1610612759,0,2,2021-10-29T00:42:16Z,120000,-5.0,11.0,1,left,J. Poeltl cutting DUNK (2 PTS) (D. White 1 AST),"[1627751, 1628401]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,1.23,Made,,,,,,,,,,,2.0,D. White,1628401.0,1.0,,,,,
14,PT10M55.00S,2021-10-29T00:42:26.0Z,1,REGULAR,3pt,Jump Shot,[],1627827,71.43561103810775,18.38235294117647,1610612742,0,2,2021-10-29T00:42:31Z,140000,-158.0,216.0,1,right,MISS D. Finney-Smith 26' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,26.77,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2021-10-29T00:42:29.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,2,2021-10-29T00:42:31Z,150000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M40.00S,2021-10-29T00:42:44.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,0,2,2021-10-29T00:42:44Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
