actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-04T01:40:37.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-04T01:40:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-04T01:40:39.8Z,1,REGULAR,jumpball,recovered,[],203085,,,1610612743,0,0,2022-01-04T01:40:39Z,40000,,,0,,Jump Ball N. Jokic vs. D. Powell: Tip to A. Rivers,"[203085, 203999, 203939]",1610612743.0,DEN,startperiod,A. Rivers,203085.0,Rivers,A. Rivers,Jokic,203999.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-01-04T01:41:00.8Z,1,REGULAR,3pt,Jump Shot,[],203932,27.020367936925098,15.441176470588236,1610612743,0,0,2022-01-04T01:41:07Z,70000,173.0,201.0,1,left,MISS A. Gordon 26' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,26.54,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2022-01-04T01:41:04.8Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,0,0,2022-01-04T01:41:07Z,80000,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-01-04T01:41:15.5Z,1,REGULAR,foul,offensive,[],203085,,,1610612743,0,0,2022-01-04T01:41:29Z,90000,,,0,,A. Rivers charge offensive FOUL (1 PF),"[203085, 1628973]",1610612743.0,DEN,charge,,,Rivers,A. Rivers,,,,,,,,,,,1627541.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,
11,PT11M21.00S,2022-01-04T01:41:15.5Z,1,REGULAR,turnover,offensive foul,[],203085,,,1610612743,0,0,2022-01-04T01:41:15Z,110000,,,0,,A. Rivers offensive foul TURNOVER (1 TO),[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,,1627541.0,,,,,1.0,,,,,,,,,
12,PT11M06.00S,2022-01-04T01:41:43.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628973,76.03482260183968,87.99019607843137,1610612742,3,0,2022-01-04T01:41:47Z,120000,190.0,173.0,1,right,J. Brunson 25' 3PT  (3 PTS) (L. Doncic 1 AST),"[1628973, 1629029]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,25.68,Made,,,,,,,,,,,3.0,L. Doncic,1629029.0,1.0,,,,,
14,PT10M48.00S,2022-01-04T01:42:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,7.046649145860711,49.754901960784316,1610612743,3,2,2022-01-04T01:42:06Z,140000,1.0,14.0,1,left,N. Jokic cutting Layup (2 PTS) (W. Barton 1 AST),"[203999, 203115]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,1.38,Made,,,,,,,,,,,2.0,W. Barton,203115.0,1.0,,,,,
16,PT10M25.00S,2022-01-04T01:42:23.6Z,1,REGULAR,2pt,Jump Shot,[],1629029,89.83245729303549,28.921568627450984,1610612742,3,2,2022-01-04T01:42:30Z,160000,-105.0,43.0,1,right,MISS L. Doncic 11' turnaround fadeaway Shot,[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,11.39,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M21.00S,2022-01-04T01:42:27.6Z,1,REGULAR,rebound,defensive,[],1630267,,,1610612743,3,2,2022-01-04T01:42:30Z,170000,,,0,,F. Campazzo REBOUND (Off:0 Def:1),[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
