actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-24T01:40:26.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-24T01:40:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-24T01:40:28.8Z,1,REGULAR,jumpball,recovered,[],1626192,,,1610612749,0,0,2021-12-24T01:40:28Z,40000,,,0,,Jump Ball D. Cousins vs. D. Powell: Tip to P. Connaughton,"[1626192, 202326, 203939]",1610612749.0,MIL,startperiod,P. Connaughton,1626192.0,Connaughton,P. Connaughton,Cousins,202326.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-24T01:40:41.0Z,1,REGULAR,2pt,Jump Shot,[],1626192,86.41590013140605,32.59803921568628,1610612749,0,2,2021-12-24T01:41:55Z,70000,-87.0,75.0,1,right,P. Connaughton 11' driving floating Jump Shot (2 PTS) (K. Middleton 1 AST),"[1626192, 203114]",1610612749.0,MIL,driving floating,,,Connaughton,P. Connaughton,,,,,11.5,Made,2.0,K. Middleton,203114.0,1.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2021-12-24T01:41:07.2Z,1,REGULAR,3pt,Jump Shot,[],1628425,5.995400788436268,4.411764705882353,1610612742,0,2,2021-12-24T01:41:10Z,90000,228.0,4.0,1,left,MISS S. Brown 3PT,[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,22.79,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2021-12-24T01:41:08.2Z,1,REGULAR,rebound,defensive,[],1629670,,,1610612749,0,2,2021-12-24T01:41:10Z,100000,,,0,,J. Nwora REBOUND (Off:0 Def:1),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M06.00S,2021-12-24T01:41:18.9Z,1,REGULAR,3pt,Jump Shot,[],202326,69.07030223390277,68.13725490196079,1610612749,0,5,2021-12-24T01:41:22Z,110000,91.0,238.0,1,right,D. Cousins 25' 3PT  (3 PTS) (K. Middleton 2 AST),"[202326, 203114]",1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,25.49,Made,3.0,K. Middleton,203114.0,2.0,,,,,,,,,,,,,,,
13,PT10M40.00S,2021-12-24T01:41:45.2Z,1,REGULAR,2pt,Jump Shot,[],1628373,23.340998685939553,31.61764705882353,1610612742,0,5,2021-12-24T01:41:50Z,130000,92.0,167.0,1,left,MISS F. Ntilikina 19' pullup Shot,[1628373],1610612742.0,DAL,pullup,,,Ntilikina,F. Ntilikina,,,,,19.05,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M35.00S,2021-12-24T01:41:50.2Z,1,REGULAR,rebound,defensive,[],202326,,,1610612749,0,5,2021-12-24T01:41:50Z,140000,,,0,,D. Cousins REBOUND (Off:0 Def:1),[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M24.00S,2021-12-24T01:42:01.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,93.11760840998686,52.20588235294118,1610612749,0,5,2021-12-24T01:42:09Z,150000,11.0,12.0,1,right,MISS J. Holiday driving Layup,[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,1.64,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M22.00S,2021-12-24T01:42:03.1Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,0,5,2021-12-24T01:42:05Z,160000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M04.00S,2021-12-24T01:42:21.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,5.601182654402102,48.28431372549019,1610612742,2,5,2021-12-24T01:42:24Z,170000,9.0,0.0,1,left,D. Powell alley-oop DUNK (2 PTS) (D. Finney-Smith 1 AST),"[203939, 1627827]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,0.86,Made,2.0,D. Finney-Smith,1627827.0,1.0,,,,,,,,,,,,,,,
19,PT09M46.00S,2021-12-24T01:42:41.6Z,1,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612749,2,5,2021-12-24T01:42:49Z,190000,,,0,,J. Brunson shooting personal FOUL (1 PF) (Cousins 2 FT),"[1628973, 202326]",1610612742.0,DAL,shooting,,,Brunson,J. Brunson,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Cousins,202326.0,,,,,,
21,PT09M46.00S,2021-12-24T01:43:01.9Z,1,REGULAR,freethrow,1 of 2,[],202326,,,1610612749,2,6,2021-12-24T01:43:02Z,210000,,,0,,D. Cousins Free Throw 1 of 2 (4 PTS),[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
22,PT09M46.00S,2021-12-24T01:43:19.8Z,1,REGULAR,freethrow,2 of 2,[],202326,,,1610612749,2,6,2021-12-24T01:43:19Z,220000,,,0,,MISS D. Cousins Free Throw 2 of 2,[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M43.00S,2021-12-24T01:43:21.5Z,1,REGULAR,rebound,defensive,[],1628425,,,1610612742,2,6,2021-12-24T01:43:21Z,230000,,,0,,S. Brown REBOUND (Off:0 Def:1),[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M25.00S,2021-12-24T01:43:40.6Z,1,REGULAR,3pt,Jump Shot,[],1628373,19.530223390275953,8.823529411764707,1610612742,2,6,2021-12-24T01:43:44Z,240000,206.0,131.0,1,left,MISS F. Ntilikina 24' 3PT,[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,24.41,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M21.00S,2021-12-24T01:43:44.6Z,1,REGULAR,rebound,offensive,[],1628425,,,1610612742,2,6,2021-12-24T01:43:44Z,250000,,,0,,S. Brown REBOUND (Off:1 Def:1),[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,,,
26,PT09M20.00S,2021-12-24T01:43:44.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628425,7.046649145860711,49.26470588235294,1610612742,2,6,2021-12-24T01:43:49Z,260000,4.0,14.0,1,left,MISS S. Brown putback Layup,[1628425],1610612742.0,DAL,putback,,,Brown,S. Brown,,,,,1.42,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M19.00S,2021-12-24T01:43:45.5Z,1,REGULAR,rebound,defensive,[],202326,,,1610612749,2,6,2021-12-24T01:43:49Z,270000,,,0,,D. Cousins REBOUND (Off:0 Def:2),[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,
28,PT09M04.00S,2021-12-24T01:44:00.4Z,1,REGULAR,3pt,Jump Shot,[],203114,68.9388961892247,69.6078431372549,1610612749,2,9,2021-12-24T01:44:04Z,280000,98.0,239.0,1,right,K. Middleton 25' 3PT pullup (3 PTS) (D. Cousins 1 AST),"[203114, 202326]",1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,25.88,Made,3.0,D. Cousins,202326.0,1.0,,,,,,,,,,,,,,,
30,PT08M49.00S,2021-12-24T01:44:15.2Z,1,REGULAR,3pt,Jump Shot,[],1627827,8.360709592641262,4.166666666666666,1610612742,5,9,2021-12-24T01:44:20Z,300000,229.0,26.0,1,left,D. Finney-Smith 3PT  (3 PTS) (J. Brunson 1 AST),"[1627827, 1628973]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.07,Made,3.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,,
32,PT08M39.00S,2021-12-24T01:44:25.5Z,1,REGULAR,2pt,Jump Shot,[],203114,87.07293035479631,87.00980392156863,1610612749,5,11,2021-12-24T01:44:29Z,320000,185.0,69.0,1,right,K. Middleton 19' fadeaway Jump Shot (5 PTS),[203114],1610612749.0,MIL,fadeaway,,,Middleton,K. Middleton,,,,,19.74,Made,5.0,,,,,,,,,,,,,,,,,,
33,PT08M25.00S,2021-12-24T01:44:38.9Z,1,REGULAR,3pt,Jump Shot,[],1627827,21.632720105124836,12.745098039215685,1610612742,5,11,2021-12-24T01:44:44Z,330000,186.0,151.0,1,left,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.97,Missed,,,,,,,,,,,,,,,,,,,
