actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-14T01:40:22.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-14T01:40:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2021-12-14T01:40:41.8Z,1,REGULAR,jumpball,recovered,[],1626179,,,1610612766,0,0,2021-12-14T01:40:41Z,40000,,,0,,Jump Ball N. Richards vs. K. Porzingis: Tip to T. Rozier,"[1626179, 1630208, 204001]",1610612766.0,CHA,startperiod,T. Rozier,1626179.0,Rozier,T. Rozier,Richards,1630208.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-12-14T01:41:02.0Z,1,REGULAR,2pt,Jump Shot,[],1628970,15.719448094612352,77.20588235294117,1610612766,0,0,2021-12-14T01:42:54Z,70000,-136.0,95.0,1,left,MISS M. Bridges 16' step back Shot,[1628970],1610612766.0,CHA,step back,,,Bridges,M. Bridges,,,,,16.61,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2021-12-14T01:41:04.2Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,0,0,2021-12-14T01:41:04Z,80000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M19.00S,2021-12-14T01:41:18.2Z,1,REGULAR,3pt,Jump Shot,[],204001,68.41327201051249,71.07843137254902,1610612742,0,0,2021-12-14T01:41:22Z,90000,105.0,244.0,1,right,MISS K. Porzingis 26' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,26.62,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2021-12-14T01:41:21.2Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,0,0,2021-12-14T01:41:22Z,100000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M00.00S,2021-12-14T01:41:37.0Z,1,REGULAR,3pt,Jump Shot,[],1628998,10.5946123521682,3.431372549019608,1610612766,0,0,2021-12-14T01:41:42Z,110000,233.0,47.0,1,left,MISS C. Martin 3PT,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,23.75,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M57.00S,2021-12-14T01:41:40.0Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,0,0,2021-12-14T01:41:42Z,120000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M35.00S,2021-12-14T01:42:03.0Z,1,REGULAR,2pt,Jump Shot,[],1627827,91.5407358738502,20.833333333333336,1610612742,0,0,2021-12-14T01:44:02Z,130000,-146.0,27.0,1,right,MISS D. Finney-Smith 14' fadeaway Shot,[1627827],1610612742.0,DAL,fadeaway,,,Finney-Smith,D. Finney-Smith,,,,,14.83,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M34.00S,2021-12-14T01:42:04.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,0,0,2021-12-14T01:42:30Z,140000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,
