actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-30T00:13:15.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-30T00:13:15Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-30T00:13:18.5Z,1,REGULAR,jumpball,recovered,[],1628467,,,1610612742,0,0,2022-01-30T00:13:18Z,40000,,,0,,Jump Ball K. Porzingis vs. D. Sabonis: Tip to M. Kleber,"[1628467, 204001, 1627734]",1610612742.0,DAL,startperiod,M. Kleber,1628467.0,Kleber,M. Kleber,Porzingis,204001.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-30T00:13:33.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,94.1688567674113,50.73529411764706,1610612742,2,0,2022-01-30T00:13:38Z,70000,4.0,2.0,1,right,K. Porzingis driving DUNK (2 PTS) (L. Doncic 1 AST),"[204001, 1629029]",1610612742.0,DAL,driving,,,Porzingis,K. Porzingis,,,,,0.44,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-01-30T00:13:51.9Z,1,REGULAR,3pt,Jump Shot,[],203200,31.882391590013142,40.931372549019606,1610612754,2,0,2022-01-30T00:13:56Z,90000,45.0,247.0,1,left,MISS J. Holiday 25' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,25.13,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-01-30T00:13:54.9Z,1,REGULAR,rebound,offensive,[],1630537,,,1610612754,2,0,2022-01-30T00:13:56Z,100000,,,0,,C. Duarte REBOUND (Off:1 Def:0),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M18.00S,2022-01-30T00:13:57.0Z,1,REGULAR,turnover,bad pass,[],1630537,,,1610612754,2,0,2022-01-30T00:14:01Z,110000,,,0,,C. Duarte bad pass TURNOVER (1 TO),"[1630537, 1628973]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,1.0,Brunson,1628973.0,,,,,,,,
12,PT11M18.00S,2022-01-30T00:13:57.0Z,1,REGULAR,steal,,[],1628973,,,1610612742,2,0,2022-01-30T00:13:58Z,120000,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2022-01-30T00:14:13.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,61.96205650459922,48.83961397058824,1610612742,2,0,2022-01-30T00:14:20Z,130000,-6.0,305.0,1,right,MISS K. Porzingis 30' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,30.52,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2022-01-30T00:14:16.1Z,1,REGULAR,rebound,defensive,[],203200,,,1610612754,2,0,2022-01-30T00:14:20Z,140000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M38.00S,2022-01-30T00:14:36.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.521024967148489,48.03921568627451,1610612754,2,2,2022-01-30T00:14:41Z,150000,10.0,9.0,1,left,D. Sabonis driving Layup (2 PTS),[1627734],1610612754.0,IND,driving,,,Sabonis,D. Sabonis,,,,,1.32,Made,2.0,,,,,,,,,,,,,,,,,,
