actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-22T01:40:37.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-22T01:40:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-22T01:40:39.3Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2021-12-22T01:40:39Z,40000,,,0,,Jump Ball K. Towns vs. D. Powell: Tip to D. Russell,"[1626156, 1626157, 203939]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Towns,1626157.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2021-12-22T01:40:47.3Z,1,REGULAR,turnover,lost ball,[],1626156,,,1610612750,0,0,2021-12-22T01:40:57Z,70000,,,0,,D. Russell lost ball TURNOVER (1 TO),"[1626156, 1628973]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,1.0,Brunson,1628973.0,,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2021-12-22T01:40:47.3Z,1,REGULAR,steal,,[],1628973,,,1610612742,0,0,2021-12-22T01:40:49Z,80000,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M49.00S,2021-12-22T01:40:49.5Z,1,REGULAR,foul,personal,[],1626156,,,1610612742,0,0,2021-12-22T01:40:53Z,90000,,,0,,D. Russell take personal FOUL (1 PF),"[1626156, 1628973]",1610612750.0,MIN,take,,,Russell,D. Russell,,,,,,,,1628951.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,
11,PT11M38.00S,2021-12-22T01:41:11.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628425,93.64323258869908,3.6764705882352944,1610612742,0,0,2021-12-22T01:41:22Z,110000,-232.0,7.0,1,right,MISS S. Brown 3PT,[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,23.17,Missed,,,,,,,,,,,
12,PT11M34.00S,2021-12-22T01:41:14.7Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,0,0,2021-12-22T01:41:14Z,120000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,
13,PT11M33.00S,2021-12-22T01:41:16.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1627827,69.59592641261499,75.24509803921569,1610612742,0,0,2021-12-22T01:41:24Z,130000,126.0,233.0,1,right,MISS D. Finney-Smith 26' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,26.52,Missed,,,,,,,,,,,
14,PT11M29.00S,2021-12-22T01:41:20.1Z,1,REGULAR,rebound,offensive,[],1628373,,,1610612742,0,0,2021-12-22T01:41:33Z,140000,,,0,,F. Ntilikina REBOUND (Off:1 Def:0),[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,
15,PT11M28.00S,2021-12-22T01:41:20.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628373,94.40999984741211,50.0,1610612742,0,0,2021-12-22T01:41:20Z,150000,0.0,0.0,1,right,MISS F. Ntilikina tip Layup,[1628373],1610612742.0,DAL,tip,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,0.0,Missed,,,,,,,,,,,
16,PT11M27.00S,2021-12-22T01:41:21.8Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,0,0,2021-12-22T01:41:21Z,160000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
17,PT11M12.00S,2021-12-22T01:41:37.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,6.521024967148489,48.77450980392157,1610612750,0,2,2021-12-22T01:41:44Z,170000,6.0,9.0,1,left,K. Towns driving DUNK (2 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,,,,,,,,,1.07,Made,,,,,2.0,D. Russell,1626156.0,1.0,,,
19,PT10M55.00S,2021-12-22T01:41:54.0Z,1,REGULAR,turnover,bad pass,[],1627827,,,1610612742,0,2,2021-12-22T01:41:59Z,190000,,,0,,D. Finney-Smith bad pass TURNOVER (1 TO),"[1627827, 1630183]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,1.0,McDaniels,1630183.0,,,,,,,,,,,,,,,,,,
