actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-11T01:40:29.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-11T01:40:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-11T01:40:32.0Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2022-02-11T01:40:32Z,40000,,,0,,Jump Ball I. Zubac vs. D. Powell: Tip to M. Morris Sr.,"[202694, 1627826, 203939]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-02-11T01:40:48.9Z,1,REGULAR,turnover,lost ball,[],1627826,,,1610612746,0,0,2022-02-11T01:40:53Z,70000,,,0,,I. Zubac lost ball TURNOVER (1 TO),"[1627826, 1627827]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,1.0,Finney-Smith,1627827.0,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-02-11T01:40:48.9Z,1,REGULAR,steal,,[],1627827,,,1610612742,0,0,2022-02-11T01:40:50Z,80000,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2022-02-11T01:41:11.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,32.276609724047304,36.029411764705884,1610612742,3,0,2022-02-11T01:43:52Z,90000,70.0,251.0,1,left,L. Doncic 26' 3PT step back (3 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,,,26.05,Made,3.0,,,,,,,,,,,,,,,
10,PT10M56.00S,2022-02-11T01:41:32.0Z,1,REGULAR,2pt,Jump Shot,[],202694,91.40932982917214,18.137254901960784,1610612746,3,0,2022-02-11T01:41:42Z,100000,-159.0,28.0,1,right,MISS M. Morris Sr. 16' step back Shot,[202694],1610612746.0,LAC,step back,,,Morris Sr.,M. Morris Sr.,,,,,,,,16.18,Missed,,,,,,,,,,,,,,,,
11,PT10M53.00S,2022-02-11T01:41:35.0Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,3,0,2022-02-11T01:41:42Z,110000,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT10M42.00S,2022-02-11T01:41:46.6Z,1,REGULAR,3pt,Jump Shot,[],203493,8.754927726675426,5.637254901960785,1610612742,3,0,2022-02-11T01:41:52Z,120000,222.0,30.0,1,left,MISS R. Bullock 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,22.38,Missed,,,,,,,,,,,,,,,,
13,PT10M39.00S,2022-02-11T01:41:49.6Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,3,0,2022-02-11T01:41:52Z,130000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M33.00S,2022-02-11T01:41:55.8Z,1,REGULAR,turnover,bad pass,[],202704,,,1610612746,3,0,2022-02-11T01:42:01Z,140000,,,0,,R. Jackson bad pass TURNOVER (1 TO),"[202704, 1627827]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,1.0,Finney-Smith,1627827.0,,,,,,,,,,,,,,,,,,
15,PT10M33.00S,2022-02-11T01:41:55.8Z,1,REGULAR,steal,,[],1627827,,,1610612742,3,0,2022-02-11T01:41:57Z,150000,,,0,,D. Finney-Smith STEAL (2 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M30.00S,2022-02-11T01:42:00.2Z,1,REGULAR,foul,personal,['2freethrow'],202694,,,1610612742,3,0,2022-02-11T01:42:08Z,160000,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Bullock 2 FT),"[202694, 203493]",1610612746.0,LAC,shooting,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,1628159.0,1.0,0.0,Bullock,203493.0,,,,,,
18,PT10M30.00S,2022-02-11T01:42:26.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203493,,,1610612742,4,0,2022-02-11T01:42:26Z,180000,,,0,,R. Bullock Free Throw 1 of 2 (1 PTS),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
