actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-01-18T01:40:33.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-18T01:40:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-18T01:40:48.3Z,1,REGULAR,jumpball,recovered,[],1628467,,,1610612742,0,0,2022-01-18T01:40:48Z,40000,,,0,,Jump Ball K. Porzingis vs. J. Robinson-Earl: Tip to M. Kleber,"[1628467, 204001, 1630526]",1610612742.0,DAL,startperiod,M. Kleber,1628467.0,Kleber,M. Kleber,Porzingis,204001.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-01-18T01:40:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627827,90.75229960578186,50.73529411764706,1610612742,0,0,2022-01-18T01:41:46Z,70000,4.0,34.0,1,right,MISS D. Finney-Smith cutting Layup - blocked,"[1627827, 1629647]",1610612742.0,DAL,cutting,,,Finney-Smith,D. Finney-Smith,,,,,3.46,Missed,Bazley,1629647.0,,,,,,,,,,,,,,,,
8,PT11M48.00S,2022-01-18T01:40:59.3Z,1,REGULAR,block,,[],1629647,,,1610612742,0,0,2022-01-18T01:41:01Z,80000,,,0,,D. Bazley BLOCK (1 BLK),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M48.00S,2022-01-18T01:40:59.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,0,0,2022-01-18T01:41:06Z,90000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,
10,PT11M48.00S,2022-01-18T01:41:04.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,0,0,2022-01-18T01:41:04Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M46.00S,2022-01-18T01:41:11.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],204001,79.84559789750328,80.14705882352942,1610612742,2,0,2022-01-18T01:41:17Z,110000,151.0,137.0,1,right,K. Porzingis 20' Jump Shot (2 PTS) (L. Doncic 1 AST),"[204001, 1629029]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,20.37,Made,,,,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,
13,PT11M26.00S,2022-01-18T01:41:30.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,7.046649145860711,48.03921568627451,1610612760,2,0,2022-01-18T01:43:10Z,130000,10.0,14.0,1,left,MISS D. Bazley driving Layup - blocked,"[1629647, 1629029]",1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,1.68,Missed,Doncic,1629029.0,,,,,,,,,,,,,,,,
17,PT11M26.00S,2022-01-18T01:41:30.8Z,1,REGULAR,block,,[],1629029,,,1610612760,2,0,2022-01-18T01:41:41Z,135000,,,0,,L. Doncic BLOCK (1 BLK),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M23.00S,2022-01-18T01:41:33.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,2,0,2022-01-18T01:41:41Z,140000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,13.0,,,,,1.0,1.0,0.0,,,,,,,,
15,PT11M20.00S,2022-01-18T01:41:37.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],204001,71.96123521681997,22.54901960784314,1610612742,5,0,2022-01-18T01:41:44Z,150000,-137.0,211.0,1,right,K. Porzingis 25' 3PT  (5 PTS) (J. Brunson 1 AST),"[204001, 1628973]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,25.18,Made,,,,5.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,
18,PT11M10.00S,2022-01-18T01:41:47.6Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612760,5,0,2022-01-18T01:41:50Z,170000,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1629029]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,1.0,Doncic,1629029.0,,,,,
19,PT11M10.00S,2022-01-18T01:41:47.6Z,1,REGULAR,steal,,[],1629029,,,1610612742,5,0,2022-01-18T01:41:49Z,180000,,,0,,L. Doncic STEAL (1 STL),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,
20,PT11M05.00S,2022-01-18T01:41:53.1Z,1,REGULAR,turnover,lost ball,[],204001,,,1610612742,5,0,2022-01-18T01:41:56Z,190000,,,0,,K. Porzingis lost ball TURNOVER (1 TO),"[204001, 1629647]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,1.0,Bazley,1629647.0,,,,,
21,PT11M05.00S,2022-01-18T01:41:53.1Z,1,REGULAR,steal,,[],1629647,,,1610612760,5,0,2022-01-18T01:41:54Z,200000,,,0,,D. Bazley STEAL (1 STL),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M58.00S,2022-01-18T01:41:59.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629652,8.360709592641262,96.56862745098039,1610612760,5,3,2022-01-18T01:42:04Z,210000,-233.0,26.0,1,left,L. Dort 3PT  (3 PTS) (J. Robinson-Earl 1 AST),"[1629652, 1630526]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,23.43,Made,,,,3.0,J. Robinson-Earl,1630526.0,1.0,,,,,,,,,,,
24,PT10M39.00S,2022-01-18T01:42:18.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],204001,90.88370565045992,55.392156862745104,1610612742,7,3,2022-01-18T01:42:27Z,230000,27.0,33.0,1,right,K. Porzingis driving Hook (7 PTS) (L. Doncic 2 AST),"[204001, 1629029]",1610612742.0,DAL,driving,,,Porzingis,K. Porzingis,,,,,4.28,Made,,,,7.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,
26,PT10M19.00S,2022-01-18T01:42:38.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,32.670827858081466,34.068627450980394,1610612760,7,3,2022-01-18T01:42:42Z,250000,80.0,255.0,1,left,MISS L. Dort 26' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,26.68,Missed,,,,,,,,,,,,,,,,,,
27,PT10M16.00S,2022-01-18T01:42:41.0Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,7,3,2022-01-18T01:42:42Z,260000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,26.0,,,,,1.0,1.0,0.0,,,,,,,,
28,PT10M10.00S,2022-01-18T01:42:51.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,7,3,2022-01-18T01:42:51Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT10M00.00S,2022-01-18T01:43:14.4Z,1,REGULAR,3pt,Jump Shot,[],1628467,87.20433639947439,96.32352941176471,1610612742,10,3,2022-01-18T01:43:18Z,280000,232.0,68.0,1,right,M. Kleber 24' 3PT  (3 PTS) (L. Doncic 3 AST),"[1628467, 1629029]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,24.13,Made,,,,3.0,L. Doncic,1629029.0,3.0,,,,,,,,,,,
31,PT09M44.00S,2022-01-18T01:43:29.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629647,12.302890932982917,48.03921568627451,1610612760,10,3,2022-01-18T01:43:34Z,300000,10.0,63.0,1,left,MISS D. Bazley 6' driving floating Shot - blocked,"[1629647, 1629029]",1610612760.0,OKC,driving floating,,,Bazley,D. Bazley,,,,,6.39,Missed,Doncic,1629029.0,,,,,,,,,,,,,,,,
32,PT09M44.00S,2022-01-18T01:43:29.8Z,1,REGULAR,block,,[],1629029,,,1610612760,10,3,2022-01-18T01:43:32Z,310000,,,0,,L. Doncic BLOCK (2 BLK),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M41.00S,2022-01-18T01:43:32.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,10,3,2022-01-18T01:43:34Z,320000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,31.0,,,,,2.0,2.0,0.0,,,,,,,,
34,PT09M33.00S,2022-01-18T01:43:41.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,81.2910643889619,36.76470588235294,1610612742,10,3,2022-01-18T01:48:15Z,330000,-66.0,123.0,1,right,MISS L. Doncic 14' fadeaway Shot,[1629029],1610612742.0,DAL,fadeaway,,,Doncic,L. Doncic,,,,,14.0,Missed,,,,,,,,,,,,,,,,,,
35,PT09M30.00S,2022-01-18T01:43:44.2Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,10,3,2022-01-18T01:43:55Z,340000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,34.0,,,,,1.0,1.0,0.0,,,,,,,,
36,PT09M23.00S,2022-01-18T01:43:50.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,13.222733245729303,58.333333333333336,1610612760,10,3,2022-01-18T01:49:02Z,352500,-42.0,72.0,1,left,MISS S. Gilgeous-Alexander 8' driving floating bank Shot,[1628983],1610612760.0,OKC,driving floating bank,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,8.3,Missed,,,,,,,,,,,,,,,,,,
37,PT09M21.00S,2022-01-18T01:43:52.5Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,10,3,2022-01-18T01:45:21Z,358750,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,36.0,,,,,1.0,0.0,1.0,,,,,,,,
43,PT09M19.00S,2022-01-18T01:43:58.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630581,6.389618922470433,50.98039215686274,1610612760,10,3,2022-01-18T01:45:33Z,365000,-5.0,8.0,1,left,MISS J. Giddey tip Layup,[1630581],1610612760.0,OKC,tip,,,Giddey,J. Giddey,,,,,0.9,Missed,,,,,,,,,,,,,,,,,,
44,PT09M17.00S,2022-01-18T01:44:00.3Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,10,3,2022-01-18T01:45:33Z,367500,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,43.0,,,,,1.0,1.0,0.0,,,,,,,,
38,PT09M08.00S,2022-01-18T01:44:06.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,78.40013140604468,91.42156862745098,1610612742,10,3,2022-01-18T01:45:37Z,370000,207.0,151.0,1,right,MISS L. Doncic 25' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,25.6,Missed,,,,,,,,,,,,,,,,,,
39,PT09M05.00S,2022-01-18T01:44:08.7Z,1,REGULAR,rebound,offensive,[],1628467,,,1610612742,10,3,2022-01-18T01:44:08Z,380000,,,0,,M. Kleber REBOUND (Off:1 Def:0),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,38.0,,,,,1.0,0.0,1.0,,,,,,,,
40,PT09M03.00S,2022-01-18T01:44:10.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627827,69.46452036793693,21.813725490196077,1610612742,10,3,2022-01-18T01:45:39Z,390000,-141.0,235.0,1,right,MISS D. Finney-Smith 27' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,27.36,Missed,,,,,,,,,,,,,,,,,,
41,PT09M01.00S,2022-01-18T01:44:12.5Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,10,3,2022-01-18T01:45:39Z,400000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,40.0,,,,,1.0,1.0,0.0,,,,,,,,
42,PT08M55.00S,2022-01-18T01:44:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,7.178055190538765,44.11764705882353,1610612760,10,5,2022-01-18T01:50:32Z,410000,29.0,15.0,1,left,S. Gilgeous-Alexander driving Layup (2 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,3.3,Made,,,,2.0,,,,,,,,,,,,,,
45,PT08M49.00S,2022-01-18T01:44:28.7Z,1,REGULAR,foul,personal,['2freethrow'],1629647,,,1610612742,10,5,2022-01-18T01:44:39Z,420000,,,0,,D. Bazley shooting personal FOUL (1 PF) (Doncic 2 FT),"[1629647, 1629029]",1610612760.0,OKC,shooting,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,203591.0,1.0,0.0,Doncic,1629029.0
47,PT08M49.00S,2022-01-18T01:44:54.2Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,11,5,2022-01-18T01:44:54Z,440000,,,0,,L. Doncic Free Throw 1 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,,,,1.0,,,,,,,,,,,,,,
48,PT08M49.00S,2022-01-18T01:45:13.9Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,12,5,2022-01-18T01:45:13Z,450000,,,0,,L. Doncic Free Throw 2 of 2 (2 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,,,,2.0,,,,,,,,,,,,,,
49,PT08M44.00S,2022-01-18T01:45:22.1Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612760,12,5,2022-01-18T01:45:28Z,460000,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1627827, 1628983]",1610612742.0,DAL,shooting,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,203591.0,1.0,0.0,Gilgeous-Alexander,1628983.0
51,PT08M44.00S,2022-01-18T01:45:41.0Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,12,6,2022-01-18T01:45:41Z,480000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (3 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Made,,,,3.0,,,,,,,,,,,,,,
52,PT08M44.00S,2022-01-18T01:45:54.0Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,12,6,2022-01-18T01:45:54Z,490000,,,0,,MISS S. Gilgeous-Alexander Free Throw 2 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Missed,,,,,,,,,,,,,,,,,,
53,PT08M42.00S,2022-01-18T01:45:55.6Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,12,6,2022-01-18T01:45:55Z,500000,,,0,,M. Kleber REBOUND (Off:1 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,52.0,,,,,2.0,1.0,1.0,,,,,,,,
54,PT08M29.00S,2022-01-18T01:46:08.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,79.97700394218134,50.49019607843137,1610612742,14,6,2022-01-18T01:52:42Z,510000,2.0,136.0,1,right,L. Doncic 13' fadeaway Jump Shot (4 PTS),[1629029],1610612742.0,DAL,fadeaway,,,Doncic,L. Doncic,,,,,13.57,Made,,,,4.0,,,,,,,,,,,,,,
55,PT08M20.00S,2022-01-18T01:46:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,9.149145860709593,49.01960784313725,1610612760,14,6,2022-01-18T01:54:15Z,520000,5.0,34.0,1,left,MISS J. Robinson-Earl driving Layup - blocked,"[1630526, 1629029]",1610612760.0,OKC,driving,,,Robinson-Earl,J. Robinson-Earl,,,,,3.39,Missed,Doncic,1629029.0,,,,,,,,,,,,,,,,
56,PT08M20.00S,2022-01-18T01:46:19.3Z,1,REGULAR,block,,[],1629029,,,1610612760,14,6,2022-01-18T01:46:22Z,530000,,,0,,L. Doncic BLOCK (3 BLK),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,
57,PT08M20.00S,2022-01-18T01:46:19.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,14,6,2022-01-18T01:55:14Z,540000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,
58,PT08M20.00S,2022-01-18T01:46:24.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,14,6,2022-01-18T01:46:24Z,550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT08M17.00S,2022-01-18T01:46:32.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630526,9.149145860709593,94.85294117647058,1610612760,14,9,2022-01-18T01:52:13Z,560000,-224.0,34.0,1,left,J. Robinson-Earl 3PT  (3 PTS) (J. Giddey 1 AST),"[1630526, 1630581]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,22.68,Made,,,,3.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,
61,PT08M02.00S,2022-01-18T01:46:46.6Z,1,REGULAR,2pt,Jump Shot,[],1628973,78.13731931668858,74.01960784313727,1610612742,14,9,2022-01-18T01:56:22Z,580000,120.0,153.0,1,right,MISS J. Brunson 19' pullup Shot,[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,19.45,Missed,,,,,,,,,,,,,,,,,,
62,PT07M58.00S,2022-01-18T01:46:50.8Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,14,9,2022-01-18T01:46:50Z,590000,,,0,,D. Bazley REBOUND (Off:0 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,61.0,,,,,2.0,2.0,0.0,,,,,,,,
63,PT07M45.00S,2022-01-18T01:47:03.8Z,1,REGULAR,3pt,Jump Shot,[],1630526,10.85742444152431,95.83333333333334,1610612760,14,9,2022-01-18T01:47:06Z,600000,-229.0,50.0,1,left,MISS J. Robinson-Earl 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,23.45,Missed,,,,,,,,,,,,,,,,,,
64,PT07M42.00S,2022-01-18T01:47:07.4Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,14,9,2022-01-18T01:47:07Z,610000,,,0,,J. Brunson REBOUND (Off:0 Def:2),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,63.0,,,,,2.0,2.0,0.0,,,,,,,,
65,PT07M31.00S,2022-01-18T01:47:18.2Z,1,REGULAR,3pt,Jump Shot,[],204001,73.01248357424441,82.59803921568627,1610612742,14,9,2022-01-18T01:47:21Z,620000,163.0,201.0,1,right,MISS K. Porzingis 25' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,
