actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-28T01:40:04.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-28T01:40:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-28T01:40:06.7Z,1,REGULAR,jumpball,recovered,[],1626161,,,1610612742,0,0,2021-11-28T01:40:06Z,40000,,,0,,Jump Ball K. Porzingis vs. D. Gafford: Tip to W. Cauley-Stein,"[1626161, 204001, 1629655]",1610612742.0,DAL,startperiod,W. Cauley-Stein,1626161.0,Cauley-Stein,W. Cauley-Stein,Porzingis,204001.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-28T01:40:23.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,81.68528252299606,37.254901960784316,1610612742,0,0,2021-11-28T01:40:27Z,70000,-64.0,120.0,1,right,MISS T. Hardaway Jr. 13' driving floating Shot,[203501],1610612742.0,DAL,driving floating,,,Hardaway Jr.,T. Hardaway Jr.,,,,,13.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-11-28T01:40:24.1Z,1,REGULAR,rebound,offensive,[],1626161,,,1610612742,0,0,2021-11-28T01:40:27Z,80000,,,0,,W. Cauley-Stein REBOUND (Off:1 Def:0),[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M38.00S,2021-11-28T01:40:25.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626161,92.85479632063075,52.94117647058824,1610612742,2,0,2021-11-28T01:40:31Z,90000,15.0,15.0,1,right,W. Cauley-Stein putback Layup (2 PTS),[1626161],1610612742.0,DAL,putback,,,Cauley-Stein,W. Cauley-Stein,,,,,2.08,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M22.00S,2021-11-28T01:40:40.8Z,1,REGULAR,2pt,Jump Shot,[],203078,23.603810775295663,73.77450980392157,1610612764,2,2,2021-11-28T01:40:45Z,100000,-119.0,169.0,1,left,B. Beal 20' pullup Jump Shot (2 PTS),[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,20.7,Made,,,,,2.0,,,,,,,,,,,,,
11,PT11M05.00S,2021-11-28T01:40:58.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,94.56307490144546,50.73529411764706,1610612742,4,2,2021-11-28T01:41:04Z,110000,4.0,-1.0,1,right,L. Doncic driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,0.4,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M55.00S,2021-11-28T01:41:10.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,4,2,2021-11-28T01:41:10Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2021-11-28T01:41:34.7Z,1,REGULAR,3pt,Jump Shot,[],1628988,17.16491458607096,6.372549019607843,1610612764,4,2,2021-11-28T01:41:44Z,130000,218.0,109.0,1,left,MISS A. Holiday 24' 3PT,[1628988],1610612764.0,WAS,,,,Holiday,A. Holiday,,,,,24.38,Missed,,,,,,,,,,,,,,,,,,
14,PT10M42.00S,2021-11-28T01:41:37.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,4,2,2021-11-28T01:41:44Z,140000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2021-11-28T01:41:39.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,4,2,2021-11-28T01:41:39Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M30.00S,2021-11-28T01:41:51.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,92.85479632063075,59.80392156862745,1610612742,6,2,2021-11-28T01:41:55Z,160000,49.0,15.0,1,right,L. Doncic driving floating bank Jump Shot (4 PTS),[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,5.12,Made,,,,,4.0,,,,,,,,,,,,,
17,PT10M18.00S,2021-11-28T01:42:03.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628988,8.623521681997373,65.44117647058823,1610612764,6,2,2021-11-28T01:42:10Z,170000,-77.0,29.0,1,left,MISS A. Holiday 8' driving floating bank Shot,[1628988],1610612764.0,WAS,driving floating bank,,,Holiday,A. Holiday,,,,,8.23,Missed,,,,,,,,,,,,,,,,,,
18,PT10M18.00S,2021-11-28T01:42:06.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,6,2,2021-11-28T01:42:06Z,180000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,
19,PT10M18.00S,2021-11-28T01:42:08.6Z,1,REGULAR,foul,personal,[],1626161,,,1610612764,6,2,2021-11-28T01:42:24Z,190000,,,0,,W. Cauley-Stein loose ball personal FOUL (1 PF),"[1626161, 1629655]",1610612742.0,DAL,loose ball,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,101284.0,1.0,0.0,Gafford,1629655.0,,,,,,,,
21,PT10M11.00S,2021-11-28T01:42:29.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628988,12.434296977660972,95.34313725490196,1610612764,6,5,2021-11-28T01:42:37Z,210000,-227.0,64.0,1,left,A. Holiday 3PT  (3 PTS) (B. Beal 1 AST),"[1628988, 203078]",1610612764.0,WAS,,,,Holiday,A. Holiday,,,,,23.57,Made,,,,,3.0,,,,,,B. Beal,203078.0,1.0,,,,,
