actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-10T01:40:21.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-10T01:40:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-10T01:40:24.3Z,1,REGULAR,jumpball,recovered,[],202692,,,1610612752,0,0,2022-03-10T01:40:24Z,40000,,,0,,Jump Ball M. Robinson vs. D. Powell: Tip to A. Burks,"[202692, 1629011, 203939]",1610612752.0,NYK,startperiod,A. Burks,202692.0,Burks,A. Burks,Robinson,1629011.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-03-10T01:40:38.6Z,1,REGULAR,3pt,Jump Shot,[],202692,30.56833114323259,29.166666666666668,1610612752,0,0,2022-03-10T01:40:44Z,70000,104.0,235.0,1,left,MISS A. Burks 25' 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,25.69,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-03-10T01:40:41.6Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,0,0,2022-03-10T01:40:44Z,80000,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2022-03-10T01:40:57.9Z,1,REGULAR,2pt,Jump Shot,[],1628973,76.95466491458606,62.99019607843137,1610612742,0,0,2022-03-10T01:41:03Z,90000,65.0,164.0,1,right,MISS J. Brunson 17' pullup Shot,[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,17.65,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2022-03-10T01:41:01.9Z,1,REGULAR,rebound,offensive,[],203493,,,1610612742,0,0,2022-03-10T01:41:03Z,100000,,,0,,R. Bullock REBOUND (Off:1 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11,PT11M06.00S,2022-03-10T01:41:14.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628973,72.22404730617609,14.950980392156863,1610612742,0,0,2022-03-10T01:41:22Z,110000,-175.0,209.0,1,right,MISS J. Brunson 27' 3PT,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,27.24,Missed,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2022-03-10T01:41:17.4Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,0,0,2022-03-10T01:41:22Z,120000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT10M50.00S,2022-03-10T01:41:30.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629029,87.64783180026281,38.46890318627451,1610612742,0,0,2022-03-10T01:41:47Z,130000,-58.0,64.0,1,right,MISS L. Doncic 8' driving floating bank Shot,[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,8.59,Missed,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2022-03-10T01:41:34.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2022-03-10T01:41:47Z,140000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M30.00S,2022-03-10T01:41:50.0Z,1,REGULAR,2pt,Jump Shot,[],203944,16.113666228646515,82.1078431372549,1610612752,0,0,2022-03-10T01:41:56Z,150000,-161.0,99.0,1,left,MISS J. Randle 18' Jump Shot,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,18.86,Missed,,,,,,,,,,,,,,,,,,
16,PT10M27.00S,2022-03-10T01:41:53.0Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,0,0,2022-03-10T01:42:01Z,160000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT10M25.00S,2022-03-10T01:41:55.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629011,5.590000152587891,50.0,1610612752,0,2,2022-03-10T01:41:55Z,170000,0.0,0.0,1,left,M. Robinson putback DUNK (2 PTS),[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,
18,PT10M13.00S,2022-03-10T01:42:07.1Z,1,REGULAR,turnover,bad pass,[],1627827,,,1610612742,0,2,2022-03-10T01:42:11Z,180000,,,0,,D. Finney-Smith bad pass TURNOVER (1 TO),"[1627827, 1629011]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,1.0,Robinson,1629011.0,,,,,,,,,,
19,PT10M13.00S,2022-03-10T01:42:07.1Z,1,REGULAR,steal,,[],1629011,,,1610612752,0,2,2022-03-10T01:42:09Z,190000,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M05.00S,2022-03-10T01:42:20.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,0,2,2022-03-10T01:42:20Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT09M58.00S,2022-03-10T01:42:38.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202692,24.78646517739816,87.00980392156863,1610612752,0,5,2022-03-10T01:42:43Z,210000,-185.0,180.0,1,left,A. Burks 25' 3PT  (3 PTS) (J. Randle 1 AST),"[202692, 203944]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,25.85,Made,,,,,3.0,,,,J. Randle,203944.0,1.0,,,,,,,
23,PT09M42.00S,2022-03-10T01:42:54.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,93.77463863337714,50.49019607843137,1610612742,2,5,2022-03-10T01:42:58Z,230000,2.0,6.0,1,right,D. Powell alley-oop DUNK (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,0.65,Made,,,,,2.0,,,,L. Doncic,1629029.0,1.0,,,,,,,
25,PT09M25.00S,2022-03-10T01:43:10.3Z,1,REGULAR,3pt,Jump Shot,[],203944,28.07161629434954,77.69607843137256,1610612752,2,5,2022-03-10T01:43:15Z,250000,-138.0,211.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,
26,PT09M22.00S,2022-03-10T01:43:13.3Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,2,5,2022-03-10T01:43:15Z,260000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
