actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-04T01:40:14.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-04T01:40:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-04T01:40:18.5Z,1,REGULAR,jumpball,recovered,[],1627780,,,1610612744,0,0,2022-03-04T01:40:18Z,40000,,,0,,Jump Ball K. Looney vs. D. Powell: Tip to G. Payton II,"[1627780, 1626172, 203939]",1610612744.0,GSW,startperiod,G. Payton II,1627780.0,Payton II,G. Payton II,Looney,1626172.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-04T01:40:29.7Z,1,REGULAR,2pt,Jump Shot,[],202691,9.017739816031538,16.176470588235293,1610612744,0,0,2022-03-04T01:41:03Z,70000,169.0,32.0,1,left,MISS K. Thompson 17' step back Shot,[202691],1610612744.0,GSW,step back,,,Thompson,K. Thompson,,,,,17.22,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-03-04T01:40:31.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2022-03-04T01:40:34Z,80000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-03-04T01:40:36.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1627827,92.72339027595268,51.71568627450981,1610612742,2,0,2022-03-04T01:40:44Z,90000,9.0,16.0,1,right,D. Finney-Smith alley-oop DUNK (2 PTS) (L. Doncic 1 AST),"[1627827, 1629029]",1610612742.0,DAL,alley-oop,,,Finney-Smith,D. Finney-Smith,,,,,1.81,Made,,,,,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,
11,PT11M21.00S,2022-03-04T01:40:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,13.222733245729303,45.34313725490196,1610612744,2,0,2022-03-04T01:45:23Z,110000,23.0,72.0,1,left,MISS A. Wiggins 7' driving floating Shot,[203952],1610612744.0,GSW,driving floating,,,Wiggins,A. Wiggins,,,,,7.55,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2022-03-04T01:40:54.8Z,1,REGULAR,rebound,offensive,[],1627780,,,1610612744,2,0,2022-03-04T01:45:23Z,120000,,,0,,G. Payton II REBOUND (Off:1 Def:0),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
13,PT11M18.00S,2022-03-04T01:40:55.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627780,6.176084099868594,55.51470588235294,1610612744,2,2,2022-03-04T01:41:14Z,130000,-28.0,6.0,1,left,G. Payton II putback Layup (2 PTS),[1627780],1610612744.0,GSW,putback,,,Payton II,G. Payton II,,,,,2.82,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT11M02.00S,2022-03-04T01:41:13.0Z,1,REGULAR,foul,personal,['2freethrow'],202691,,,1610612742,2,2,2022-03-04T01:41:35Z,140000,,,0,,K. Thompson shooting personal FOUL (1 PF) (Doncic 2 FT),"[202691, 1629029]",1610612744.0,GSW,shooting,,,Thompson,K. Thompson,,,,,,,,,,,,,,,1628159.0,1.0,0.0,Doncic,1629029.0,,,,,,
16,PT11M02.00S,2022-03-04T01:41:44.2Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,3,2,2022-03-04T01:41:44Z,160000,,,0,,L. Doncic Free Throw 1 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
17,PT11M02.00S,2022-03-04T01:42:01.3Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,4,2,2022-03-04T01:42:01Z,170000,,,0,,L. Doncic Free Throw 2 of 2 (2 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
18,PT10M51.00S,2022-03-04T01:42:16.9Z,1,REGULAR,turnover,traveling,[],203952,,,1610612744,4,2,2022-03-04T01:42:25Z,180000,,,0,,A. Wiggins traveling TURNOVER (1 TO),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,1146.0,,,,,1.0,,,,,
19,PT10M38.00S,2022-03-04T01:42:44.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,68.80749014454665,75.24509803921569,1610612742,7,2,2022-03-04T01:42:51Z,190000,126.0,241.0,1,right,L. Doncic 27' 3PT step back (5 PTS) (D. Powell 1 AST),"[1629029, 203939]",1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,27.18,Made,,,,,5.0,D. Powell,203939.0,1.0,,,,,,,,,,,
21,PT10M25.00S,2022-03-04T01:42:57.9Z,1,REGULAR,3pt,Jump Shot,[],203952,16.770696452036795,94.36274509803921,1610612744,7,2,2022-03-04T01:43:03Z,210000,-222.0,105.0,1,left,MISS A. Wiggins 24' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,24.54,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M20.00S,2022-03-04T01:43:02.2Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,7,2,2022-03-04T01:43:02Z,220000,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,21.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
23,PT10M18.00S,2022-03-04T01:43:03.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202691,21.107095926412615,8.823529411764707,1610612744,7,2,2022-03-04T01:45:17Z,230000,206.0,146.0,1,left,MISS K. Thompson 25' step back 3PT,[202691],1610612744.0,GSW,step back,,,Thompson,K. Thompson,,,,,25.24,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2022-03-04T01:43:05.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,7,2,2022-03-04T01:43:10Z,240000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,
25,PT10M16.00S,2022-03-04T01:43:10.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,7,2,2022-03-04T01:43:10Z,250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M04.00S,2022-03-04T01:43:25.9Z,1,REGULAR,3pt,Jump Shot,[],203493,71.82982917214193,80.3921568627451,1610612742,7,2,2022-03-04T01:43:33Z,260000,152.0,212.0,1,right,MISS R. Bullock 26' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,26.11,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M01.00S,2022-03-04T01:43:28.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,7,2,2022-03-04T01:43:42Z,270000,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,
29,PT10M01.00S,2022-03-04T01:43:39.3Z,1,REGULAR,foul,personal,[],203939,,,1610612744,7,2,2022-03-04T01:43:53Z,290000,,,0,,D. Powell loose ball personal FOUL (1 PF),"[203939, 203952]",1610612742.0,DAL,loose ball,,,Powell,D. Powell,,,,,,,,,,,,,,,1146.0,1.0,0.0,Wiggins,203952.0,,,,,,
31,PT09M43.00S,2022-03-04T01:44:01.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,9.198423127463863,50.36764705882353,1610612744,7,2,2022-03-04T01:44:12Z,310000,-2.0,34.0,1,left,MISS A. Wiggins driving Layup - blocked,"[203952, 203493]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,3.4,Missed,,,,,,,,,,,,,,,Bullock,203493.0,,,
49,PT09M43.00S,2022-03-04T01:44:01.6Z,1,REGULAR,block,,[],203493,,,1610612744,7,2,2022-03-04T01:46:24Z,315000,,,0,,R. Bullock BLOCK (1 BLK),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M38.00S,2022-03-04T01:44:06.6Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,7,2,2022-03-04T01:44:12Z,320000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,31.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
33,PT09M38.00S,2022-03-04T01:44:06.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203952,5.590000152587891,50.0,1610612744,7,2,2022-03-04T01:44:06Z,330000,0.0,0.0,1,left,MISS A. Wiggins tip Layup,[203952],1610612744.0,GSW,tip,,,Wiggins,A. Wiggins,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M37.00S,2022-03-04T01:44:07.1Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,7,2,2022-03-04T01:44:07Z,340000,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
35,PT09M34.00S,2022-03-04T01:44:12.7Z,1,REGULAR,turnover,traveling,[],1629029,,,1610612742,7,2,2022-03-04T01:44:33Z,350000,,,0,,L. Doncic traveling TURNOVER (1 TO),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,1146.0,,,,,1.0,,,,,
36,PT09M24.00S,2022-03-04T01:44:33.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,32.53942181340342,77.69607843137256,1610612744,7,5,2022-03-04T01:45:10Z,360000,-138.0,253.0,1,left,S. Curry 28' 3PT pullup (3 PTS),[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,28.88,Made,,,,,3.0,,,,,,,,,,,,,,
37,PT09M10.00S,2022-03-04T01:44:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,94.03745072273325,46.81372549019608,1610612742,7,5,2022-03-04T01:47:46Z,370000,-16.0,4.0,1,right,MISS J. Brunson driving finger roll Layup,[1628973],1610612742.0,DAL,driving finger roll,,,Brunson,J. Brunson,,,,,1.63,Missed,,,,,,,,,,,,,,,,,,,
38,PT09M07.00S,2022-03-04T01:44:50.9Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,7,5,2022-03-04T01:44:52Z,380000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,37.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
39,PT09M04.00S,2022-03-04T01:44:54.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],202691,5.863994743758213,81.12745098039215,1610612744,7,5,2022-03-04T01:46:20Z,390000,-156.0,3.0,1,left,MISS K. Thompson 15' running Shot,[202691],1610612744.0,GSW,running,,,Thompson,K. Thompson,,,,,15.56,Missed,,,,,,,,,,,,,,,,,,,
40,PT09M00.00S,2022-03-04T01:44:58.1Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,7,5,2022-03-04T01:44:58Z,400000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
41,PT08M56.00S,2022-03-04T01:45:01.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203493,65.52233902759527,36.27450980392157,1610612742,10,5,2022-03-04T01:45:06Z,410000,-69.0,272.0,1,right,R. Bullock 28' 3PT  (3 PTS) (J. Brunson 1 AST),"[203493, 1628973]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,28.01,Made,,,,,3.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,
43,PT08M42.00S,2022-03-04T01:45:14.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,6.652431011826544,52.450980392156865,1610612744,10,7,2022-03-04T01:45:22Z,430000,-12.0,10.0,1,left,G. Payton II Layup (4 PTS) (K. Looney 1 AST),"[1627780, 1626172]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,1.59,Made,,,,,4.0,K. Looney,1626172.0,1.0,,,,,,,,,,,
45,PT08M26.00S,2022-03-04T01:45:32.5Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612742,10,7,2022-03-04T01:45:44Z,450000,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Doncic 2 FT),"[203952, 1629029]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,1146.0,1.0,0.0,Doncic,1629029.0,,,,,,
