actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-01-06T00:45:31.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-06T00:45:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-06T00:45:32.8Z,1,REGULAR,jumpball,recovered,[],1628467,,,1610612742,0,0,2022-01-06T00:45:32Z,40000,,,0,,Jump Ball D. Powell vs. K. Looney: Tip to M. Kleber,"[1628467, 203939, 1626172]",1610612742.0,DAL,startperiod,M. Kleber,1628467.0,Kleber,M. Kleber,Powell,203939.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-06T00:45:48.3Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,0,0,2022-01-06T00:45:52Z,70000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 203952]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,1.0,Wiggins,203952.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-01-06T00:45:48.3Z,1,REGULAR,steal,,[],203952,,,1610612744,0,0,2022-01-06T00:45:49Z,80000,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-01-06T00:46:04.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,31.09395532194481,72.54901960784314,1610612744,0,0,2022-01-06T00:46:34Z,90000,-113.0,240.0,1,left,MISS A. Wiggins 26' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,26.5,Missed,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-01-06T00:46:07.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2022-01-06T00:46:11Z,100000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M14.00S,2022-01-06T00:46:16.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627827,93.51182654402102,48.529411764705884,1610612742,0,0,2022-01-06T00:46:19Z,110000,-7.0,8.0,1,right,MISS D. Finney-Smith driving Layup,[1627827],1610612742.0,DAL,driving,,,Finney-Smith,D. Finney-Smith,,,,,,,,1.13,Missed,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-01-06T00:46:19.1Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,0,0,2022-01-06T00:46:19Z,120000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M11.00S,2022-01-06T00:46:18.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627827,94.40999984741211,50.0,1610612742,0,0,2022-01-06T00:46:25Z,130000,0.0,0.0,1,right,MISS D. Finney-Smith tip Layup,[1627827],1610612742.0,DAL,tip,,,Finney-Smith,D. Finney-Smith,,,,,,,,0.0,Missed,,,,,,,,,,,,,,,
14,PT11M11.00S,2022-01-06T00:46:18.8Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2022-01-06T01:06:36Z,140000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
