actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-16T01:10:49.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-16T01:10:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-16T01:10:51.3Z,1,REGULAR,jumpball,recovered,[],203939,,,1610612742,0,0,2021-11-16T01:10:51Z,40000,,,0,,Jump Ball K. Porzingis vs. N. Jokic: Tip to D. Powell,"[203939, 204001, 203999]",1610612742.0,DAL,startperiod,D. Powell,203939.0,Powell,D. Powell,Porzingis,204001.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-16T01:11:06.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,82.60512483574244,43.627450980392155,1610612742,0,0,2021-11-16T01:11:17Z,70000,-32.0,111.0,1,right,MISS K. Porzingis 11' turnaround Shot,[204001],1610612742.0,DAL,turnaround,,,Porzingis,K. Porzingis,,,,,11.55,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-11-16T01:11:09.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2021-11-16T01:11:17Z,80000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-11-16T01:11:13.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203085,22.815374507227332,89.4607843137255,1610612743,0,3,2021-11-16T01:11:21Z,90000,-197.0,162.0,1,left,A. Rivers 25' 3PT  (3 PTS) (N. Jokic 1 AST),"[203085, 203999]",1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,25.53,Made,,,,,3.0,N. Jokic,203999.0,1.0,,,,,,,,,,,
11,PT11M12.00S,2021-11-16T01:11:35.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,82.86793692509855,61.51960784313726,1610612742,0,3,2021-11-16T01:11:39Z,110000,58.0,109.0,1,right,MISS L. Doncic 12' turnaround Shot,[1629029],1610612742.0,DAL,turnaround,,,Doncic,L. Doncic,,,,,12.28,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2021-11-16T01:11:37.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,3,2021-11-16T01:11:39Z,120000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT10M59.00S,2021-11-16T01:11:49.5Z,1,REGULAR,2pt,Jump Shot,[],1628420,20.97568988173456,79.41176470588235,1610612743,0,5,2021-11-16T01:11:53Z,130000,-147.0,145.0,1,left,M. Morris 20' pullup Jump Shot (2 PTS),[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,20.63,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT10M46.00S,2021-11-16T01:12:02.0Z,1,REGULAR,2pt,Jump Shot,[],204001,79.10643889618922,32.62101715686275,1610612742,2,5,2021-11-16T01:12:11Z,140000,-87.0,144.0,1,right,K. Porzingis 16' pullup Jump Shot (2 PTS) (L. Doncic 1 AST),"[204001, 1629029]",1610612742.0,DAL,pullup,,,Porzingis,K. Porzingis,,,,,16.81,Made,,,,,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,
16,PT10M23.00S,2021-11-16T01:12:24.3Z,1,REGULAR,3pt,Jump Shot,[],201145,8.360709592641262,2.696078431372549,1610612743,2,5,2021-11-16T01:12:31Z,160000,237.0,26.0,1,left,MISS J. Green 3PT,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,23.79,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M21.00S,2021-11-16T01:12:26.3Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,2,5,2021-11-16T01:12:31Z,170000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M12.00S,2021-11-16T01:12:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,92.32917214191852,47.549019607843135,1610612742,4,5,2021-11-16T01:12:42Z,180000,-12.0,20.0,1,right,L. Doncic driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,2.31,Made,,,,,2.0,,,,,,,,,,,,,,
19,PT09M58.00S,2021-11-16T01:12:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,7.966491458607096,51.9607843137255,1610612743,4,7,2021-11-16T01:12:54Z,190000,-10.0,22.0,1,left,N. Jokic cutting Layup (2 PTS) (M. Morris 1 AST),"[203999, 1628420]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,2.44,Made,,,,,2.0,M. Morris,1628420.0,1.0,,,,,,,,,,,
21,PT09M47.00S,2021-11-16T01:13:01.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,92.72339027595268,62.5,1610612742,6,7,2021-11-16T01:13:05Z,210000,62.0,16.0,1,right,T. Hardaway Jr. 6' turnaround bank Jump Shot (2 PTS) (L. Doncic 2 AST),"[203501, 1629029]",1610612742.0,DAL,turnaround bank,,,Hardaway Jr.,T. Hardaway Jr.,,,,,6.45,Made,,,,,2.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,
