actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-08T00:32:45.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-08T00:32:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-08T00:32:50.0Z,1,REGULAR,jumpball,recovered,[],201142,,,1610612751,0,0,2021-12-08T00:32:50Z,40000,,,0,,Jump Ball L. Aldridge vs. K. Porzingis: Tip to K. Durant,"[201142, 200746, 204001]",1610612751.0,BKN,startperiod,K. Durant,201142.0,Durant,K. Durant,Aldridge,200746.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-12-08T00:33:01.5Z,1,REGULAR,3pt,Jump Shot,[],201988,25.837713534822605,81.61764705882352,1610612751,0,0,2021-12-08T00:33:06Z,70000,-158.0,190.0,1,left,MISS P. Mills 24' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,24.75,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-12-08T00:33:03.5Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,0,0,2021-12-08T00:33:06Z,80000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-12-08T00:33:17.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,84.70762155059133,51.225490196078425,1610612742,0,0,2021-12-08T00:33:21Z,90000,6.0,91.0,1,right,MISS L. Doncic 9' driving floating Shot,[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,9.14,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-12-08T00:33:20.2Z,1,REGULAR,rebound,offensive,[],1629029,,,1610612742,0,0,2021-12-08T00:33:21Z,100000,,,0,,L. Doncic REBOUND (Off:1 Def:0),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M24.00S,2021-12-08T00:33:21.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629029,94.82588699080158,49.50980392156863,1610612742,2,0,2021-12-08T00:33:27Z,110000,-2.0,-4.0,1,right,L. Doncic putback Layup (2 PTS),[1629029],1610612742.0,DAL,putback,,,Doncic,L. Doncic,,,,,0.46,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT11M13.00S,2021-12-08T00:33:31.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200746,19.66162943495401,41.17647058823529,1610612751,2,0,2021-12-08T00:33:37Z,120000,44.0,132.0,1,left,MISS L. Aldridge 13' Jump Shot,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,13.95,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2021-12-08T00:33:33.7Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,2,0,2021-12-08T00:33:37Z,130000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M55.00S,2021-12-08T00:33:49.8Z,1,REGULAR,3pt,Jump Shot,[],1627827,91.01511169513797,96.32352941176471,1610612742,5,0,2021-12-08T00:33:53Z,140000,232.0,32.0,1,right,D. Finney-Smith 3PT  (3 PTS) (K. Porzingis 1 AST),"[1627827, 204001]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.38,Made,,,,,3.0,K. Porzingis,204001.0,1.0,,,,,,,,,,,
16,PT10M31.00S,2021-12-08T00:34:13.7Z,1,REGULAR,3pt,Jump Shot,[],201935,28.597240473061763,23.774509803921568,1610612751,5,0,2021-12-08T00:34:19Z,160000,131.0,216.0,1,left,MISS J. Harden 25' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,25.29,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M28.00S,2021-12-08T00:34:16.7Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,5,0,2021-12-08T00:34:19Z,170000,,,0,,D. Powell REBOUND (Off:0 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
18,PT10M23.00S,2021-12-08T00:34:21.4Z,1,REGULAR,2pt,Hook,"['fastbreak', 'pointsinthepaint']",204001,89.88173455978975,47.143075980392155,1610612742,5,0,2021-12-08T00:34:37Z,180000,-14.0,43.0,1,right,MISS K. Porzingis turnaround Hook,[204001],1610612742.0,DAL,turnaround,,,Porzingis,K. Porzingis,,,,,4.49,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M20.00S,2021-12-08T00:34:24.4Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,5,0,2021-12-08T00:34:37Z,190000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M11.00S,2021-12-08T00:34:33.6Z,1,REGULAR,2pt,Jump Shot,[],201142,17.16491458607096,30.88235294117647,1610612751,5,2,2021-12-08T00:34:40Z,200000,96.0,109.0,1,left,K. Durant 14' turnaround Jump Shot (2 PTS),[201142],1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,14.49,Made,,,,,2.0,,,,,,,,,,,,,,
21,PT09M55.00S,2021-12-08T00:34:49.1Z,1,REGULAR,3pt,Jump Shot,[],1627827,71.96123521681997,77.45098039215686,1610612742,5,2,2021-12-08T00:34:55Z,210000,137.0,211.0,1,right,MISS D. Finney-Smith 25' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,25.18,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M51.00S,2021-12-08T00:34:53.1Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,5,2,2021-12-08T00:34:55Z,220000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
