actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-16T02:40:27.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-16T02:40:27Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-16T02:40:30.2Z,1,REGULAR,jumpball,recovered,[],1628467,,,1610612742,0,0,2022-01-16T02:40:30Z,40000,,,0,,Jump Ball K. Porzingis vs. R. Lopez: Tip to M. Kleber,"[1628467, 204001, 201577]",1610612742.0,DAL,startperiod,M. Kleber,1628467.0,Kleber,M. Kleber,Porzingis,204001.0,Lopez,201577.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-01-16T02:40:49.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,13.87976346911958,50.245098039215684,1610612742,2,0,2022-01-16T02:40:54Z,70000,-1.0,78.0,1,left,K. Porzingis 7' turnaround fadeaway Jump Shot (2 PTS),[204001],1610612742.0,DAL,turnaround fadeaway,,,Porzingis,K. Porzingis,,,,,7.8,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M13.00S,2022-01-16T02:41:13.7Z,1,REGULAR,3pt,Jump Shot,[],1629643,65.91655716162943,51.71568627450981,1610612753,2,0,2022-01-16T02:41:17Z,80000,9.0,268.0,1,right,MISS C. Okeke 26' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,26.8,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M11.00S,2022-01-16T02:41:15.7Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,2,0,2022-01-16T02:41:17Z,90000,,,0,,M. Kleber REBOUND (Off:0 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M06.00S,2022-01-16T02:41:21.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629029,14.011169513797633,35.53921568627451,1610612742,2,0,2022-01-16T02:41:27Z,100000,72.0,79.0,1,left,MISS L. Doncic 10' driving floating Shot,[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,10.72,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2022-01-16T02:41:24.5Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,2,0,2022-01-16T02:41:27Z,110000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M59.00S,2022-01-16T02:41:32.6Z,1,REGULAR,foul,offensive,[],201577,,,1610612753,2,0,2022-01-16T02:41:48Z,120000,,,0,,R. Lopez off-the-ball offensive FOUL (1 PF),"[201577, 1628467]",1610612753.0,ORL,off-the-ball,,,Lopez,R. Lopez,,,,,,,,,,,,203593.0,1.0,0.0,Kleber,1628467.0,,,,,,,,,
14,PT10M59.00S,2022-01-16T02:41:32.6Z,1,REGULAR,turnover,offensive foul,[],201577,,,1610612753,2,0,2022-01-16T02:41:32Z,140000,,,0,,R. Lopez offensive foul TURNOVER (1 TO),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,203593.0,,,,,1.0,,,,,,,,
15,PT10M45.00S,2022-01-16T02:42:04.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629029,9.149145860709593,39.46078431372549,1610612742,2,0,2022-01-16T02:42:12Z,150000,53.0,34.0,1,left,MISS L. Doncic 6' pullup Shot,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,6.24,Missed,,,,,,,,,,,,,,,,,,,
