actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-13T01:42:17.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-13T01:42:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-13T01:42:20.3Z,1,REGULAR,jumpball,recovered,[],202704,,,1610612746,0,0,2022-02-13T01:42:20Z,40000,,,0,,Jump Ball I. Zubac vs. D. Powell: Tip to R. Jackson,"[202704, 1627826, 203939]",1610612746.0,LAC,startperiod,R. Jackson,202704.0,Jackson,R. Jackson,Zubac,1627826.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-02-13T01:42:30.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,85.3646517739816,50.0,1610612746,0,2,2022-02-13T01:42:37Z,70000,0.0,85.0,1,right,M. Morris Sr. 8' driving floating Jump Shot (2 PTS) (I. Zubac 1 AST),"[202694, 1627826]",1610612746.0,LAC,driving floating,,,Morris Sr.,M. Morris Sr.,,,,,8.51,Made,2.0,I. Zubac,1627826.0,1.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-02-13T01:42:54.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,22.026938239159,92.64705882352942,1610612742,0,2,2022-02-13T01:43:02Z,90000,-213.0,155.0,1,left,MISS L. Doncic 26' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,26.34,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2022-02-13T01:42:57.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,0,2,2022-02-13T01:43:02Z,100000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M19.00S,2022-02-13T01:43:02.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,0,2,2022-02-13T01:43:02Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2022-02-13T01:43:16.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203493,3.7614980289093296,14.950980392156863,1610612742,0,2,2022-02-13T01:43:25Z,120000,175.0,-17.0,1,left,MISS R. Bullock 17' Jump Shot,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,17.6,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2022-02-13T01:43:20.3Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,0,2,2022-02-13T01:43:20Z,130000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,
14,PT11M12.00S,2022-02-13T01:43:22.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628973,33.327858081471746,61.029411764705884,1610612742,0,2,2022-02-13T01:43:29Z,140000,-55.0,261.0,1,left,MISS J. Brunson 26' 3PT,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2022-02-13T01:43:22.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,2,2022-02-13T01:43:29Z,150000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
