actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-09T00:40:33.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-09T00:40:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-04-09T00:40:36.3Z,1,REGULAR,jumpball,recovered,[],203493,,,1610612742,0,0,2022-04-09T00:40:36Z,40000,,,0,,Jump Ball D. Powell vs. D. Eubanks: Tip to R. Bullock,"[203493, 203939, 1629234]",1610612742.0,DAL,startperiod,R. Bullock,203493.0,Bullock,R. Bullock,Powell,203939.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-04-09T00:40:49.9Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,0,0,2022-04-09T00:40:54Z,70000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1630553]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,1.0,Johnson,1630553.0,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-04-09T00:40:49.9Z,1,REGULAR,steal,,[],1630553,,,1610612757,0,0,2022-04-09T00:40:54Z,80000,,,0,,K. Johnson STEAL (1 STL),[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-04-09T00:40:55.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629604,7.440867279894875,96.32352941176471,1610612757,0,0,2022-04-09T00:41:20Z,90000,-232.0,17.0,1,left,MISS C. Elleby running 3PT,[1629604],1610612757.0,POR,running,,,Elleby,C. Elleby,,,,,,,,23.23,Missed,,,,,,,,,,,,,,,,
10,PT11M33.00S,2022-04-09T00:40:59.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2022-04-09T00:41:01Z,100000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M15.00S,2022-04-09T00:41:17.1Z,1,REGULAR,3pt,Jump Shot,[],1627827,94.03745072273325,96.07843137254902,1610612742,0,0,2022-04-09T00:41:37Z,110000,230.0,4.0,1,right,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,23.04,Missed,,,,,,,,,,,,,,,,
12,PT11M13.00S,2022-04-09T00:41:19.1Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,0,0,2022-04-09T00:41:37Z,120000,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT10M57.00S,2022-04-09T00:41:35.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630314,17.16491458607096,46.07843137254902,1610612757,0,0,2022-04-09T00:41:41Z,130000,20.0,109.0,1,left,MISS B. Williams 11' driving floating Shot,[1630314],1610612757.0,POR,driving floating,,,Williams,B. Williams,,,,,,,,11.06,Missed,,,,,,,,,,,,,,,,
14,PT10M57.00S,2022-04-09T00:41:35.4Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2022-04-09T00:41:41Z,140000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,
15,PT10M49.00S,2022-04-09T00:41:45.6Z,1,REGULAR,foul,personal,['2freethrow'],1630553,,,1610612742,0,0,2022-04-09T00:41:53Z,150000,,,0,,K. Johnson shooting personal FOUL (1 PF) (Doncic 2 FT),"[1630553, 1629029]",1610612757.0,POR,shooting,,,Johnson,K. Johnson,,,,,,,,,,,,,,1201.0,1.0,0.0,Doncic,1629029.0,,,,,,,
17,PT10M49.00S,2022-04-09T00:42:14.3Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,1,0,2022-04-09T00:42:14Z,170000,,,0,,L. Doncic Free Throw 1 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,Made,,,,,,,,,,1.0,,,,,,
