actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-30T00:41:52.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-30T00:41:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-30T00:41:57.4Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2021-11-30T00:41:57Z,40000,,,0,,Jump Ball N. Jokic vs. B. Adebayo: Tip to A. Gordon,"[203932, 203999, 1628389]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-11-30T00:42:18.4Z,1,REGULAR,foul,personal,['3freethrow'],200782,,,1610612743,0,0,2021-11-30T00:42:32Z,70000,,,0,,P. Tucker shooting personal FOUL (1 PF) (Jokic 3 FT),"[200782, 203999]",1610612748.0,MIA,shooting,,,Tucker,P. Tucker,,,,,2003.0,1.0,0.0,Jokic,203999.0,,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-11-30T00:42:49.1Z,1,REGULAR,freethrow,1 of 3,[],203999,,,1610612743,0,1,2021-11-30T00:42:49Z,90000,,,0,,N. Jokic Free Throw 1 of 3 (1 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M37.00S,2021-11-30T00:43:02.4Z,1,REGULAR,freethrow,2 of 3,[],203999,,,1610612743,0,2,2021-11-30T00:43:02Z,100000,,,0,,N. Jokic Free Throw 2 of 3 (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M37.00S,2021-11-30T00:43:16.2Z,1,REGULAR,freethrow,3 of 3,[],203999,,,1610612743,0,3,2021-11-30T00:43:16Z,110000,,,0,,N. Jokic Free Throw 3 of 3 (3 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
12,PT11M25.00S,2021-11-30T00:43:37.4Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,0,3,2021-11-30T00:43:45Z,120000,,,0,,B. Adebayo bad pass out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,bad pass,,,Adebayo,B. Adebayo,,,,,2003.0,,,,,,,1.0,,,,,,,,,,,,,
13,PT11M05.00S,2021-11-30T00:44:00.9Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,0,3,2021-11-30T00:46:52Z,130000,,,0,,N. Jokic lost ball TURNOVER (1 TO),"[203999, 200782]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,1.0,Tucker,200782.0,,,,,,,,,,,
14,PT11M05.00S,2021-11-30T00:44:00.9Z,1,REGULAR,steal,,[],200782,,,1610612748,0,3,2021-11-30T00:44:03Z,140000,,,0,,P. Tucker STEAL (1 STL),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2021-11-30T00:44:06.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",200782,6.915243101182654,96.32352941176471,1610612748,0,3,2021-11-30T00:44:12Z,150000,-232.0,13.0,1,left,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,Missed,,,,,23.19,,,,,,,,,,
16,PT10M56.00S,2021-11-30T00:44:10.1Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,0,3,2021-11-30T00:44:12Z,160000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
17,PT10M50.00S,2021-11-30T00:44:16.6Z,1,REGULAR,2pt,Jump Shot,[],203932,92.06636005256242,18.627450980392158,1610612743,0,3,2021-11-30T00:48:25Z,170000,-157.0,22.0,1,right,MISS A. Gordon 15' turnaround Shot,[203932],1610612743.0,DEN,turnaround,,,Gordon,A. Gordon,,,,,,,,,,Missed,,,,,15.84,,,,,,,,,,
18,PT10M46.00S,2021-11-30T00:44:20.6Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,0,3,2021-11-30T00:44:22Z,180000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT10M27.00S,2021-11-30T00:44:40.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200782,8.229303547963205,59.55882352941176,1610612748,2,3,2021-11-30T00:44:47Z,190000,-48.0,25.0,1,left,P. Tucker floating Jump Shot (2 PTS) (K. Lowry 1 AST),"[200782, 200768]",1610612748.0,MIA,floating,,,Tucker,P. Tucker,,,,,,,,,,Made,2.0,,,,5.39,,,,,K. Lowry,200768.0,1.0,,,
21,PT10M09.00S,2021-11-30T00:44:59.0Z,1,REGULAR,turnover,out-of-bounds,[],201145,,,1610612743,2,3,2021-11-30T00:45:06Z,210000,,,0,,J. Green bad pass out-of-bounds TURNOVER (1 TO),[201145],1610612743.0,DEN,bad pass,,,Green,J. Green,,,,,2003.0,,,,,,,1.0,,,,,,,,,,,,,
