actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-01T00:42:43.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-01T00:42:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-01T00:42:45.8Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2022-03-01T00:42:45Z,40000,,,0,,Jump Ball N. Vucevic vs. B. Adebayo: Tip to A. Dosunmu,"[1630245, 202696, 1628389]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vucevic,202696.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-03-01T00:43:05.0Z,1,REGULAR,2pt,Jump Shot,[],202696,16.90210249671485,69.85294117647058,1610612741,0,0,2022-03-01T00:43:14Z,70000,-99.0,106.0,1,left,MISS N. Vucevic 14' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,14.55,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2022-03-01T00:43:13.0Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,0,0,2022-03-01T00:43:14Z,80000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M31.00S,2022-03-01T00:43:11.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629750,5.590000152587891,50.0,1610612741,0,2,2022-03-01T00:43:11Z,90000,0.0,0.0,1,left,J. Green tip Layup (2 PTS),[1629750],1610612741.0,CHI,tip,,,Green,J. Green,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M20.00S,2022-03-01T00:43:22.6Z,1,REGULAR,3pt,Jump Shot,[],1629130,67.7562417871222,68.87254901960785,1610612748,0,2,2022-03-01T00:43:30Z,100000,94.0,251.0,1,right,MISS D. Robinson 26' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,26.78,Missed,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2022-03-01T00:43:25.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,2,2022-03-01T00:43:30Z,110000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M10.00S,2022-03-01T00:43:32.5Z,1,REGULAR,3pt,Jump Shot,[],203897,28.465834428383708,80.14705882352942,1610612741,0,2,2022-03-01T00:43:38Z,120000,-151.0,215.0,1,left,MISS Z. LaVine 26' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,26.26,Missed,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2022-03-01T00:43:35.5Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,0,2,2022-03-01T00:43:38Z,130000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M04.00S,2022-03-01T00:43:41.0Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,0,2,2022-03-01T00:43:47Z,140000,,,0,,B. Adebayo bad pass out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,bad pass,,,Adebayo,B. Adebayo,,,,,,,,,,,,2002.0,1.0,,,,,,,,,,,
