actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-02T00:41:39.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-02T00:41:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-02T00:41:42.5Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2021-12-02T00:41:42Z,40000,,,0,,Jump Ball J. Allen vs. D. Dedmon: Tip to D. Garland,"[1629636, 1628386, 203473]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Dedmon,203473.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-12-02T00:42:03.5Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612739,0,0,2021-12-02T00:42:13Z,80000,,,0,,D. Robinson shooting personal FOUL (1 PF) (Markkanen 2 FT),"[1629130, 1628374]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,1627964.0,1.0,0.0,Markkanen,1628374.0,,,,,,,,,,,,,,,,
10,PT11M41.00S,2021-12-02T00:42:24.5Z,1,REGULAR,freethrow,1 of 2,[],1628374,,,1610612739,0,1,2021-12-02T00:42:41Z,100000,,,0,,L. Markkanen Free Throw 1 of 2 (1 PTS),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
11,PT11M41.00S,2021-12-02T00:42:24.5Z,1,REGULAR,freethrow,2 of 2,[],1628374,,,1610612739,0,1,2021-12-02T00:42:41Z,110000,,,0,,MISS L. Markkanen Free Throw 2 of 2,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,Missed,,,,,,,,,,,,,,,
12,PT11M37.00S,2021-12-02T00:42:28.5Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,0,1,2021-12-02T00:42:41Z,120000,,,0,,D. Dedmon REBOUND (Off:0 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M25.00S,2021-12-02T00:42:51.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,6.783837056504599,46.81372549019608,1610612748,0,1,2021-12-02T00:42:58Z,130000,16.0,11.0,1,left,MISS K. Lowry driving Layup,[200768],1610612748.0,MIA,driving,,,Lowry,K. Lowry,,,,,,,,,,Missed,,,,,,1.95,,,,,,,,,
14,PT11M21.00S,2021-12-02T00:42:55.3Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,1,2021-12-02T01:16:08Z,140000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT11M15.00S,2021-12-02T00:43:01.0Z,1,REGULAR,3pt,Jump Shot,[],1629636,87.99277266754271,2.696078431372549,1610612739,0,1,2021-12-02T00:43:06Z,150000,-237.0,60.0,1,right,MISS D. Garland 24' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,Missed,,,,,,24.41,,,,,,,,,
16,PT11M12.00S,2021-12-02T00:43:04.0Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,0,1,2021-12-02T00:43:06Z,160000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
