actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-29T00:41:36.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-29T00:41:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-29T00:41:38.7Z,1,REGULAR,jumpball,recovered,[],1629130,,,1610612748,0,0,2021-12-29T00:41:38Z,40000,,,0,,Jump Ball O. Yurtseven vs. D. Gafford: Tip to D. Robinson,"[1629130, 1630209, 1629655]",1610612748.0,MIA,startperiod,D. Robinson,1629130.0,Robinson,D. Robinson,Yurtseven,1630209.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-29T00:41:50.7Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.14520367936925,36.51960784313725,1610612748,0,0,2021-12-29T00:42:35Z,70000,67.0,250.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.86,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-12-29T00:41:52.7Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2021-12-29T00:41:55Z,80000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2021-12-29T00:42:13.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628398,93.64323258869908,50.245098039215684,1610612764,0,2,2021-12-29T00:42:19Z,90000,1.0,7.0,1,right,K. Kuzma driving DUNK (2 PTS) (C. Kispert 1 AST),"[1628398, 1630557]",1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,0.74,Made,,,,,2.0,C. Kispert,1630557.0,1.0,,,,,,,,,,,
11,PT11M06.00S,2021-12-29T00:42:29.2Z,1,REGULAR,3pt,Jump Shot,[],1629130,22.421156373193167,90.19607843137256,1610612748,3,2,2021-12-29T00:42:36Z,110000,-201.0,158.0,1,left,D. Robinson 25' 3PT  (3 PTS) (O. Yurtseven 1 AST),"[1629130, 1630209]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.59,Made,,,,,3.0,O. Yurtseven,1630209.0,1.0,,,,,,,,,,,
13,PT10M53.00S,2021-12-29T00:42:42.6Z,1,REGULAR,turnover,lost ball,[],1630166,,,1610612764,3,2,2021-12-29T00:42:47Z,130000,,,0,,D. Avdija lost ball TURNOVER (1 TO),"[1630166, 1629216]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,1.0,Vincent,1629216.0,,,,,,,,
14,PT10M53.00S,2021-12-29T00:42:42.6Z,1,REGULAR,steal,,[],1629216,,,1610612748,3,2,2021-12-29T00:42:44Z,140000,,,0,,G. Vincent STEAL (1 STL),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M45.00S,2021-12-29T00:42:50.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,28.597240473061763,76.9607843137255,1610612748,3,2,2021-12-29T00:42:58Z,150000,-135.0,216.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.49,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2021-12-29T00:42:54.7Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,3,2,2021-12-29T00:42:58Z,160000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
