actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-30T01:09:42.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-30T01:09:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-30T01:09:44.9Z,1,REGULAR,jumpball,recovered,[],1629216,,,1610612748,0,0,2022-01-30T01:09:45Z,40000,,,0,,Jump Ball B. Adebayo vs. S. Barnes: Tip to G. Vincent,"[1629216, 1628389, 1630567]",1610612748.0,MIA,startperiod,G. Vincent,1629216.0,Vincent,G. Vincent,Adebayo,1628389.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-30T01:09:59.4Z,1,REGULAR,foul,personal,[],1630567,,,1610612748,0,0,2022-01-30T01:10:11Z,70000,,,0,,S. Barnes personal FOUL (1 PF),"[1630567, 1628389]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,1627964.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-01-30T01:10:22.9Z,1,REGULAR,3pt,Jump Shot,[],1629216,29.77989487516426,18.38235294117647,1610612748,0,0,2022-01-30T01:10:29Z,90000,158.0,227.0,1,left,MISS G. Vincent 27' 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,27.7,Missed,,,,,,,,,,,,,,
10,PT11M34.00S,2022-01-30T01:10:26.9Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,0,0,2022-01-30T01:10:29Z,100000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M23.00S,2022-01-30T01:10:37.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629130,5.732588699080158,95.83333333333334,1610612748,0,0,2022-01-30T01:10:46Z,110000,-229.0,1.0,1,left,MISS D. Robinson 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,22.92,Missed,,,,,,,,,,,,,,
12,PT11M20.00S,2022-01-30T01:10:40.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,0,0,2022-01-30T01:21:18Z,120000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
13,PT11M20.00S,2022-01-30T01:10:53.9Z,1,REGULAR,foul,personal,[],1627783,,,1610612748,0,0,2022-01-30T01:21:26Z,130000,,,0,,P. Siakam loose ball personal FOUL (1 PF),"[1627783, 1629130]",1610612761.0,TOR,loose ball,,,Siakam,P. Siakam,,,,,202041.0,1.0,0.0,Robinson,1629130.0,,,,,,,,,,,,,,,,
16,PT11M14.00S,2022-01-30T01:11:27.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],200782,8.09789750328515,2.696078431372549,1610612748,0,0,2022-01-30T01:21:26Z,160000,237.0,24.0,1,left,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,23.77,Missed,,,,,,,,,,,,,,
17,PT11M10.00S,2022-01-30T01:11:31.7Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,0,0,2022-01-30T01:11:34Z,170000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT11M04.00S,2022-01-30T01:11:46.4Z,1,REGULAR,foul,personal,[],1629216,,,1610612761,0,0,2022-01-30T01:11:58Z,180000,,,0,,G. Vincent personal FOUL (1 PF),"[1629216, 1630567]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,202041.0,1.0,0.0,Barnes,1630567.0,,,,,,,,,,,,,,,,
20,PT10M52.00S,2022-01-30T01:12:04.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627783,86.81011826544021,42.8921568627451,1610612761,0,2,2022-01-30T01:12:15Z,200000,-36.0,71.0,1,right,P. Siakam 7' driving Hook (2 PTS),[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,,,,,,7.98,Made,,,,,2.0,,,,,,,,,
21,PT10M30.00S,2022-01-30T01:12:25.3Z,1,REGULAR,3pt,Jump Shot,[],1629216,4.944152431011826,96.32352941176471,1610612748,3,2,2022-01-30T01:14:32Z,210000,-232.0,-6.0,1,left,G. Vincent 3PT  (3 PTS) (P. Tucker 1 AST),"[1629216, 200782]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,23.17,Made,,,,,3.0,P. Tucker,200782.0,1.0,,,,,,
23,PT10M18.00S,2022-01-30T01:12:38.8Z,1,REGULAR,3pt,Jump Shot,[],1629018,93.38042049934296,4.411764705882353,1610612761,3,2,2022-01-30T01:12:49Z,230000,-228.0,10.0,1,right,MISS G. Trent Jr. 3PT - blocked,"[1629018, 202710]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,22.81,Missed,,,,,,,,,Butler,202710.0,,,,
24,PT10M18.00S,2022-01-30T01:12:38.8Z,1,REGULAR,block,,[],202710,,,1610612761,3,2,2022-01-30T01:12:41Z,240000,,,0,,J. Butler BLOCK (1 BLK),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M18.00S,2022-01-30T01:12:38.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,3,2,2022-01-30T01:12:49Z,250000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,
26,PT10M18.00S,2022-01-30T01:12:44.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,3,2,2022-01-30T01:12:44Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M05.00S,2022-01-30T01:13:04.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627832,83.52496714848883,42.64705882352941,1610612761,3,2,2022-01-30T01:13:11Z,270000,-37.0,102.0,1,right,MISS F. VanVleet 10' Jump Shot,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,10.88,Missed,,,,,,,,,,,,,,
28,PT10M01.00S,2022-01-30T01:13:08.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,3,2,2022-01-30T01:13:11Z,280000,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,27.0,2.0,1.0,1.0,,,,,,,,,,
29,PT09M50.00S,2022-01-30T01:13:19.7Z,1,REGULAR,2pt,Jump Shot,[],1628389,27.414586070959263,47.549019607843135,1610612748,5,2,2022-01-30T01:13:25Z,290000,12.0,205.0,1,left,B. Adebayo 20' Jump Shot (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,20.56,Made,,,,,2.0,,,,,,,,,
30,PT09M37.00S,2022-01-30T01:13:32.5Z,1,REGULAR,3pt,Jump Shot,[],1629018,67.62483574244416,68.13725490196079,1610612761,5,5,2022-01-30T01:13:37Z,300000,91.0,252.0,1,right,G. Trent Jr. 26' 3PT  (3 PTS) (F. VanVleet 1 AST),"[1629018, 1627832]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,26.76,Made,,,,,3.0,F. VanVleet,1627832.0,1.0,,,,,,
