actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-24T00:42:06.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-24T00:42:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-24T00:42:09.9Z,1,REGULAR,jumpball,recovered,[],1628977,,,1610612765,0,0,2021-12-24T00:42:09Z,40000,,,0,,Jump Ball T. Lyles vs. D. Dedmon: Tip to H. Diallo,"[1628977, 1626168, 203473]",1610612765.0,DET,startperiod,H. Diallo,1628977.0,Diallo,H. Diallo,Lyles,1626168.0,Dedmon,203473.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2021-12-24T00:42:11.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628977,91.80354796320631,58.08823529411765,1610612765,0,0,2021-12-24T00:42:18Z,70000,40.0,25.0,1,right,MISS H. Diallo driving Layup,[1628977],1610612765.0,DET,driving,,,Diallo,H. Diallo,,,,,4.72,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M52.00S,2021-12-24T00:42:13.3Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,0,0,2021-12-24T00:42:13Z,80000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-12-24T00:42:27.4Z,1,REGULAR,3pt,Jump Shot,[],1629216,5.206964520367937,95.34313725490196,1610612748,0,0,2021-12-24T00:42:34Z,90000,-227.0,-4.0,1,left,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2021-12-24T00:42:30.4Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612765,0,0,2021-12-24T00:42:34Z,100000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612765.0,DET,,,,Lyles,T. Lyles,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M14.00S,2021-12-24T00:42:51.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626168,80.23981603153744,37.99019607843137,1610612765,0,0,2021-12-24T00:42:58Z,110000,-60.0,133.0,1,right,MISS T. Lyles 14' pullup Shot,[1626168],1610612765.0,DET,pullup,,,Lyles,T. Lyles,,,,,14.61,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2021-12-24T00:42:53.6Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,0,0,2021-12-24T00:42:58Z,120000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M03.00S,2021-12-24T00:43:06.8Z,1,REGULAR,foul,personal,[],1628402,,,1610612748,0,0,2021-12-24T00:43:17Z,130000,,,0,,F. Jackson personal FOUL (1 PF),"[1628402, 203473]",1610612765.0,DET,,,,Jackson,F. Jackson,,,,,,,,,,,2715.0,1.0,0.0,Dedmon,203473.0,,,,,,,,,,
15,PT10M52.00S,2021-12-24T00:43:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629130,7.178055190538765,37.745098039215684,1610612748,0,0,2021-12-24T00:43:38Z,150000,61.0,15.0,1,left,MISS D. Robinson 6' driving Layup,[1629130],1610612748.0,MIA,driving,,,Robinson,D. Robinson,,,,,6.31,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2021-12-24T00:43:33.9Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,0,0,2021-12-24T00:43:38Z,160000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
