actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-27T00:11:19.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-27T00:11:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-27T00:11:21.9Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2022-03-27T00:11:21Z,40000,,,0,,Jump Ball B. Adebayo vs. A. Drummond: Tip to P. Tucker,"[200782, 1628389, 203083]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Adebayo,1628389.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-03-27T00:11:39.4Z,1,REGULAR,turnover,lost ball,[],202710,,,1610612748,0,0,2022-03-27T00:11:47Z,70000,,,0,,J. Butler lost ball TURNOVER (1 TO),"[202710, 203083]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,1.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-03-27T00:11:39.4Z,1,REGULAR,steal,,[],203083,,,1610612751,0,0,2022-03-27T00:11:41Z,80000,,,0,,A. Drummond STEAL (1 STL),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2022-03-27T00:11:44.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203552,74.06373193166885,16.176470588235293,1610612751,0,3,2022-03-27T00:11:51Z,90000,-169.0,191.0,1,right,S. Curry 25' 3PT  (3 PTS) (B. Brown 1 AST),"[203552, 1628971]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,25.53,Made,3.0,B. Brown,1628971.0,1.0,,,,,,,,,,,,
11,PT11M23.00S,2022-03-27T00:12:00.1Z,1,REGULAR,foul,technical,['1freethrow'],203083,,,1610612748,0,3,2022-03-27T00:12:23Z,110000,,,0,,A. Drummond defensive-3-second technical FOUL (1 Tech),[203083],1610612751.0,BKN,defensive-3-second,,,Drummond,A. Drummond,,,,,,,,,,,,,,1193.0,0.0,1.0,,,,,,,,,
12,PT11M23.00S,2022-03-27T00:12:25.0Z,1,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,1,3,2022-03-27T00:12:25Z,120000,,,0,,J. Butler technical Free Throw 1 of 1 (1 PTS),[202710],1610612748.0,MIA,technical,,,Butler,J. Butler,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
13,PT11M16.00S,2022-03-27T00:12:37.0Z,1,REGULAR,3pt,Jump Shot,[],200768,26.10052562417871,13.23529411764706,1610612748,4,3,2022-03-27T00:12:44Z,130000,184.0,193.0,1,left,K. Lowry 26' 3PT step back (3 PTS) (J. Butler 1 AST),"[200768, 202710]",1610612748.0,MIA,step back,,,Lowry,K. Lowry,,,,,,,,26.64,Made,3.0,J. Butler,202710.0,1.0,,,,,,,,,,,,
15,PT10M57.00S,2022-03-27T00:12:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203552,79.84559789750328,56.127450980392155,1610612751,4,3,2022-03-27T00:16:01Z,150000,31.0,137.0,1,right,MISS S. Curry 14' driving floating Shot,[203552],1610612751.0,BKN,driving floating,,,Curry,S. Curry,,,,,,,,14.04,Missed,,,,,,,,,,,,,,,,
16,PT10M51.00S,2022-03-27T00:13:01.1Z,1,REGULAR,rebound,offensive,[],203083,,,1610612751,4,3,2022-03-27T00:13:03Z,160000,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,
