actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-23T23:12:46.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-23T23:12:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-23T23:12:48.7Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2022-01-23T23:12:48Z,40000,,,0,,Jump Ball D. Howard vs. B. Adebayo: Tip to L. James,"[2544, 2730, 1628389]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Howard,2730.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-01-23T23:13:10.3Z,1,REGULAR,2pt,Jump Shot,[],2544,74.06373193166885,63.48039215686274,1610612747,0,0,2022-01-23T23:13:15Z,70000,67.0,191.0,1,right,MISS L. James 20' Jump Shot,[2544],1610612747.0,LAL,,,,James,L. James,,,,,20.28,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-01-23T23:13:12.1Z,1,REGULAR,rebound,offensive,[],2730,,,1610612747,0,0,2022-01-23T23:13:12Z,80000,,,0,,D. Howard REBOUND (Off:1 Def:0),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-01-23T23:13:13.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",2730,93.11760840998686,50.49019607843137,1610612747,0,0,2022-01-23T23:13:19Z,90000,2.0,12.0,1,right,MISS D. Howard putback DUNK,[2730],1610612747.0,LAL,putback,,,Howard,D. Howard,,,,,1.25,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2022-01-23T23:13:13.7Z,1,REGULAR,rebound,offensive,[],201566,,,1610612747,0,0,2022-01-23T23:13:19Z,100000,,,0,,R. Westbrook REBOUND (Off:1 Def:0),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M27.00S,2022-01-23T23:13:20.4Z,1,REGULAR,turnover,out-of-bounds,[],2772,,,1610612747,0,0,2022-01-23T23:13:27Z,110000,,,0,,T. Ariza bad pass out-of-bounds TURNOVER (1 TO),[2772],1610612747.0,LAL,bad pass,,,Ariza,T. Ariza,,,,,,,,,,,203592.0,1.0,,,,,,,,,,,,,
12,PT11M13.00S,2022-01-23T23:13:44.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628389,5.995400788436268,51.225490196078425,1610612748,2,0,2022-01-23T23:13:50Z,120000,-6.0,4.0,1,left,B. Adebayo alley-oop DUNK (2 PTS) (G. Vincent 1 AST),"[1628389, 1629216]",1610612748.0,MIA,alley-oop,,,Adebayo,B. Adebayo,,,,,0.72,Made,,,,,,,2.0,G. Vincent,1629216.0,1.0,,,,,,,,,
14,PT10M49.00S,2022-01-23T23:14:09.2Z,1,REGULAR,2pt,Jump Shot,[],202340,92.46057818659659,25.735294117647058,1610612747,2,2,2022-01-23T23:14:15Z,140000,-121.0,18.0,1,right,A. Bradley 12' driving floating Jump Shot (2 PTS),[202340],1610612747.0,LAL,driving floating,,,Bradley,A. Bradley,,,,,12.27,Made,,,,,,,2.0,,,,,,,,,,,,
15,PT10M38.00S,2022-01-23T23:14:19.3Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.933639947437584,56.86274509803921,1610612748,2,2,2022-01-23T23:14:24Z,150000,-34.0,257.0,1,left,MISS D. Robinson 25' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,25.94,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2022-01-23T23:14:22.3Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,2,2,2022-01-23T23:14:24Z,160000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M30.00S,2022-01-23T23:14:30.7Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,2,2,2022-01-23T23:14:35Z,170000,,,0,,L. James bad pass out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,,,,,,,202058.0,1.0,,,,,,,,,,,,,
18,PT10M18.00S,2022-01-23T23:14:55.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629216,34.94374178712221,72.52604166666667,1610612748,2,2,2022-01-23T23:17:05Z,180000,-113.0,276.0,1,left,MISS G. Vincent 29' 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,29.81,Missed,,,,,,,,,,,,,,,,,,,
