actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-28T23:42:19.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-28T23:42:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-28T23:42:26.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612758,0,0,2022-03-28T23:42:26Z,40000,,,0,,Jump Ball D. Jones vs. B. Adebayo: Tip to Team (SAC),"[1627745, 1628389]",1610612758.0,SAC,startperiod,Team (SAC),Jones,1627745.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
14,PT11M57.00S,2022-03-28T23:42:38.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,0,0,2022-03-28T23:43:56Z,65000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-03-28T23:42:50.1Z,1,REGULAR,3pt,Jump Shot,[],1626168,92.32917214191852,95.34313725490196,1610612758,0,0,2022-03-28T23:42:54Z,70000,227.0,20.0,1,right,MISS T. Lyles 3PT,[1626168],1610612758.0,SAC,,,,,,,22.75,Missed,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-03-28T23:42:53.1Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,0,0,2022-03-28T23:42:54Z,80000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,,,,,,Lowry,K. Lowry,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-03-28T23:43:04.1Z,1,REGULAR,violation,kicked ball,[],1626168,,,1610612748,0,0,2022-03-28T23:43:22Z,90000,,,0,,T. Lyles kicked ball VIOLATION,[1626168],1610612758.0,SAC,,,,,,,,,Lyles,T. Lyles,,,,,202041.0,,,,,,,,,,,,,
10,PT11M18.00S,2022-03-28T23:43:27.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,14.799605781865965,46.07843137254902,1610612748,0,0,2022-03-28T23:43:32Z,100000,20.0,87.0,1,left,MISS B. Adebayo 8' floating Shot,[1628389],1610612748.0,MIA,floating,,,,,,8.88,Missed,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2022-03-28T23:43:29.3Z,1,REGULAR,rebound,defensive,[],1627745,,,1610612758,0,0,2022-03-28T23:43:32Z,110000,,,0,,D. Jones REBOUND (Off:0 Def:1),[1627745],1610612758.0,SAC,,,,,,,,,Jones,D. Jones,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M11.00S,2022-03-28T23:43:45.2Z,1,REGULAR,foul,personal,[],1629622,,,1610612758,0,0,2022-03-28T23:43:52Z,120000,,,0,,M. Strus personal FOUL (1 PF),"[1629622, 1630558]",1610612748.0,MIA,,,,,,,,,Strus,M. Strus,,,,,201638.0,1.0,0.0,Mitchell,1630558.0,,,,,,,,,
15,PT11M02.00S,2022-03-28T23:43:58.5Z,1,REGULAR,2pt,Jump Shot,[],1630558,74.58935611038108,33.088235294117645,1610612758,0,2,2022-03-28T23:44:03Z,140000,-85.0,186.0,1,right,D. Mitchell 20' pullup Jump Shot (2 PTS),[1630558],1610612758.0,SAC,pullup,,,,,,20.47,Made,Mitchell,D. Mitchell,,,,,,,,,,2.0,,,,,,,,
