actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-08T00:41:59.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-08T00:41:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-08T00:42:03.0Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2022-03-08T00:42:03Z,40000,,,0,,Jump Ball B. Adebayo vs. A. Sengun: Tip to P. Tucker,"[200782, 1628389, 1630578]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Adebayo,1628389.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-03-08T00:42:15.2Z,1,REGULAR,turnover,out-of-bounds,[],200782,,,1610612748,0,0,2022-03-08T00:42:21Z,70000,,,0,,P. Tucker bad pass out-of-bounds TURNOVER (1 TO),[200782],1610612748.0,MIA,bad pass,,,Tucker,P. Tucker,,,,,1363.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-03-08T00:42:34.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,0,0,2022-03-08T00:42:34Z,80000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-03-08T00:42:46.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629726,89.56964520367937,3.6764705882352944,1610612745,0,0,2022-03-08T00:42:51Z,90000,-232.0,46.0,1,right,MISS G. Mathews 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,23.6,Missed,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2022-03-08T00:42:51.1Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,0,2022-03-08T00:42:51Z,100000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M27.00S,2022-03-08T00:43:07.8Z,1,REGULAR,foul,personal,[],1629645,,,1610612748,0,0,2022-03-08T00:43:23Z,110000,,,0,,K. Porter Jr. take personal FOUL (1 PF),"[1629645, 202710]",1610612745.0,HOU,take,,,Porter Jr.,K. Porter Jr.,,,,,200832.0,,,,,,,,1.0,0.0,Butler,202710.0,,,,,,,,,
13,PT11M27.00S,2022-03-08T00:43:22.5Z,1,REGULAR,substitution,out,[],1629726,,,1610612748,0,0,2022-03-08T00:43:26Z,130000,,,0,,SUB out: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M27.00S,2022-03-08T00:43:22.5Z,1,REGULAR,substitution,in,[],1630528,,,1610612748,0,0,2022-03-08T00:43:26Z,140000,,,0,,SUB in: J. Christopher,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2022-03-08T00:43:51.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,7.178055190538765,47.30392156862745,1610612748,2,0,2022-03-08T00:43:55Z,150000,13.0,15.0,1,left,J. Butler driving Layup (2 PTS),[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,,,2.02,Made,,,,,,,,,2.0,,,,,,,,
