actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-12T01:11:44.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-12T01:11:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-12T01:11:46.8Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2022-03-12T01:11:46Z,40000,,,0,,Jump Ball B. Adebayo vs. E. Mobley: Tip to J. Butler,"[202710, 1628389, 1630596]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-03-12T01:12:06.6Z,1,REGULAR,3pt,Jump Shot,[],1629130,27.677398160315374,21.813725490196077,1610612748,0,0,2022-03-12T01:12:13Z,70000,141.0,208.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.1,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2022-03-12T01:12:12.6Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,0,0,2022-03-12T01:12:13Z,80000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2022-03-12T01:12:16.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628389,6.521024967148489,47.30392156862745,1610612748,2,0,2022-03-12T01:13:20Z,90000,13.0,9.0,1,left,B. Adebayo driving reverse Layup (2 PTS) (K. Lowry 1 AST),"[1628389, 200768]",1610612748.0,MIA,driving reverse,,,Adebayo,B. Adebayo,,,,,1.61,Made,,,,,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,
11,PT11M08.00S,2022-03-12T01:12:36.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,92.72339027595268,48.77450980392157,1610612739,2,0,2022-03-12T01:12:43Z,110000,-6.0,16.0,1,right,MISS I. Okoro driving Layup,[1630171],1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,1.7,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2022-03-12T01:12:38.0Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,2,0,2022-03-12T01:12:43Z,120000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M55.00S,2022-03-12T01:12:50.8Z,1,REGULAR,turnover,out-of-bounds,[],200768,,,1610612748,2,0,2022-03-12T01:18:22Z,130000,,,0,,K. Lowry bad pass out-of-bounds TURNOVER (1 TO),[200768],1610612748.0,MIA,bad pass,,,Lowry,K. Lowry,,,,,,,,,,,,,,,1146.0,1.0,,,,,,,,
14,PT10M41.00S,2022-03-12T01:13:14.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629636,92.59198423127464,53.67647058823529,1610612739,2,0,2022-03-12T01:16:32Z,140000,18.0,17.0,1,right,MISS D. Garland driving finger roll Layup,[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,2.51,Missed,,,,,,,,,,,,,,,,,,
15,PT10M39.00S,2022-03-12T01:13:16.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,0,2022-03-12T01:13:19Z,150000,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,14.0,2.0,1.0,1.0,,,,,,,,,,,,,,
