actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2022-01-20T00:42:31.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-20T00:42:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-20T00:42:34.0Z,1,REGULAR,jumpball,recovered,[],203496,,,1610612757,0,0,2022-01-20T00:42:34Z,40000,,,0,,Jump Ball J. Nurkic vs. B. Adebayo: Tip to R. Covington,"[203496, 203994, 1628389]",1610612757.0,POR,startperiod,R. Covington,203496.0,Covington,R. Covington,Nurkic,203994.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-20T00:42:45.7Z,1,REGULAR,turnover,bad pass,[],1629014,,,1610612757,0,0,2022-01-20T00:42:49Z,70000,,,0,,A. Simons bad pass TURNOVER (1 TO),"[1629014, 1628389]",1610612757.0,POR,,,,Simons,A. Simons,,,,,1.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-01-20T00:42:45.7Z,1,REGULAR,steal,,[],1628389,,,1610612748,0,0,2022-01-20T00:42:47Z,80000,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2022-01-20T00:42:49.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628389,9.411957950065702,54.65686274509803,1610612748,0,0,2022-01-20T00:44:04Z,90000,-23.0,36.0,1,left,MISS B. Adebayo running Layup - blocked,"[1628389, 1629014]",1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,,,,4.29,Missed,Simons,1629014.0,,,,,,,,,,,,,,
10,PT11M42.00S,2022-01-20T00:42:49.5Z,1,REGULAR,block,,[],1629014,,,1610612748,0,0,2022-01-20T00:42:51Z,100000,,,0,,A. Simons BLOCK (1 BLK),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M39.00S,2022-01-20T00:42:52.5Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,0,0,2022-01-20T00:42:59Z,110000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M36.00S,2022-01-20T00:42:55.6Z,1,REGULAR,3pt,Jump Shot,[],1629014,65.52233902759527,62.00980392156863,1610612757,0,3,2022-01-20T00:43:04Z,120000,60.0,272.0,1,right,A. Simons 27' 3PT pullup (3 PTS),[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,,,,27.81,Made,,,,,,,3.0,,,,,,,,,
13,PT11M14.00S,2022-01-20T00:43:20.0Z,1,REGULAR,turnover,offensive goaltending,[],1628389,,,1610612748,0,3,2022-01-20T00:43:42Z,130000,,,0,,B. Adebayo offensive goaltending TURNOVER (1 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,1.0,,,,,,,,,,,,2004.0,,,,,,,,
14,PT10M59.00S,2022-01-20T00:43:43.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629642,87.86136662286465,95.58823529411765,1610612757,0,3,2022-01-20T00:43:51Z,140000,228.0,62.0,1,right,MISS N. Little 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,23.61,Missed,,,,,,,,,,,,,,,,
15,PT10M59.00S,2022-01-20T00:43:43.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,0,3,2022-01-20T00:43:51Z,150000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,
16,PT10M59.00S,2022-01-20T00:43:49.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,0,3,2022-01-20T00:43:49Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M38.00S,2022-01-20T00:44:20.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,7.30946123521682,49.26470588235294,1610612748,0,3,2022-01-20T00:44:25Z,170000,4.0,16.0,1,left,MISS G. Vincent Layup,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,1.66,Missed,,,,,,,,,,,,,,,,
18,PT10M35.00S,2022-01-20T00:44:23.6Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,0,3,2022-01-20T00:44:25Z,180000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M28.00S,2022-01-20T00:44:29.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,91.93495400788436,35.78431372549019,1610612757,0,5,2022-01-20T00:44:37Z,190000,-71.0,23.0,1,right,C. McCollum 7' pullup Jump Shot (2 PTS),[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,,,,7.48,Made,,,,,,,2.0,,,,,,,,,
20,PT10M15.00S,2022-01-20T00:44:44.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,7.30946123521682,49.01960784313725,1610612748,2,5,2022-01-20T00:44:52Z,200000,5.0,16.0,1,left,G. Vincent driving finger roll Layup (2 PTS),[1629216],1610612748.0,MIA,driving finger roll,,,Vincent,G. Vincent,,,,,,,,1.69,Made,,,,,,,2.0,,,,,,,,,
21,PT10M15.00S,2022-01-20T00:44:48.6Z,1,REGULAR,foul,personal,['1freethrow'],203994,,,1610612748,2,5,2022-01-20T00:44:56Z,210000,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Vincent 1 FT),"[203994, 1629216]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,1628159.0,1.0,0.0,Vincent,1629216.0,,,,
