actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-15T01:12:16.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-15T01:12:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-15T01:12:20.1Z,1,REGULAR,jumpball,recovered,[],1629631,,,1610612737,0,0,2022-01-15T01:12:20Z,40000,,,0,,Jump Ball G. Dieng vs. O. Yurtseven: Tip to D. Hunter,"[1629631, 203476, 1630209]",1610612737.0,ATL,startperiod,D. Hunter,1629631.0,Hunter,D. Hunter,Dieng,203476.0,Yurtseven,1630209.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2022-01-15T01:12:25.0Z,1,REGULAR,foul,personal,[],1629622,,,1610612737,0,0,2022-01-15T01:12:42Z,70000,,,0,,M. Strus personal FOUL (1 PF),"[1629622, 1629631]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,1198.0,1.0,0.0,Hunter,1629631.0,,,,,,,,,,,,,,,,
9,PT11M42.00S,2022-01-15T01:12:49.4Z,1,REGULAR,3pt,Jump Shot,[],1629631,95.74572930354796,97.79411764705883,1610612737,0,0,2022-01-15T01:12:55Z,90000,239.0,-13.0,1,right,MISS D. Hunter 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,23.93,Missed,,,,,,,,,,,,,,
10,PT11M40.00S,2022-01-15T01:12:51.4Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612748,0,0,2022-01-15T01:12:55Z,100000,,,0,,O. Yurtseven REBOUND (Off:0 Def:1),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M21.00S,2022-01-15T01:13:10.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630209,9.806176084099869,49.01960784313725,1610612748,2,0,2022-01-15T01:13:17Z,110000,5.0,40.0,1,left,O. Yurtseven DUNK (2 PTS) (M. Strus 1 AST),"[1630209, 1629622]",1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,4.0,Made,,,,,2.0,M. Strus,1629622.0,1.0,,,,,,
13,PT11M11.00S,2022-01-15T01:13:20.5Z,1,REGULAR,2pt,Jump Shot,[],1629027,89.17542706964521,19.362745098039216,1610612737,2,2,2022-01-15T01:13:29Z,130000,-153.0,49.0,1,right,T. Young 16' pullup Jump Shot (2 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,,,,,16.09,Made,,,,,2.0,,,,,,,,,
14,PT10M52.00S,2022-01-15T01:13:39.0Z,1,REGULAR,3pt,Jump Shot,[],1629622,32.013797634691194,31.61764705882353,1610612748,5,2,2022-01-15T01:13:45Z,140000,92.0,248.0,1,left,M. Strus 26' 3PT  (3 PTS) (J. Butler 1 AST),"[1629622, 202710]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,26.49,Made,,,,,3.0,J. Butler,202710.0,1.0,,,,,,
16,PT10M39.00S,2022-01-15T01:13:53.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,92.85479632063075,47.794117647058826,1610612737,5,4,2022-01-15T01:13:59Z,160000,-11.0,15.0,1,right,J. Collins cutting DUNK (2 PTS) (T. Young 1 AST),"[1628381, 1629027]",1610612737.0,ATL,cutting,,,Collins,J. Collins,,,,,,,,,,1.84,Made,,,,,2.0,T. Young,1629027.0,1.0,,,,,,
18,PT10M24.00S,2022-01-15T01:14:07.6Z,1,REGULAR,2pt,Jump Shot,[],200782,6.258212877792378,26.715686274509803,1610612748,5,4,2022-01-15T01:14:14Z,180000,116.0,6.0,1,left,MISS P. Tucker 11' floating Shot,[200782],1610612748.0,MIA,floating,,,Tucker,P. Tucker,,,,,,,,,,11.66,Missed,,,,,,,,,,,,,,
