actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-18T00:43:18.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-18T00:43:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-18T00:43:20.3Z,1,REGULAR,jumpball,recovered,[],1629216,,,1610612748,0,0,2022-01-18T00:43:20Z,40000,,,0,,Jump Ball B. Adebayo vs. P. Achiuwa: Tip to G. Vincent,"[1629216, 1628389, 1630173]",1610612748.0,MIA,startperiod,G. Vincent,1629216.0,Vincent,G. Vincent,Adebayo,1628389.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-01-18T00:43:40.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629216,13.748357424441524,41.911764705882355,1610612748,0,0,2022-01-18T00:43:48Z,70000,40.0,77.0,1,left,MISS G. Vincent 8' driving floating Shot,[1629216],1610612748.0,MIA,driving floating,,,Vincent,G. Vincent,,,,,8.67,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-01-18T00:43:44.2Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,0,0,2022-01-18T00:43:49Z,80000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-01-18T00:43:46.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,91.40932982917214,59.31372549019608,1610612761,0,0,2022-01-18T00:43:53Z,90000,47.0,28.0,1,right,MISS P. Siakam running Layup,[1627783],1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,5.45,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2022-01-18T00:43:46.5Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,0,2022-01-18T00:43:53Z,100000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M19.00S,2022-01-18T00:43:58.1Z,1,REGULAR,3pt,Jump Shot,[],202710,16.507884362680684,3.431372549019608,1610612748,0,0,2022-01-18T00:44:29Z,110000,233.0,103.0,1,left,MISS J. Butler 25' pullup 3PT,[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,25.44,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2022-01-18T00:44:01.1Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2022-01-18T00:44:06Z,120000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M58.00S,2022-01-18T00:44:19.9Z,1,REGULAR,2pt,Jump Shot,[],1630173,92.59198423127464,27.941176470588236,1610612761,0,0,2022-01-18T00:44:25Z,130000,-110.0,17.0,1,right,MISS P. Achiuwa 11' floating Shot,[1630173],1610612761.0,TOR,floating,,,Achiuwa,P. Achiuwa,,,,,11.16,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-01-18T00:44:23.9Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,0,0,2022-01-18T00:44:25Z,140000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
