actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-19T00:42:01.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-19T00:42:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-19T00:42:04.6Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2021-11-19T00:42:04Z,40000,,,0,,Jump Ball B. Adebayo vs. M. Harrell: Tip to K. Lowry,"[200768, 1628389, 1626149]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Harrell,1626149.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-19T00:42:20.3Z,1,REGULAR,3pt,Jump Shot,[],1629130,8.754927726675426,96.32352941176471,1610612748,0,0,2021-11-19T00:42:24Z,70000,-232.0,30.0,1,left,MISS D. Robinson 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,23.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-11-19T00:42:23.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2021-11-19T00:42:24Z,80000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2021-11-19T00:42:33.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628988,93.9060446780552,53.18627450980392,1610612764,0,2,2021-11-19T00:42:38Z,90000,16.0,5.0,1,right,A. Holiday running finger roll Layup (2 PTS) (K. Kuzma 1 AST),"[1628988, 1628398]",1610612764.0,WAS,running finger roll,,,Holiday,A. Holiday,,,,,1.66,Made,,,,,2.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,
11,PT11M16.00S,2021-11-19T00:42:45.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,17.427726675427067,41.911764705882355,1610612748,2,2,2021-11-19T00:42:49Z,110000,40.0,111.0,1,left,B. Adebayo 11' pullup Jump Shot (2 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,11.84,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M48.00S,2021-11-19T00:43:12.5Z,1,REGULAR,3pt,Jump Shot,[],203078,70.25295663600527,18.872549019607842,1610612764,2,5,2021-11-19T00:43:22Z,120000,-156.0,227.0,1,right,B. Beal 27' 3PT fadeaway (3 PTS) (K. Kuzma 2 AST),"[203078, 1628398]",1610612764.0,WAS,fadeaway,,,Beal,B. Beal,,,,,27.53,Made,,,,,3.0,K. Kuzma,1628398.0,2.0,,,,,,,,,,
14,PT10M28.00S,2021-11-19T00:43:32.4Z,1,REGULAR,3pt,Jump Shot,[],200768,31.225361366622867,23.774509803921568,1610612748,2,5,2021-11-19T00:43:40Z,140000,131.0,241.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,27.44,Missed,,,,,,,,,,,,,,,,,,
15,PT10M25.00S,2021-11-19T00:43:35.4Z,1,REGULAR,rebound,defensive,[],1626149,,,1610612764,2,5,2021-11-19T00:43:40Z,150000,,,0,,M. Harrell REBOUND (Off:0 Def:1),[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M09.00S,2021-11-19T00:43:51.8Z,1,REGULAR,turnover,bad pass,[],203078,,,1610612764,2,5,2021-11-19T00:43:58Z,160000,,,0,,B. Beal bad pass TURNOVER (1 TO),"[203078, 1629130]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,1.0,Robinson,1629130.0,,,,,,,
17,PT10M09.00S,2021-11-19T00:43:51.8Z,1,REGULAR,steal,,[],1629130,,,1610612748,2,5,2021-11-19T00:43:57Z,170000,,,0,,D. Robinson STEAL (1 STL),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M01.00S,2021-11-19T00:43:59.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628389,6.1268068331143235,47.30392156862745,1610612748,2,5,2021-11-19T00:44:04Z,180000,13.0,5.0,1,left,MISS B. Adebayo driving Layup,[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,1.44,Missed,,,,,,,,,,,,,,,,,,
19,PT09M59.00S,2021-11-19T00:44:01.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,2,5,2021-11-19T00:44:04Z,190000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,
20,PT09M55.00S,2021-11-19T00:44:05.4Z,1,REGULAR,turnover,bad pass,[],1628398,,,1610612764,2,5,2021-11-19T00:44:10Z,200000,,,0,,K. Kuzma bad pass TURNOVER (1 TO),"[1628398, 1629130]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,1.0,Robinson,1629130.0,,,,,,,
21,PT09M55.00S,2021-11-19T00:44:05.4Z,1,REGULAR,steal,,[],1629130,,,1610612748,2,5,2021-11-19T00:44:07Z,210000,,,0,,D. Robinson STEAL (2 STL),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
22,PT09M51.00S,2021-11-19T00:44:10.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629130,24.917871222076215,86.51960784313727,1610612748,2,5,2021-11-19T00:44:18Z,220000,-183.0,182.0,1,left,MISS D. Robinson 25' running pullup 3PT,[1629130],1610612748.0,MIA,running pullup,,,Robinson,D. Robinson,,,,,25.76,Missed,,,,,,,,,,,,,,,,,,
23,PT09M47.00S,2021-11-19T00:44:13.6Z,1,REGULAR,rebound,defensive,[],203484,,,1610612764,2,5,2021-11-19T00:44:13Z,230000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT09M36.00S,2021-11-19T00:44:25.4Z,1,REGULAR,2pt,Jump Shot,[],1626149,94.69448094612353,71.07843137254902,1610612764,2,5,2021-11-19T00:44:31Z,240000,105.0,-3.0,1,right,MISS M. Harrell 10' Jump Shot,[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,10.54,Missed,,,,,,,,,,,,,,,,,,
25,PT09M33.00S,2021-11-19T00:44:28.4Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,2,5,2021-11-19T00:44:31Z,250000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M29.00S,2021-11-19T00:44:31.4Z,1,REGULAR,turnover,lost ball,[],200768,,,1610612748,2,5,2021-11-19T00:44:37Z,260000,,,0,,K. Lowry lost ball TURNOVER (1 TO),"[200768, 1628988]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,1.0,Holiday,1628988.0,,,,,,,
