actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-19T00:12:39.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-19T00:12:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-19T00:12:42.1Z,1,REGULAR,jumpball,recovered,[],1629216,,,1610612748,0,0,2022-03-19T00:12:42Z,40000,,,0,,Jump Ball B. Adebayo vs. O. Sarr: Tip to G. Vincent,"[1629216, 1628389, 1630846]",1610612748.0,MIA,startperiod,G. Vincent,1629216.0,Vincent,G. Vincent,Adebayo,1628389.0,Sarr,1630846.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-19T00:12:57.0Z,1,REGULAR,3pt,Jump Shot,[],1629216,4.5499342969776615,96.81372549019608,1610612748,0,0,2022-03-19T00:13:03Z,70000,-234.0,-10.0,1,left,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,23.43,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-03-19T00:13:00.0Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,0,0,2022-03-19T00:16:37Z,80000,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-03-19T00:13:19.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,0,0,2022-03-19T00:13:19Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2022-03-19T00:13:31.8Z,1,REGULAR,2pt,Jump Shot,[],1628983,73.14388961892247,61.51960784313726,1610612760,0,0,2022-03-19T00:16:23Z,100000,58.0,200.0,1,right,MISS S. Gilgeous-Alexander 20' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,20.8,Missed,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2022-03-19T00:13:36.8Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,0,0,2022-03-19T00:16:23Z,110000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M58.00S,2022-03-19T00:13:48.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,10.068988173455978,36.76470588235294,1610612748,2,0,2022-03-19T00:14:03Z,120000,66.0,42.0,1,left,B. Adebayo 7' turnaround fadeaway Jump Shot (2 PTS),[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,7.85,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M44.00S,2022-03-19T00:14:02.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629647,93.38042049934296,47.30392156862745,1610612760,2,2,2022-03-19T00:14:06Z,130000,-13.0,10.0,1,right,D. Bazley driving DUNK (2 PTS),[1629647],1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,1.66,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M32.00S,2022-03-19T00:14:14.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,33.590670170827856,48.28431372549019,1610612748,2,2,2022-03-19T00:14:33Z,140000,9.0,263.0,1,left,MISS D. Robinson 26' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,26.34,Missed,,,,,,,,,,,,,,,,,,
15,PT10M32.00S,2022-03-19T00:14:14.1Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,2,2,2022-03-19T00:14:33Z,150000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M12.00S,2022-03-19T00:14:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,93.64323258869908,45.34313725490196,1610612760,2,2,2022-03-19T00:14:40Z,160000,-23.0,7.0,1,right,MISS A. Wiggins driving Layup,[1630598],1610612760.0,OKC,driving,,,Wiggins,A. Wiggins,,,,,2.44,Missed,,,,,,,,,,,,,,,,,,
17,PT10M10.00S,2022-03-19T00:14:37.1Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,2,2,2022-03-19T00:14:40Z,170000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M03.00S,2022-03-19T00:14:44.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,27.677398160315374,81.12745098039215,1610612748,5,2,2022-03-19T00:14:49Z,180000,-156.0,208.0,1,left,D. Robinson 25' 3PT pullup (3 PTS),[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,25.95,Made,,,,,3.0,,,,,,,,,,,,,
19,PT09M41.00S,2022-03-19T00:15:05.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630197,90.88370565045992,47.30392156862745,1610612760,5,2,2022-03-19T00:15:20Z,190000,-13.0,33.0,1,right,MISS A. Pokusevski driving finger roll Layup,[1630197],1610612760.0,OKC,driving finger roll,,,Pokusevski,A. Pokusevski,,,,,3.58,Missed,,,,,,,,,,,,,,,,,,
20,PT09M38.00S,2022-03-19T00:15:08.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,5,2,2022-03-19T00:15:20Z,200000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M31.00S,2022-03-19T00:15:31.0Z,1,REGULAR,foul,personal,[],1628983,,,1610612748,5,2,2022-03-19T00:15:52Z,220000,,,0,,S. Gilgeous-Alexander personal FOUL (1 PF),"[1628983, 1628389]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,1155.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,
24,PT09M26.00S,2022-03-19T00:15:35.7Z,1,REGULAR,3pt,Jump Shot,[],200768,22.683968462549277,88.72549019607843,1610612748,5,2,2022-03-19T00:15:47Z,240000,-194.0,161.0,1,left,MISS K. Lowry 25' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,25.16,Missed,,,,,,,,,,,,,,,,,,
