actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-13T01:11:44.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-13T01:11:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-13T01:11:47.0Z,1,REGULAR,jumpball,recovered,[],1629130,,,1610612748,0,0,2022-02-13T01:11:47Z,40000,,,0,,Jump Ball B. Adebayo vs. B. Griffin: Tip to D. Robinson,"[1629130, 1628389, 201933]",1610612748.0,MIA,startperiod,D. Robinson,1629130.0,Robinson,D. Robinson,Adebayo,1628389.0,Griffin,201933.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-02-13T01:12:05.1Z,1,REGULAR,foul,personal,[],1630556,,,1610612748,0,0,2022-02-13T01:12:34Z,70000,,,0,,K. Edwards personal FOUL (1 PF),"[1630556, 200768]",1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,1626302.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-02-13T01:12:23.5Z,1,REGULAR,3pt,Jump Shot,[],202710,6.1268068331143235,3.9215686274509802,1610612748,0,0,2022-02-13T01:12:30Z,90000,230.0,5.0,1,left,MISS J. Butler 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,23.05,Missed,,,,,,,,,,,,,
10,PT11M32.00S,2022-02-13T01:12:28.5Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,0,0,2022-02-13T01:12:30Z,100000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M14.00S,2022-02-13T01:12:45.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201933,93.11760840998686,58.82352941176471,1610612751,0,2,2022-02-13T01:12:53Z,110000,44.0,12.0,1,right,B. Griffin turnaround bank Hook (2 PTS),[201933],1610612751.0,BKN,turnaround bank,,,Griffin,B. Griffin,,,,,,,,,,4.58,Made,,,,,2.0,,,,,,,,
12,PT10M59.00S,2022-02-13T01:13:00.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,27.677398160315374,22.30392156862745,1610612748,0,2,2022-02-13T01:13:06Z,120000,138.0,208.0,1,left,MISS D. Robinson 24' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,24.96,Missed,,,,,,,,,,,,,
13,PT10M56.00S,2022-02-13T01:13:03.8Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,0,2,2022-02-13T01:13:06Z,130000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M53.00S,2022-02-13T01:13:07.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201988,76.95466491458606,86.76470588235294,1610612751,0,5,2022-02-13T01:13:48Z,140000,184.0,164.0,1,right,P. Mills 24' 3PT running (3 PTS) (K. Irving 1 AST),"[201988, 202681]",1610612751.0,BKN,running,,,Mills,P. Mills,,,,,,,,,,24.64,Made,,,,,3.0,K. Irving,202681.0,1.0,,,,,
16,PT10M39.00S,2022-02-13T01:13:20.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,13.354139290407357,43.38235294117647,1610612748,0,5,2022-02-13T01:13:25Z,160000,33.0,73.0,1,left,MISS B. Adebayo 8' Hook,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,8.02,Missed,,,,,,,,,,,,,
17,PT10M39.00S,2022-02-13T01:13:20.5Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,0,5,2022-02-13T01:13:25Z,170000,,,0,,P. Tucker REBOUND (Off:1 Def:0),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,
18,PT10M39.00S,2022-02-13T01:13:25.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",200782,6.652431011826544,49.01960784313725,1610612748,2,5,2022-02-13T01:14:26Z,180000,5.0,10.0,1,left,P. Tucker putback Layup (2 PTS),[200782],1610612748.0,MIA,putback,,,Tucker,P. Tucker,,,,,,,,,,1.11,Made,,,,,2.0,,,,,,,,
19,PT10M39.00S,2022-02-13T01:13:31.7Z,1,REGULAR,foul,personal,['1freethrow'],201933,,,1610612748,2,5,2022-02-13T01:13:41Z,190000,,,0,,B. Griffin shooting personal FOUL (1 PF) (Tucker 1 FT),"[201933, 200782]",1610612751.0,BKN,shooting,,,Griffin,B. Griffin,,,,,101283.0,1.0,0.0,Tucker,200782.0,,,,,,,,,,,,,,,
