actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-07T00:41:26.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-07T00:41:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-07T00:41:28.7Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2021-12-07T00:41:28Z,40000,,,0,,Jump Ball S. Adams vs. D. Dedmon: Tip to J. Jackson Jr.,"[1628991, 203500, 203473]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Adams,203500.0,Dedmon,203473.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-12-07T00:41:43.8Z,1,REGULAR,2pt,Jump Shot,[],1628415,8.492115637319317,27.696078431372552,1610612763,0,0,2021-12-07T00:41:51Z,70000,112.0,27.0,1,left,MISS D. Brooks 11' Jump Shot,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,11.48,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-12-07T00:41:47.8Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,0,0,2021-12-07T00:41:51Z,80000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-12-07T00:41:54.5Z,1,REGULAR,turnover,lost ball,[],203473,,,1610612748,0,0,2021-12-07T00:42:00Z,90000,,,0,,D. Dedmon lost ball TURNOVER (1 TO),"[203473, 1628991]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,1.0,Jackson Jr.,1628991.0,,,,,,,,,,,,
10,PT11M30.00S,2021-12-07T00:41:54.5Z,1,REGULAR,steal,,[],1628991,,,1610612763,0,0,2021-12-07T00:41:56Z,100000,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2021-12-07T00:42:00.2Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612763,0,0,2021-12-07T00:42:11Z,110000,,,0,,K. Lowry shooting personal FOUL (1 PF) (Bane 2 FT),"[200768, 1630217]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,,,,,,,,,,1628954.0,1.0,0.0,Bane,1630217.0,,,,,,,
13,PT11M28.00S,2021-12-07T00:42:25.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630217,,,1610612763,0,1,2021-12-07T00:42:25Z,130000,,,0,,D. Bane Free Throw 1 of 2 (1 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,Made,,,,,,,,,,,,,1.0,,,,,,
14,PT11M28.00S,2021-12-07T00:42:37.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630217,,,1610612763,0,2,2021-12-07T00:42:37Z,140000,,,0,,D. Bane Free Throw 2 of 2 (2 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,Made,,,,,,,,,,,,,2.0,,,,,,
15,PT11M16.00S,2021-12-07T00:42:56.0Z,1,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612748,0,2,2021-12-07T00:43:06Z,150000,,,0,,D. Bane shooting personal FOUL (1 PF) (Lowry 2 FT),"[1630217, 200768]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,,,,,,,,,,1662.0,1.0,0.0,Lowry,200768.0,,,,,,,
