actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-12T01:11:36.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-12T01:11:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-12T01:11:38.6Z,1,REGULAR,jumpball,recovered,[],1628366,,,1610612741,0,0,2021-12-12T01:11:38Z,40000,,,0,,Jump Ball N. Vucevic vs. D. Dedmon: Tip to L. Ball,"[1628366, 202696, 203473]",1610612741.0,CHI,startperiod,L. Ball,1628366.0,Ball,L. Ball,Vucevic,202696.0,Dedmon,203473.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-12-12T01:11:51.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,10.5946123521682,46.07843137254902,1610612741,0,0,2021-12-12T01:11:59Z,70000,20.0,47.0,1,left,MISS N. Vucevic turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,5.1,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-12-12T01:11:55.6Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,0,0,2021-12-12T01:11:59Z,80000,,,0,,D. Dedmon REBOUND (Off:0 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2021-12-12T01:12:00.0Z,1,REGULAR,3pt,Jump Shot,[],203473,68.9388961892247,67.8921568627451,1610612748,3,0,2021-12-12T01:12:07Z,90000,89.0,239.0,1,right,D. Dedmon 25' 3PT  (3 PTS) (K. Lowry 1 AST),"[203473, 200768]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,25.57,Made,,,,,3.0,K. Lowry,200768.0,1.0,,,,,,,,,,,
11,PT11M19.00S,2021-12-12T01:12:15.8Z,1,REGULAR,3pt,Jump Shot,[],1627936,30.042706964520367,68.62745098039215,1610612741,3,0,2021-12-12T01:12:22Z,110000,-93.0,230.0,1,left,MISS A. Caruso 24' step back 3PT,[1627936],1610612741.0,CHI,step back,,,Caruso,A. Caruso,,,,,24.8,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2021-12-12T01:12:19.8Z,1,REGULAR,rebound,offensive,[],1628972,,,1610612741,3,0,2021-12-12T01:12:22Z,120000,,,0,,T. Brown Jr. REBOUND (Off:1 Def:0),[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
13,PT11M14.00S,2021-12-12T01:12:20.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628972,6.652431011826544,45.83333333333333,1610612741,3,0,2021-12-12T01:12:29Z,130000,21.0,10.0,1,left,MISS T. Brown Jr. putback Layup - blocked,"[1628972, 203473]",1610612741.0,CHI,putback,,,Brown Jr.,T. Brown Jr.,,,,,2.31,Missed,,,,,,,,,Dedmon,203473.0,,,,,,,,,
14,PT11M14.00S,2021-12-12T01:12:20.9Z,1,REGULAR,block,,[],203473,,,1610612741,3,0,2021-12-12T01:12:24Z,140000,,,0,,D. Dedmon BLOCK (1 BLK),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M14.00S,2021-12-12T01:12:20.9Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,3,0,2021-12-12T01:12:29Z,150000,,,0,,D. Dedmon REBOUND (Off:0 Def:2),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
