actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
36,PT09M20.00S,2021-11-18T00:47:01.8Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612740,6,11,2021-11-18T00:47:01Z,340000,,,0,,J. Hart REBOUND (Off:1 Def:0),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,35.0,1.0,0.0,1.0,,,,,
37,PT09M09.00S,2021-11-18T00:47:12.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629638,19.793035479632064,94.11764705882352,1610612740,6,14,2021-11-18T00:47:18Z,350000,-221.0,134.0,1,left,N. Alexander-Walker 25' 3PT  (6 PTS) (B. Ingram 1 AST),"[1629638, 1627742]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,25.79,Made,6.0,B. Ingram,1627742.0,1.0,,,,,,,,,
39,PT08M54.00S,2021-11-18T00:47:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,94.82588699080158,52.94117647058824,1610612748,6,14,2021-11-18T00:47:36Z,370000,15.0,-4.0,1,right,MISS J. Butler driving Layup,[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,,,,,,,1.52,Missed,,,,,,,,,,,,,
40,PT08M51.00S,2021-11-18T00:47:30.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,6,14,2021-11-18T00:47:30Z,380000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,
41,PT08M31.00S,2021-11-18T00:47:50.1Z,1,REGULAR,3pt,Jump Shot,[],1628404,6.652431011826544,3.6764705882352944,1610612740,6,14,2021-11-18T00:49:00Z,390000,232.0,10.0,1,left,MISS J. Hart fadeaway 3PT,[1628404],1610612740.0,NOP,fadeaway,,,Hart,J. Hart,,,,,,,,,,,23.18,Missed,,,,,,,,,,,,,
42,PT08M30.00S,2021-11-18T00:47:51.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,6,14,2021-11-18T00:48:01Z,400000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,
44,PT08M30.00S,2021-11-18T00:48:14.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,6,14,2021-11-18T00:48:26Z,420000,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,101283.0,,,,,,,,,,,,,,,,,,,,
45,PT08M20.00S,2021-11-18T00:48:22.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,73.27529566360053,17.401960784313726,1610612748,6,14,2021-11-18T00:49:54Z,430000,-163.0,199.0,1,right,MISS T. Herro 25' pullup 3PT,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,,,,,,,25.7,Missed,,,,,,,,,,,,,
46,PT08M16.00S,2021-11-18T00:48:26.6Z,1,REGULAR,rebound,offensive,[],203473,,,1610612748,6,14,2021-11-18T00:48:26Z,440000,,,0,,D. Dedmon REBOUND (Off:1 Def:0),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,45.0,1.0,0.0,1.0,,,,,
47,PT08M13.00S,2021-11-18T00:48:28.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629639,72.7496714848883,77.45098039215686,1610612748,6,14,2021-11-18T00:48:34Z,450000,137.0,204.0,1,right,MISS T. Herro 24' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,24.57,Missed,,,,,,,,,,,,,
48,PT08M13.00S,2021-11-18T00:48:28.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,6,14,2021-11-18T00:48:34Z,460000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,,
49,PT07M58.00S,2021-11-18T00:48:43.9Z,1,REGULAR,3pt,Jump Shot,[],1629638,7.440867279894875,94.11764705882352,1610612740,6,17,2021-11-18T00:48:49Z,470000,-221.0,17.0,1,left,N. Alexander-Walker 3PT  (9 PTS) (J. Hart 3 AST),"[1629638, 1628404]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,22.13,Made,9.0,J. Hart,1628404.0,3.0,,,,,,,,,
51,PT07M57.00S,2021-11-18T00:48:51.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,6,17,2021-11-18T00:48:51Z,490000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M37.00S,2021-11-18T00:52:02.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,91.93495400788436,59.55882352941176,1610612748,8,17,2021-11-18T00:52:09Z,500000,48.0,23.0,1,right,J. Butler driving bank Jump Shot (3 PTS) (D. Robinson 1 AST),"[202710, 1629130]",1610612748.0,MIA,driving bank,,,Butler,J. Butler,,,,,,,,,,,5.32,Made,3.0,D. Robinson,1629130.0,1.0,,,,,,,,,
54,PT07M14.00S,2021-11-18T00:52:25.0Z,1,REGULAR,2pt,Jump Shot,[],1627742,15.456636005256241,68.87254901960785,1610612740,8,17,2021-11-18T00:53:49Z,520000,-94.0,93.0,1,left,MISS B. Ingram 13' Jump Shot,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,13.24,Missed,,,,,,,,,,,,,
55,PT07M11.00S,2021-11-18T00:52:28.0Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,8,17,2021-11-18T00:53:49Z,530000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,,
56,PT07M04.00S,2021-11-18T00:52:34.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,88.12417871222075,97.79411764705883,1610612748,8,17,2021-11-18T00:52:42Z,540000,239.0,59.0,1,right,MISS D. Robinson 24' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,24.62,Missed,,,,,,,,,,,,,
57,PT07M00.00S,2021-11-18T00:52:38.8Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,8,17,2021-11-18T00:52:42Z,550000,,,0,,J. Hart REBOUND (Off:1 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,56.0,2.0,1.0,1.0,,,,,
58,PT06M54.00S,2021-11-18T00:52:55.9Z,1,REGULAR,foul,personal,[],1629644,,,1610612740,8,17,2021-11-18T00:53:08Z,560000,,,0,,K. Okpala personal FOUL (1 PF),"[1629644, 202685]",1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,101283.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,
