actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-22T00:13:34.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-22T00:13:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-22T00:13:37.1Z,1,REGULAR,jumpball,recovered,[],201588,,,1610612749,0,0,2021-10-22T00:13:37Z,40000,,,0,,Jump Ball G. Antetokounmpo vs. B. Adebayo: Tip to G. Hill,"[201588, 203507, 1628389]",1610612749.0,MIL,startperiod,G. Hill,201588.0,Hill,G. Hill,Antetokounmpo,203507.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-10-22T00:13:47.9Z,1,REGULAR,turnover,bad pass,[],203114,,,1610612749,0,0,2021-10-22T00:26:21Z,70000,,,0,,K. Middleton bad pass TURNOVER (1 TO),"[203114, 200768]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,1.0,Lowry,200768.0,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2021-10-22T00:13:47.9Z,1,REGULAR,steal,,[],200768,,,1610612748,0,0,2021-10-22T00:19:37Z,80000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-10-22T00:13:53.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628389,89.83245729303549,55.63725490196079,1610612748,2,0,2021-10-22T00:14:00Z,90000,28.0,43.0,1,right,B. Adebayo driving Layup (2 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,,,,5.15,Made,2.0,,,,,,,,,,,,,,,
10,PT11M22.00S,2021-10-22T00:14:13.1Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612749,2,0,2021-10-22T00:14:30Z,100000,,,0,,P. Tucker shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[200782, 203507]",1610612748.0,MIA,shooting,,,Tucker,P. Tucker,,,,,,,,,,,203591.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,
12,PT11M22.00S,2021-10-22T00:14:52.7Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,2,0,2021-10-22T00:14:52Z,120000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,Missed,,,,,,,,,,,,,,,,
13,PT11M22.00S,2021-10-22T00:14:52.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,2,0,2021-10-22T00:14:52Z,130000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,
14,PT11M22.00S,2021-10-22T00:15:17.0Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,2,1,2021-10-22T00:15:17Z,140000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
15,PT11M10.00S,2021-10-22T00:15:32.9Z,1,REGULAR,foul,personal,['2freethrow'],203507,,,1610612748,2,1,2021-10-22T00:15:47Z,150000,,,0,,G. Antetokounmpo shooting personal FOUL (1 PF) (Adebayo 2 FT),"[203507, 1628389]",1610612749.0,MIL,shooting,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,203591.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,
