actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-29T01:11:50.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-29T01:11:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-29T01:11:53.1Z,1,REGULAR,jumpball,recovered,[],1629216,,,1610612748,0,0,2022-01-29T01:11:53Z,40000,,,0,,Jump Ball B. Adebayo vs. I. Zubac: Tip to G. Vincent,"[1629216, 1628389, 1627826]",1610612748.0,MIA,startperiod,G. Vincent,1629216.0,Vincent,G. Vincent,Adebayo,1628389.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-29T01:12:07.4Z,1,REGULAR,foul,personal,[],1629599,,,1610612748,0,0,2022-01-29T01:12:21Z,70000,,,0,,A. Coffey personal FOUL (1 PF),"[1629599, 1628389]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,202901.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-01-29T01:12:31.8Z,1,REGULAR,turnover,traveling,[],1629130,,,1610612748,0,0,2022-01-29T01:12:38Z,90000,,,0,,D. Robinson traveling TURNOVER (1 TO),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,202901.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M29.00S,2022-01-29T01:12:49.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627826,6.258212877792378,63.23529411764706,1610612746,0,0,2022-01-29T01:12:55Z,100000,-66.0,6.0,1,left,MISS I. Zubac 6' turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,,,,,,,6.65,Missed,,,,,,,,,,,,
11,PT11M26.00S,2022-01-29T01:12:52.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2022-01-29T01:12:56Z,110000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M13.00S,2022-01-29T01:13:05.3Z,1,REGULAR,2pt,Jump Shot,[],1628389,87.20433639947439,23.774509803921568,1610612748,0,0,2022-01-29T01:13:14Z,120000,-131.0,68.0,1,right,MISS B. Adebayo 14' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,14.76,Missed,,,,,,,,,,,,
13,PT11M12.00S,2022-01-29T01:13:09.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,0,0,2022-01-29T01:13:09Z,130000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,
14,PT11M12.00S,2022-01-29T01:13:12.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,0,0,2022-01-29T01:13:12Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2022-01-29T01:13:26.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628389,84.31340341655716,42.40196078431372,1610612748,0,0,2022-01-29T01:13:31Z,150000,-38.0,95.0,1,right,MISS B. Adebayo 10' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,,,,,,,10.23,Missed,,,,,,,,,,,,
16,PT11M03.00S,2022-01-29T01:13:30.7Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,0,0,2022-01-29T01:13:31Z,160000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M54.00S,2022-01-29T01:13:40.9Z,1,REGULAR,2pt,Jump Shot,[],201587,22.946780551905388,49.01960784313725,1610612746,0,2,2022-01-29T01:13:47Z,170000,5.0,163.0,1,left,N. Batum 16' Jump Shot (2 PTS) (I. Zubac 1 AST),"[201587, 1627826]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,16.33,Made,,,,,2.0,I. Zubac,1627826.0,1.0,,,,
19,PT10M50.00S,2022-01-29T01:13:47.2Z,1,REGULAR,turnover,out-of-bounds,[],200782,,,1610612748,0,2,2022-01-29T01:13:55Z,190000,,,0,,P. Tucker bad pass out-of-bounds TURNOVER (1 TO),[200782],1610612748.0,MIA,bad pass,,,Tucker,P. Tucker,,,,,2714.0,,,,,1.0,,,,,,,,,,,,,,
20,PT10M33.00S,2022-01-29T01:14:10.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202704,25.04927726675427,39.950980392156865,1610612746,0,4,2022-01-29T01:14:16Z,200000,50.0,183.0,1,left,R. Jackson 18' pullup Jump Shot (2 PTS) (I. Zubac 2 AST),"[202704, 1627826]",1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,,,,,,,18.98,Made,,,,,2.0,I. Zubac,1627826.0,2.0,,,,
22,PT10M17.00S,2022-01-29T01:14:27.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,92.9862023653088,46.07843137254902,1610612748,0,4,2022-01-29T01:14:43Z,220000,-20.0,13.0,1,right,MISS G. Vincent driving Layup,[1629216],1610612748.0,MIA,driving,,,Vincent,G. Vincent,,,,,,,,,,,2.37,Missed,,,,,,,,,,,,
23,PT10M14.00S,2022-01-29T01:14:30.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,4,2022-01-29T01:14:43Z,230000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
24,PT09M57.00S,2022-01-29T01:14:46.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629599,8.886333771353483,60.049019607843135,1610612746,0,4,2022-01-29T01:14:59Z,240000,-50.0,31.0,1,left,MISS A. Coffey driving floating Shot,[1629599],1610612746.0,LAC,driving floating,,,Coffey,A. Coffey,,,,,,,,,,,5.9,Missed,,,,,,,,,,,,
25,PT09M54.00S,2022-01-29T01:14:49.6Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,4,2022-01-29T01:14:59Z,250000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,
26,PT09M38.00S,2022-01-29T01:15:06.0Z,1,REGULAR,3pt,Jump Shot,[],1629216,94.69448094612353,95.58823529411765,1610612748,0,4,2022-01-29T01:15:11Z,260000,228.0,-3.0,1,right,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,22.79,Missed,,,,,,,,,,,,
27,PT09M34.00S,2022-01-29T01:15:10.0Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,0,4,2022-01-29T01:15:11Z,270000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,
28,PT09M27.00S,2022-01-29T01:15:17.0Z,1,REGULAR,2pt,Jump Shot,[],202704,23.73521681997372,57.35294117647059,1610612746,0,4,2022-01-29T01:17:31Z,280000,-37.0,171.0,1,left,MISS R. Jackson 17' pullup Shot,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,,,,,,,17.45,Missed,,,,,,,,,,,,
29,PT09M24.00S,2022-01-29T01:15:20.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,4,2022-01-29T01:15:23Z,290000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,
30,PT09M19.00S,2022-01-29T01:15:26.8Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,0,4,2022-01-29T01:15:33Z,300000,,,0,,B. Adebayo lost ball out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,lost ball,,,Adebayo,B. Adebayo,,,,,202026.0,,,,,1.0,,,,,,,,,,,,,,
31,PT09M02.00S,2022-01-29T01:15:47.1Z,1,REGULAR,turnover,out-of-bounds,[],202704,,,1610612746,0,4,2022-01-29T01:15:57Z,310000,,,0,,R. Jackson bad pass out-of-bounds TURNOVER (1 TO),[202704],1610612746.0,LAC,bad pass,,,Jackson,R. Jackson,,,,,202901.0,,,,,1.0,,,,,,,,,,,,,,
32,PT08M45.00S,2022-01-29T01:16:11.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628389,92.9862023653088,46.07843137254902,1610612748,0,4,2022-01-29T02:02:12Z,320000,-20.0,13.0,1,right,MISS B. Adebayo DUNK - blocked,"[1628389, 1627826]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,2.37,Missed,,,,,,,,,Zubac,1627826.0,,
33,PT08M45.00S,2022-01-29T01:16:11.2Z,1,REGULAR,block,,[],1627826,,,1610612748,0,4,2022-01-29T01:16:13Z,330000,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M43.00S,2022-01-29T01:16:13.2Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,0,4,2022-01-29T01:16:16Z,340000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,
35,PT08M40.00S,2022-01-29T01:16:17.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629611,5.863994743758213,94.85294117647058,1610612746,0,4,2022-01-29T01:16:22Z,350000,-224.0,3.0,1,left,MISS T. Mann 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,22.43,Missed,,,,,,,,,,,,
36,PT08M36.00S,2022-01-29T01:16:21.0Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,0,4,2022-01-29T01:16:22Z,360000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,
37,PT08M30.00S,2022-01-29T01:16:30.9Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612748,0,4,2022-01-29T01:16:38Z,370000,,,0,,I. Zubac shooting personal FOUL (1 PF) (Butler 2 FT),"[1627826, 202710]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,202026.0,1.0,0.0,Butler,202710.0,,,,,,,,,,,,,,,
39,PT08M30.00S,2022-01-29T01:16:54.4Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,1,4,2022-01-29T01:16:54Z,390000,,,0,,J. Butler Free Throw 1 of 2 (1 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,Made,,,,,1.0,,,,,,,
40,PT08M30.00S,2022-01-29T01:17:10.7Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,2,4,2022-01-29T01:17:10Z,400000,,,0,,J. Butler Free Throw 2 of 2 (2 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,Made,,,,,2.0,,,,,,,
