actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-16T01:11:59.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-16T01:11:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-16T01:12:04.0Z,1,REGULAR,jumpball,recovered,[],1629622,,,1610612748,0,0,2022-01-16T01:12:04Z,40000,,,0,,Jump Ball O. Yurtseven vs. J. Embiid: Tip to M. Strus,"[1629622, 1630209, 203954]",1610612748.0,MIA,startperiod,M. Strus,1629622.0,Strus,M. Strus,Yurtseven,1630209.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-16T01:12:16.7Z,1,REGULAR,turnover,bad pass,[],200782,,,1610612748,0,0,2022-01-16T01:12:22Z,70000,,,0,,P. Tucker bad pass TURNOVER (1 TO),"[200782, 203954]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,1.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-01-16T01:12:16.7Z,1,REGULAR,steal,,[],203954,,,1610612755,0,0,2022-01-16T01:12:19Z,80000,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-01-16T01:12:22.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627788,94.03745072273325,53.431372549019606,1610612755,0,2,2022-01-16T01:12:28Z,90000,17.0,4.0,1,right,F. Korkmaz running Layup (2 PTS) (S. Curry 1 AST),"[1627788, 203552]",1610612755.0,PHI,running,,,Korkmaz,F. Korkmaz,,,,,,,,1.76,Made,2.0,S. Curry,203552.0,1.0,,,,,,,,,,,,
11,PT11M27.00S,2022-01-16T01:12:31.0Z,1,REGULAR,3pt,Jump Shot,[],1629622,31.882391590013142,65.19607843137256,1610612748,0,2,2022-01-16T01:13:18Z,110000,-76.0,247.0,1,left,MISS M. Strus 25' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,25.86,Missed,,,,,,,,,,,,,,,,
12,PT11M23.00S,2022-01-16T01:12:35.0Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,0,2,2022-01-16T01:12:38Z,120000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M09.00S,2022-01-16T01:12:49.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,79.97700394218134,56.372549019607845,1610612755,0,2,2022-01-16T01:12:54Z,130000,32.0,136.0,1,right,MISS J. Embiid 13' turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,,,,13.94,Missed,,,,,,,,,,,,,,,,
14,PT11M06.00S,2022-01-16T01:12:52.1Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,0,2,2022-01-16T01:12:54Z,140000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M52.00S,2022-01-16T01:13:06.3Z,1,REGULAR,3pt,Jump Shot,[],1629622,28.07161629434954,79.16666666666666,1610612748,0,2,2022-01-16T01:13:12Z,150000,-146.0,211.0,1,left,MISS M. Strus 25' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,25.68,Missed,,,,,,,,,,,,,,,,
