actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-06T23:42:25.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-06T23:42:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-06T23:42:27.5Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2021-11-06T23:42:27Z,40000,,,0,,Jump Ball B. Adebayo vs. R. Gobert: Tip to P. Tucker,"[200782, 1628389, 203497]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Adebayo,1628389.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-06T23:42:43.7Z,1,REGULAR,2pt,Jump Shot,[],1628389,78.0059132720105,67.15686274509804,1610612748,2,0,2021-11-06T23:42:53Z,70000,86.0,154.0,1,right,B. Adebayo 17' Jump Shot (2 PTS) (D. Robinson 1 AST),"[1628389, 1629130]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,17.65,Made,2.0,D. Robinson,1629130.0,1.0,,,,,,,,,,,,,,,
9,PT11M19.00S,2021-11-06T23:43:05.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,6.915243101182654,55.63725490196079,1610612762,2,2,2021-11-06T23:43:11Z,90000,-28.0,13.0,1,left,D. Mitchell driving Layup (2 PTS) (M. Conley 1 AST),"[1628378, 201144]",1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,3.08,Made,2.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,,,
11,PT11M07.00S,2021-11-06T23:43:17.3Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,2,2,2021-11-06T23:43:23Z,110000,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1626220]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,1.0,O'Neale,1626220.0,,,,,,,,,,,,
12,PT11M07.00S,2021-11-06T23:43:17.3Z,1,REGULAR,steal,,[],1626220,,,1610612762,2,2,2021-11-06T23:43:19Z,120000,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2021-11-06T23:43:23.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628378,35.56176084099869,40.68627450980392,1610612762,2,5,2021-11-06T23:44:19Z,130000,47.0,282.0,1,left,D. Mitchell 28' 3PT pullup (5 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,28.56,Made,5.0,,,,,,,,,,,,,,,,,,
14,PT10M38.00S,2021-11-06T23:43:46.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,80.89684625492772,61.029411764705884,1610612748,2,5,2021-11-06T23:44:43Z,140000,55.0,127.0,1,right,MISS B. Adebayo 13' step back Shot,[1628389],1610612748.0,MIA,step back,,,Adebayo,B. Adebayo,,,,,13.85,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M34.00S,2021-11-06T23:43:50.4Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,2,5,2021-11-06T23:43:56Z,150000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M22.00S,2021-11-06T23:44:04.1Z,1,REGULAR,foul,personal,[],1629130,,,1610612762,2,5,2021-11-06T23:44:20Z,160000,,,0,,D. Robinson personal FOUL (1 PF),"[1629130, 203497]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,2534.0,1.0,0.0,Gobert,203497.0,,,
