actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-10T00:45:54.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-10T00:45:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-10T00:45:56.6Z,1,REGULAR,jumpball,recovered,[],1626166,,,1610612756,0,0,2022-03-10T00:45:56Z,40000,,,0,,Jump Ball D. Ayton vs. B. Adebayo: Tip to C. Payne,"[1626166, 1629028, 1628389]",1610612756.0,PHX,startperiod,C. Payne,1626166.0,Payne,C. Payne,Ayton,1629028.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-03-10T00:46:08.7Z,1,REGULAR,turnover,bad pass,[],1626166,,,1610612756,0,0,2022-03-10T00:46:13Z,70000,,,0,,C. Payne bad pass TURNOVER (1 TO),"[1626166, 1628389]",1610612756.0,PHX,,,,Payne,C. Payne,,,,,1.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-03-10T00:46:08.7Z,1,REGULAR,steal,,[],1628389,,,1610612748,0,0,2022-03-10T00:46:10Z,80000,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-03-10T00:46:15.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200782,89.17542706964521,4.6568627450980395,1610612748,0,0,2022-03-10T00:46:30Z,90000,-227.0,49.0,1,right,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,23.2,Missed,,,,,,,,,,,,,,,
10,PT11M35.00S,2022-03-10T00:46:18.3Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,0,0,2022-03-10T00:46:30Z,100000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M35.00S,2022-03-10T00:46:21.2Z,1,REGULAR,turnover,out-of-bounds,[],203109,,,1610612756,0,0,2022-03-10T00:46:34Z,110000,,,0,,J. Crowder bad pass out-of-bounds TURNOVER (1 TO),[203109],1610612756.0,PHX,bad pass,,,Crowder,J. Crowder,,,,,1.0,,,,,,,,,201246.0,,,,,,,,,,
12,PT11M23.00S,2022-03-10T00:46:43.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,77.61169513797634,91.17647058823529,1610612748,3,0,2022-03-10T00:46:49Z,120000,206.0,158.0,1,right,D. Robinson 25' 3PT  (3 PTS) (G. Vincent 1 AST),"[1629130, 1629216]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,25.95,Made,,,,,,3.0,G. Vincent,1629216.0,1.0,,,,,,
14,PT11M10.00S,2022-03-10T00:46:56.2Z,1,REGULAR,3pt,Jump Shot,[],203109,30.436925098554536,72.30392156862744,1610612756,3,0,2022-03-10T00:47:10Z,140000,-112.0,234.0,1,left,MISS J. Crowder 25' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,25.88,Missed,,,,,,,,,,,,,,,
15,PT11M07.00S,2022-03-10T00:46:59.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,3,0,2022-03-10T00:47:10Z,150000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT11M02.00S,2022-03-10T00:47:04.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629130,90.88370565045992,58.82352941176471,1610612748,3,0,2022-03-10T00:48:11Z,160000,44.0,33.0,1,right,MISS D. Robinson driving floating Shot,[1629130],1610612748.0,MIA,driving floating,,,Robinson,D. Robinson,,,,,,,,5.52,Missed,,,,,,,,,,,,,,,
17,PT10M59.00S,2022-03-10T00:47:07.3Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,3,0,2022-03-10T00:47:19Z,170000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M42.00S,2022-03-10T00:47:25.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,9.411957950065702,51.71568627450981,1610612756,3,2,2022-03-10T00:47:41Z,180000,-9.0,36.0,1,left,D. Ayton cutting Layup (2 PTS) (D. Booker 1 AST),"[1629028, 1626164]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,,,,3.7,Made,,,,,,2.0,D. Booker,1626164.0,1.0,,,,,,
20,PT10M35.00S,2022-03-10T00:47:33.6Z,1,REGULAR,turnover,out-of-bounds,[],200768,,,1610612748,3,2,2022-03-10T00:52:16Z,200000,,,0,,K. Lowry bad pass out-of-bounds TURNOVER (1 TO),[200768],1610612748.0,MIA,bad pass,,,Lowry,K. Lowry,,,,,1.0,,,,,,,,,201246.0,,,,,,,,,,
21,PT10M23.00S,2022-03-10T00:47:50.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629028,9.543363994743759,77.20588235294117,1610612756,3,2,2022-03-10T00:47:58Z,210000,-136.0,37.0,1,left,MISS D. Ayton 14' turnaround fadeaway Shot,[1629028],1610612756.0,PHX,turnaround fadeaway,,,Ayton,D. Ayton,,,,,,,,14.1,Missed,,,,,,,,,,,,,,,
22,PT10M19.00S,2022-03-10T00:47:54.1Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,3,2,2022-03-10T00:47:58Z,220000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT10M18.00S,2022-03-10T00:47:55.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],200768,66.17936925098554,54.41176470588235,1610612748,6,2,2022-03-10T00:48:09Z,230000,22.0,265.0,1,right,K. Lowry 26' 3PT running (3 PTS),[200768],1610612748.0,MIA,running,,,Lowry,K. Lowry,,,,,,,,26.63,Made,,,,,,3.0,,,,,,,,,
24,PT10M06.00S,2022-03-10T00:48:07.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203109,7.966491458607096,49.01960784313725,1610612756,6,2,2022-03-10T00:48:15Z,240000,5.0,22.0,1,left,MISS J. Crowder cutting Layup,[203109],1610612756.0,PHX,cutting,,,Crowder,J. Crowder,,,,,,,,2.29,Missed,,,,,,,,,,,,,,,
25,PT10M06.00S,2022-03-10T00:48:07.8Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,6,2,2022-03-10T00:48:15Z,250000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT09M48.00S,2022-03-10T00:48:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629130,88.64980289093299,52.94117647058824,1610612748,6,2,2022-03-10T00:48:37Z,260000,15.0,54.0,1,right,MISS D. Robinson finger roll Layup,[1629130],1610612748.0,MIA,finger roll,,,Robinson,D. Robinson,,,,,,,,5.62,Missed,,,,,,,,,,,,,,,
27,PT09M47.00S,2022-03-10T00:48:26.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,6,2,2022-03-10T00:48:37Z,270000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,
29,PT09M41.00S,2022-03-10T00:48:32.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626166,7.046649145860711,56.86274509803921,1610612756,6,2,2022-03-10T00:48:46Z,290000,-34.0,14.0,1,left,MISS C. Payne driving Layup,[1626166],1610612756.0,PHX,driving,,,Payne,C. Payne,,,,,,,,3.69,Missed,,,,,,,,,,,,,,,
30,PT09M38.00S,2022-03-10T00:48:35.2Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,6,2,2022-03-10T00:48:35Z,300000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,
31,PT09M32.00S,2022-03-10T00:48:41.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629130,68.28186596583443,70.34313725490196,1610612748,9,2,2022-03-10T00:48:56Z,310000,102.0,246.0,1,right,D. Robinson 26' 3PT  (6 PTS) (K. Lowry 1 AST),"[1629130, 200768]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,26.59,Made,,,,,,6.0,K. Lowry,200768.0,1.0,,,,,,
33,PT09M17.00S,2022-03-10T00:48:58.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,6.1268068331143235,47.549019607843135,1610612756,9,4,2022-03-10T00:49:11Z,330000,12.0,5.0,1,left,D. Ayton cutting Layup (4 PTS) (D. Booker 2 AST),"[1629028, 1626164]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,,,,1.33,Made,,,,,,4.0,D. Booker,1626164.0,2.0,,,,,,
