actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-04T23:41:56.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-04T23:41:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-04T23:41:59.4Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2021-11-04T23:41:59Z,40000,,,0,,Jump Ball B. Adebayo vs. R. Williams III: Tip to K. Lowry,"[200768, 1628389, 1629057]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-04T23:42:15.3Z,1,REGULAR,3pt,Jump Shot,[],200768,78.40013140604468,9.313725490196079,1610612748,0,0,2021-11-04T23:42:23Z,70000,-203.0,151.0,1,right,MISS K. Lowry 25' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-11-04T23:42:20.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2021-11-04T23:42:23Z,80000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2021-11-04T23:42:36.8Z,1,REGULAR,2pt,Jump Shot,[],1627759,4.681340341655716,23.774509803921568,1610612738,0,0,2021-11-04T23:42:45Z,90000,131.0,-8.0,1,left,MISS J. Brown 13' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,13.14,Missed,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2021-11-04T23:42:42.8Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,0,0,2021-11-04T23:42:45Z,100000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M08.00S,2021-11-04T23:42:48.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],200782,92.06636005256242,56.61764705882353,1610612748,0,0,2021-11-04T23:42:59Z,110000,33.0,22.0,1,right,MISS P. Tucker driving Hook,[200782],1610612748.0,MIA,driving,,,Tucker,P. Tucker,,,,,3.98,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2021-11-04T23:42:50.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2021-11-04T23:42:59Z,120000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M57.00S,2021-11-04T23:42:58.8Z,1,REGULAR,3pt,Jump Shot,[],203935,32.14520367936925,53.67647058823529,1610612738,0,0,2021-11-04T23:43:05Z,130000,-18.0,250.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.04,Missed,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2021-11-04T23:43:02.8Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,0,0,2021-11-04T23:43:05Z,140000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M53.00S,2021-11-04T23:43:08.5Z,1,REGULAR,foul,personal,[],201143,,,1610612748,0,0,2021-11-04T23:43:19Z,150000,,,0,,A. Horford personal FOUL (1 PF),"[201143, 202710]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,202007.0,1.0,0.0,Butler,202710.0,,,,,,,,,
17,PT10M45.00S,2021-11-04T23:43:34.6Z,1,REGULAR,3pt,Jump Shot,[],200782,95.6143232588699,95.09803921568627,1610612748,0,0,2021-11-04T23:43:39Z,170000,225.0,-11.0,1,right,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,22.58,Missed,,,,,,,,,,,,,,,,,,
18,PT10M42.00S,2021-11-04T23:43:37.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2021-11-04T23:43:39Z,180000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M26.00S,2021-11-04T23:43:53.0Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,0,0,2021-11-04T23:43:57Z,190000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 200768]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,1.0,Lowry,200768.0,,,,,,
