actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-09T00:45:20.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-09T00:45:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-09T00:45:23.2Z,1,REGULAR,jumpball,recovered,[],201950,,,1610612749,0,0,2021-12-09T00:45:23Z,40000,,,0,,Jump Ball B. Portis vs. D. Dedmon: Tip to J. Holiday,"[201950, 1626171, 203473]",1610612749.0,MIL,startperiod,J. Holiday,201950.0,Holiday,J. Holiday,Portis,1626171.0,Dedmon,203473.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-09T00:45:34.5Z,1,REGULAR,3pt,Jump Shot,[],203114,31.84954007884363,60.53921568627451,1610612749,0,0,2021-12-09T01:11:42Z,70000,-53.0,247.0,1,left,MISS K. Middleton 25' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-12-09T00:45:37.5Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,0,0,2021-12-09T00:45:42Z,80000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-12-09T00:45:42.4Z,1,REGULAR,3pt,Jump Shot,[],200782,96.76412614980289,3.4313725490196134,1610612748,0,0,2021-12-09T01:11:55Z,90000,-233.0,-22.0,1,right,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,23.38,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2021-12-09T00:45:43.4Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,0,0,2021-12-09T00:46:03Z,100000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M36.00S,2021-12-09T00:46:00.3Z,1,REGULAR,turnover,out-of-bounds,[],203114,,,1610612749,0,0,2021-12-09T01:12:50Z,120000,,,0,,K. Middleton lost ball out-of-bounds TURNOVER (1 TO),[203114],1610612749.0,MIL,lost ball,,,Middleton,K. Middleton,,,,,,,,,,,203591.0,1.0,,,,,,,,,,,,,
13,PT11M33.00S,2021-12-09T00:46:06.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200768,95.58147174770039,3.67647058823529,1610612748,0,0,2021-12-09T01:13:02Z,130000,-232.0,-11.0,1,right,MISS K. Lowry 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,23.19,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M30.00S,2021-12-09T00:46:09.0Z,1,REGULAR,rebound,offensive,[],203473,,,1610612748,0,0,2021-12-09T00:46:11Z,140000,,,0,,D. Dedmon REBOUND (Off:1 Def:0),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
15,PT11M28.00S,2021-12-09T00:46:10.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203473,93.34756898817345,47.79411764705882,1610612748,2,0,2021-12-09T01:13:25Z,150000,-11.0,10.0,1,right,D. Dedmon putback Layup (2 PTS),[203473],1610612748.0,MIA,putback,,,Dedmon,D. Dedmon,,,,,1.49,Made,,,,,,,2.0,,,,,,,,,,,,
16,PT11M22.00S,2021-12-09T00:46:16.5Z,1,REGULAR,3pt,Jump Shot,[],203507,27.90735873850197,82.59803921568627,1610612749,2,0,2021-12-09T01:13:34Z,160000,-163.0,210.0,1,left,MISS G. Antetokounmpo 26' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,26.57,Missed,,,,,,,,,,,,,,,,,,,
17,PT11M19.00S,2021-12-09T00:46:19.5Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,2,0,2021-12-09T00:46:21Z,170000,,,0,,D. Dedmon REBOUND (Off:1 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
18,PT11M08.00S,2021-12-09T00:46:30.4Z,1,REGULAR,3pt,Jump Shot,[],200768,71.53416557161628,19.607843137254903,1610612748,2,0,2021-12-09T01:13:47Z,180000,-152.0,215.0,1,right,MISS K. Lowry 26' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,26.34,Missed,,,,,,,,,,,,,,,,,,,
19,PT11M04.00S,2021-12-09T00:46:34.4Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,2,0,2021-12-09T00:46:35Z,190000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M57.00S,2021-12-09T00:46:41.6Z,1,REGULAR,3pt,Jump Shot,[],201950,21.862680683311424,7.598039215686271,1610612749,2,0,2021-12-09T01:13:59Z,200000,212.0,153.0,1,left,MISS J. Holiday 26' 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,26.14,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M54.00S,2021-12-09T00:46:44.6Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,2,0,2021-12-09T01:13:59Z,210000,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
22,PT10M47.00S,2021-12-09T00:46:51.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626171,8.196452036793687,77.45098039215686,1610612749,2,0,2021-12-09T01:14:09Z,220000,-137.0,25.0,1,left,MISS B. Portis 13' turnaround fadeaway Shot,[1626171],1610612749.0,MIL,turnaround fadeaway,,,Portis,B. Portis,,,,,13.95,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M43.00S,2021-12-09T00:46:55.4Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,2,0,2021-12-09T00:46:58Z,230000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
24,PT10M38.00S,2021-12-09T00:47:00.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629130,68.38042049934297,18.382352941176478,1610612748,2,0,2021-12-09T01:14:18Z,240000,-158.0,245.0,1,right,MISS D. Robinson 29' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,29.13,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M38.00S,2021-12-09T00:47:00.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,0,2021-12-09T00:47:13Z,250000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT10M21.00S,2021-12-09T00:47:17.4Z,1,REGULAR,3pt,Jump Shot,[],1628960,9.773324572930349,95.83333333333333,1610612749,2,0,2021-12-09T01:14:33Z,260000,-229.0,39.0,1,left,MISS G. Allen 3PT - blocked,"[1628960, 1628997]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,23.26,Missed,,,,,,,,Martin,1628997.0,,,,,,,,,,
27,PT10M21.00S,2021-12-09T00:47:17.4Z,1,REGULAR,block,,[],1628997,,,1610612749,2,0,2021-12-09T00:47:23Z,270000,,,0,,C. Martin BLOCK (1 BLK),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT10M14.00S,2021-12-09T00:47:24.4Z,1,REGULAR,rebound,offensive,[],203114,,,1610612749,2,0,2021-12-09T00:47:26Z,280000,,,0,,K. Middleton REBOUND (Off:1 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
29,PT10M11.00S,2021-12-09T00:47:27.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203114,5.436925098554539,92.8921568627451,1610612749,2,0,2021-12-09T01:15:55Z,290000,-214.0,-1.0,1,left,MISS K. Middleton 21' pullup Shot,[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,21.45,Missed,,,,,,,,,,,,,,,,,,,
30,PT10M08.00S,2021-12-09T00:47:30.2Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,2,0,2021-12-09T00:47:40Z,300000,,,0,,P. Tucker REBOUND (Off:0 Def:2),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
31,PT10M02.00S,2021-12-09T00:47:36.6Z,1,REGULAR,2pt,Jump Shot,[],1628997,91.90210249671485,69.8529411764706,1610612748,2,0,2021-12-09T01:16:06Z,310000,99.0,24.0,1,right,MISS C. Martin 10' floating Shot,[1628997],1610612748.0,MIA,floating,,,Martin,C. Martin,,,,,10.21,Missed,,,,,,,,,,,,,,,,,,,
32,PT10M00.00S,2021-12-09T00:47:38.6Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,2,0,2021-12-09T00:48:09Z,320000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT10M00.00S,2021-12-09T00:47:44.6Z,1,REGULAR,turnover,double dribble,[],201950,,,1610612749,2,0,2021-12-09T01:16:22Z,330000,,,0,,J. Holiday double dribble TURNOVER (1 TO),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,203592.0,1.0,,,,,,,,,,,,,
34,PT09M42.00S,2021-12-09T00:48:11.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628997,96.36990801576873,3.4313725490196134,1610612748,5,0,2021-12-09T01:16:43Z,340000,-233.0,-18.0,1,right,C. Martin 3PT  (3 PTS) (P. Tucker 1 AST),"[1628997, 200782]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,23.35,Made,,,,,,,3.0,,,P. Tucker,200782.0,1.0,,,,,,,
36,PT09M26.00S,2021-12-09T00:48:27.1Z,1,REGULAR,3pt,Jump Shot,[],1628960,30.535479632063073,77.69607843137254,1610612749,5,0,2021-12-09T01:16:55Z,360000,-138.0,235.0,1,left,MISS G. Allen 27' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,27.23,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M23.00S,2021-12-09T00:48:30.1Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,5,0,2021-12-09T00:48:31Z,370000,,,0,,D. Dedmon REBOUND (Off:1 Def:2),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,36.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
