actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
185,PT08M37.00S,2022-02-27T01:43:11.2Z,2,REGULAR,foul,personal,['2freethrow'],1630200,,,1610612748,37,47,2022-02-27T01:43:22Z,1840000,,,0,,T. Jones shooting personal FOUL (2 PF) (Lowry 2 FT),"[1630200, 200768]",1610612759.0,SAS,shooting,,,,,,,,Jones,T. Jones,,,,,,,,,2003.0,,2.0,0.0,Lowry,200768.0,,,,,
187,PT08M37.00S,2022-02-27T01:43:35.7Z,2,REGULAR,freethrow,1 of 2,[],200768,,,1610612748,38,47,2022-02-27T01:43:35Z,1860000,,,0,,K. Lowry Free Throw 1 of 2 (4 PTS),[200768],1610612748.0,MIA,,,,,,,,Made,Lowry,K. Lowry,,4.0,,,,,,,,,,,,,,,,,
188,PT08M37.00S,2022-02-27T01:43:36.6Z,2,REGULAR,substitution,out,[],203473,,,1610612748,38,47,2022-02-27T01:43:44Z,1870000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,,,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,
189,PT08M37.00S,2022-02-27T01:43:36.6Z,2,REGULAR,substitution,out,[],1630200,,,1610612748,38,47,2022-02-27T01:43:44Z,1880000,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,,,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,
190,PT08M37.00S,2022-02-27T01:43:36.6Z,2,REGULAR,substitution,in,[],1628389,,,1610612748,38,47,2022-02-27T01:43:44Z,1890000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,,,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
191,PT08M37.00S,2022-02-27T01:43:36.6Z,2,REGULAR,substitution,in,[],1630563,,,1610612748,38,47,2022-02-27T01:43:44Z,1900000,,,0,,SUB in: J. Primo,[1630563],1610612759.0,SAS,,,,,,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,
192,PT08M37.00S,2022-02-27T01:43:56.6Z,2,REGULAR,freethrow,2 of 2,[],200768,,,1610612748,39,47,2022-02-27T01:43:56Z,1910000,,,0,,K. Lowry Free Throw 2 of 2 (5 PTS),[200768],1610612748.0,MIA,,,,,,,,Made,Lowry,K. Lowry,,5.0,,,,,,,,,,,,,,,,,
193,PT08M25.00S,2022-02-27T01:44:09.4Z,2,REGULAR,2pt,Jump Shot,[],1628966,87.46714848883047,71.32352941176471,1610612759,39,49,2022-02-27T01:44:23Z,1920000,107.0,65.0,1,right,K. Bates-Diop 12' driving floating bank Jump Shot (6 PTS) (D. Vassell 1 AST),"[1628966, 1630170]",1610612759.0,SAS,driving floating bank,,,,,,12.5,Made,Bates-Diop,K. Bates-Diop,,6.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,,
195,PT08M15.00S,2022-02-27T01:44:19.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,11.383048620236531,46.07843137254902,1610612748,41,49,2022-02-27T01:44:34Z,1940000,20.0,55.0,1,left,G. Vincent driving finger roll Layup (5 PTS) (K. Lowry 3 AST),"[1629216, 200768]",1610612748.0,MIA,driving finger roll,,,,,,5.79,Made,Vincent,G. Vincent,,5.0,K. Lowry,200768.0,3.0,,,,,,,,,,,,,,
197,PT07M59.00S,2022-02-27T01:44:35.1Z,2,REGULAR,turnover,bad pass,[],1628380,,,1610612759,41,49,2022-02-27T01:44:55Z,1960000,,,0,,Z. Collins bad pass TURNOVER (2 TO),"[1628380, 1628389]",1610612759.0,SAS,,,,,,,,,Collins,Z. Collins,,,,,,,,,,2.0,,,,,Adebayo,1628389.0,,,
198,PT07M59.00S,2022-02-27T01:44:35.1Z,2,REGULAR,steal,,[],1628389,,,1610612748,41,49,2022-02-27T01:44:38Z,1970000,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,,,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
199,PT07M48.00S,2022-02-27T01:44:50.1Z,2,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,41,49,2022-02-27T01:45:05Z,1980000,,,0,,B. Adebayo lost ball out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,lost ball,,,,,,,,Adebayo,B. Adebayo,,,,,,,,,2003.0,1.0,,,,,,,,,
200,PT07M48.00S,2022-02-27T01:44:55.4Z,2,REGULAR,substitution,out,[],1630170,,,1610612759,41,49,2022-02-27T01:44:58Z,1990000,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,,,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,
201,PT07M48.00S,2022-02-27T01:44:55.4Z,2,REGULAR,substitution,in,[],1629022,,,1610612759,41,49,2022-02-27T01:44:58Z,2000000,,,0,,SUB in: L. Walker IV,[1629022],1610612759.0,SAS,,,,,,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,
202,PT07M48.00S,2022-02-27T01:45:04.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,41,49,2022-02-27T01:45:04Z,2010000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT07M38.00S,2022-02-27T01:48:05.9Z,2,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612759,41,49,2022-02-27T01:48:17Z,2020000,,,0,,T. Herro shooting personal FOUL (1 PF) (Collins 2 FT),"[1629639, 1628380]",1610612748.0,MIA,shooting,,,,,,,,Herro,T. Herro,,,,,,,,,1626301.0,,1.0,0.0,Collins,1628380.0,,,,,
205,PT07M38.00S,2022-02-27T01:48:27.8Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1628380,,,1610612759,41,50,2022-02-27T01:48:46Z,2040000,,,0,,Z. Collins Free Throw 1 of 2 (3 PTS),[1628380],1610612759.0,SAS,,,,,,,,Made,Collins,Z. Collins,,3.0,,,,,,,,,,,,,,,,,
206,PT07M38.00S,2022-02-27T01:48:27.8Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1628380,,,1610612759,41,50,2022-02-27T01:48:46Z,2050000,,,0,,MISS Z. Collins Free Throw 2 of 2,[1628380],1610612759.0,SAS,,,,,,,,Missed,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,
207,PT07M35.00S,2022-02-27T01:48:30.8Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,41,50,2022-02-27T01:48:46Z,2060000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,,,,,,Adebayo,B. Adebayo,206.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
208,PT07M24.00S,2022-02-27T01:48:58.4Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,41,50,2022-02-27T01:48:58Z,2070000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M24.00S,2022-02-27T01:48:59.4Z,2,REGULAR,substitution,out,[],1629639,,,1610612748,41,50,2022-02-27T01:49:09Z,2080000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,
210,PT07M24.00S,2022-02-27T01:48:59.4Z,2,REGULAR,substitution,in,[],1629130,,,1610612748,41,50,2022-02-27T01:49:09Z,2090000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,
211,PT07M17.00S,2022-02-27T01:49:18.4Z,2,REGULAR,3pt,Jump Shot,[],200768,22.421156373193167,93.87254901960785,1610612748,41,50,2022-02-27T01:49:37Z,2100000,-219.0,158.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612748.0,MIA,,,,,,,27.05,Missed,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,
