actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-27T00:45:42.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-27T00:45:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-27T00:45:45.2Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2022-01-27T00:45:45Z,40000,,,0,,Jump Ball B. Adebayo vs. M. Robinson: Tip to P. Tucker,"[200782, 1628389, 1629011]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Adebayo,1628389.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2022-01-27T00:45:55.7Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612748,0,0,2022-01-27T00:45:55Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-01-27T00:46:39.7Z,1,REGULAR,3pt,Jump Shot,[],202710,9.149145860709593,3.431372549019608,1610612748,0,0,2022-01-27T00:46:45Z,80000,233.0,34.0,1,left,MISS J. Butler 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,23.52,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-01-27T00:46:43.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2022-01-27T00:46:45Z,90000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M12.00S,2022-01-27T00:47:06.5Z,1,REGULAR,turnover,out-of-bounds,[],202689,,,1610612752,0,0,2022-01-27T00:47:14Z,100000,,,0,,K. Walker bad pass out-of-bounds TURNOVER (1 TO),[202689],1610612752.0,NYK,bad pass,,,Walker,K. Walker,,,,,,,,,,,204058.0,1.0,,,,,,,,,,,,,
11,PT10M56.00S,2022-01-27T00:47:37.3Z,1,REGULAR,turnover,bad pass,[],1629216,,,1610612748,0,0,2022-01-27T00:47:56Z,110000,,,0,,G. Vincent bad pass TURNOVER (1 TO),"[1629216, 203095]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,1.0,Fournier,203095.0,,,,,,,,,,,
12,PT10M56.00S,2022-01-27T00:47:37.3Z,1,REGULAR,steal,,[],203095,,,1610612752,0,0,2022-01-27T00:47:41Z,120000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2022-01-27T00:47:46.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202689,93.77463863337714,20.833333333333336,1610612752,0,0,2022-01-27T00:48:24Z,130000,-146.0,6.0,1,right,MISS K. Walker 14' step back Shot,[202689],1610612752.0,NYK,step back,,,Walker,K. Walker,,,,,14.59,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2022-01-27T00:47:51.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2022-01-27T00:48:24Z,140000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M37.00S,2022-01-27T00:47:56.6Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.670827858081466,56.372549019607845,1610612748,3,0,2022-01-27T00:48:00Z,150000,-32.0,255.0,1,left,D. Robinson 25' 3PT  (3 PTS) (B. Adebayo 1 AST),"[1629130, 1628389]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.66,Made,,,,,,,,,3.0,B. Adebayo,1628389.0,1.0,,,,,,,
17,PT10M24.00S,2022-01-27T00:48:12.8Z,1,REGULAR,foul,personal,[],202710,,,1610612752,3,0,2022-01-27T00:48:29Z,170000,,,0,,J. Butler personal FOUL (1 PF),"[202710, 1629011]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,204058.0,,,,,,,,1.0,0.0,Robinson,1629011.0,,,
19,PT10M11.00S,2022-01-27T00:48:42.9Z,1,REGULAR,3pt,Jump Shot,[],203944,90.62089356110381,3.6764705882352944,1610612752,3,0,2022-01-27T00:48:56Z,190000,-232.0,36.0,1,right,MISS J. Randle step back 3PT,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,23.43,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M07.00S,2022-01-27T00:48:46.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,3,0,2022-01-27T00:48:47Z,200000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
21,PT09M58.00S,2022-01-27T00:48:56.0Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.802233902759525,37.745098039215684,1610612748,6,0,2022-01-27T00:49:05Z,210000,61.0,256.0,1,left,D. Robinson 26' 3PT pullup (6 PTS) (B. Adebayo 2 AST),"[1629130, 1628389]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,26.3,Made,,,,,,,,,6.0,B. Adebayo,1628389.0,2.0,,,,,,,
23,PT09M33.00S,2022-01-27T00:49:21.4Z,1,REGULAR,3pt,Jump Shot,[],202689,79.97700394218134,7.598039215686274,1610612752,6,0,2022-01-27T00:49:27Z,230000,-212.0,136.0,1,right,MISS K. Walker 25' 3PT,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M28.00S,2022-01-27T00:49:26.4Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,6,0,2022-01-27T00:49:27Z,240000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT09M23.00S,2022-01-27T00:49:30.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],200782,7.046649145860711,3.1862745098039214,1610612748,9,0,2022-01-27T00:49:36Z,250000,234.0,14.0,1,left,P. Tucker 3PT  (3 PTS) (J. Butler 1 AST),"[200782, 202710]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,23.45,Made,,,,,,,,,3.0,J. Butler,202710.0,1.0,,,,,,,
27,PT09M07.00S,2022-01-27T00:49:46.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,85.10183968462549,59.31372549019608,1610612752,9,2,2022-01-27T00:49:52Z,270000,47.0,88.0,1,right,J. Randle 9' pullup Jump Shot (2 PTS),[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,9.91,Made,,,,,,,,,2.0,,,,,,,,,,
28,PT08M56.00S,2022-01-27T00:49:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,7.5722733245729295,53.18627450980392,1610612748,9,2,2022-01-27T00:51:59Z,280000,-16.0,19.0,1,left,MISS B. Adebayo driving Layup,[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,2.45,Missed,,,,,,,,,,,,,,,,,,,
29,PT08M54.00S,2022-01-27T00:49:59.7Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,9,2,2022-01-27T00:50:02Z,290000,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
30,PT08M52.00S,2022-01-27T00:50:01.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,6.521024967148489,42.8921568627451,1610612748,11,2,2022-01-27T00:50:07Z,300000,36.0,9.0,1,left,J. Butler putback Layup (2 PTS),[202710],1610612748.0,MIA,putback,,,Butler,J. Butler,,,,,3.66,Made,,,,,,,,,2.0,,,,,,,,,,
31,PT08M42.00S,2022-01-27T00:50:14.8Z,1,REGULAR,turnover,traveling,[],203944,,,1610612752,11,2,2022-01-27T00:50:19Z,310000,,,0,,J. Randle traveling TURNOVER (1 TO),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,101284.0,1.0,,,,,,,,,,,,,
