actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-26T00:11:55.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-26T00:11:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-26T00:11:57.3Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2022-03-26T00:11:57Z,40000,,,0,,Jump Ball B. Adebayo vs. J. Sims: Tip to K. Lowry,"[200768, 1628389, 1630579]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Sims,1630579.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-03-26T00:12:12.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,6.521024967148489,46.81372549019608,1610612748,2,0,2022-03-26T00:12:21Z,70000,16.0,9.0,1,left,B. Adebayo alley-oop Layup (2 PTS) (K. Lowry 1 AST),"[1628389, 200768]",1610612748.0,MIA,alley-oop,,,Adebayo,B. Adebayo,,,,,1.82,Made,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-03-26T00:12:33.3Z,1,REGULAR,turnover,out-of-bounds,[],1629628,,,1610612752,2,0,2022-03-26T00:12:39Z,90000,,,0,,R. Barrett bad pass out-of-bounds TURNOVER (1 TO),[1629628],1610612752.0,NYK,bad pass,,,Barrett,R. Barrett,,,,,,,,,,,1627963.0,1.0,,,,,,,,,,,,,
10,PT11M12.00S,2022-03-26T00:12:47.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202710,12.434296977660972,42.64705882352941,1610612748,4,0,2022-03-26T00:23:48Z,100000,37.0,64.0,1,left,J. Butler 7' turnaround Jump Shot (2 PTS) (K. Lowry 2 AST),"[202710, 200768]",1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,7.42,Made,2.0,K. Lowry,200768.0,2.0,,,,,,,,,,,,,,,
12,PT10M48.00S,2022-03-26T00:13:10.1Z,1,REGULAR,3pt,Jump Shot,[],203095,84.05059132720105,2.941176470588235,1610612752,4,3,2022-03-26T00:13:15Z,120000,-235.0,97.0,1,right,E. Fournier 25' 3PT  (3 PTS) (R. Barrett 1 AST),"[203095, 1629628]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,25.47,Made,3.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,,
14,PT10M33.00S,2022-03-26T00:13:24.8Z,1,REGULAR,3pt,Jump Shot,[],200768,31.882391590013142,66.42156862745098,1610612748,4,3,2022-03-26T00:13:33Z,140000,-82.0,247.0,1,left,MISS K. Lowry 26' pullup 3PT,[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,26.05,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M29.00S,2022-03-26T00:13:28.8Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,4,3,2022-03-26T00:13:33Z,150000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
16,PT10M20.00S,2022-03-26T00:13:38.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630579,88.64980289093299,55.14705882352941,1610612752,4,5,2022-03-26T00:13:43Z,160000,26.0,54.0,1,right,J. Sims 6' cutting Layup (2 PTS) (R. Barrett 2 AST),"[1630579, 1629628]",1610612752.0,NYK,cutting,,,Sims,J. Sims,,,,,6.0,Made,2.0,R. Barrett,1629628.0,2.0,,,,,,,,,,,,,,,
18,PT09M59.00S,2022-03-26T00:13:58.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],200782,11.383048620236531,39.950980392156865,1610612748,6,5,2022-03-26T00:14:05Z,180000,50.0,55.0,1,left,P. Tucker 7' driving Hook (2 PTS) (D. Robinson 1 AST),"[200782, 1629130]",1610612748.0,MIA,driving,,,Tucker,P. Tucker,,,,,7.41,Made,2.0,D. Robinson,1629130.0,1.0,,,,,,,,,,,,,,,
19,PT09M38.00S,2022-03-26T00:14:20.3Z,1,REGULAR,3pt,Jump Shot,[],203095,66.04796320630749,47.30392156862745,1610612752,6,5,2022-03-26T00:14:51Z,190000,-13.0,267.0,1,right,MISS E. Fournier 26' step back 3PT,[203095],1610612752.0,NYK,step back,,,Fournier,E. Fournier,,,,,26.69,Missed,,,,,,,,,,,,,,,,,,,
20,PT09M34.00S,2022-03-26T00:14:24.3Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,6,5,2022-03-26T00:14:30Z,200000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,
21,PT09M17.00S,2022-03-26T00:14:46.6Z,1,REGULAR,foul,technical,['1freethrow'],1630579,,,1610612748,6,5,2022-03-26T00:14:55Z,210000,,,0,,J. Sims defensive-3-second technical FOUL (1 Tech),[1630579],1610612752.0,NYK,defensive-3-second,,,Sims,J. Sims,,,,,,,,,,,1179.0,,,,,,0.0,1.0,,,,,,,
