actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-16T00:41:32.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-16T00:41:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-16T00:41:34.4Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2022-02-16T00:41:34Z,40000,,,0,,Jump Ball B. Adebayo vs. D. Powell: Tip to P. Tucker,"[200782, 1628389, 203939]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Adebayo,1628389.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-16T00:41:48.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,12.434296977660972,59.55882352941176,1610612748,2,0,2022-02-16T00:41:56Z,70000,-48.0,64.0,1,left,J. Butler 8' turnaround fadeaway Jump Shot (2 PTS) (B. Adebayo 1 AST),"[202710, 1628389]",1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,8.02,Made,2.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2022-02-16T00:42:13.5Z,1,REGULAR,2pt,Jump Shot,[],203939,80.89684625492772,20.34313725490196,1610612742,2,2,2022-02-16T00:42:20Z,90000,-148.0,127.0,1,right,D. Powell 19' Jump Shot (2 PTS) (J. Green 1 AST),"[203939, 1630182]",1610612742.0,DAL,,,,Powell,D. Powell,,,,,19.53,Made,2.0,J. Green,1630182.0,1.0,,,,,,,,,,,,,,,
11,PT10M56.00S,2022-02-16T00:42:35.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,6.521024967148489,47.794117647058826,1610612748,4,2,2022-02-16T00:42:41Z,110000,11.0,9.0,1,left,B. Adebayo driving Layup (2 PTS) (D. Robinson 1 AST),"[1628389, 1629130]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,1.41,Made,2.0,D. Robinson,1629130.0,1.0,,,,,,,,,,,,,,,
13,PT10M38.00S,2022-02-16T00:42:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,90.48948751642575,40.19607843137255,1610612742,4,2,2022-02-16T00:43:01Z,130000,-49.0,37.0,1,right,MISS J. Brunson 6' driving finger roll Layup,[1628973],1610612742.0,DAL,driving finger roll,,,Brunson,J. Brunson,,,,,6.13,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M34.00S,2022-02-16T00:42:57.1Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,4,2,2022-02-16T00:46:13Z,140000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M27.00S,2022-02-16T00:43:05.8Z,1,REGULAR,turnover,traveling,[],202710,,,1610612748,4,2,2022-02-16T00:43:14Z,150000,,,0,,J. Butler traveling TURNOVER (1 TO),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,201639.0,1.0,,,,,,,,,
16,PT10M05.00S,2022-02-16T00:43:39.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628973,88.25558475689881,75.98039215686273,1610612742,4,4,2022-02-16T00:43:48Z,160000,130.0,58.0,1,right,J. Brunson 14' turnaround fadeaway Jump Shot (2 PTS) (J. Green 2 AST),"[1628973, 1630182]",1610612742.0,DAL,turnaround fadeaway,,,Brunson,J. Brunson,,,,,14.22,Made,2.0,J. Green,1630182.0,2.0,,,,,,,,,,,,,,,
18,PT09M53.00S,2022-02-16T00:43:57.3Z,1,REGULAR,foul,personal,[],1627827,,,1610612748,4,4,2022-02-16T00:44:23Z,180000,,,0,,D. Finney-Smith personal FOUL (1 PF),"[1627827, 1628389]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,202007.0,,1.0,0.0,Adebayo,1628389.0,,,,,
20,PT09M51.00S,2022-02-16T00:44:17.4Z,1,REGULAR,foul,offensive,[],200782,,,1610612748,4,4,2022-02-16T00:44:28Z,200000,,,0,,P. Tucker off-the-ball offensive FOUL (1 PF),"[200782, 1630182]",1610612748.0,MIA,off-the-ball,,,Tucker,P. Tucker,,,,,,,,,,,,,,,201639.0,,1.0,0.0,Green,1630182.0,,,,,
22,PT09M51.00S,2022-02-16T00:44:17.4Z,1,REGULAR,turnover,offensive foul,[],200782,,,1610612748,4,4,2022-02-16T00:44:17Z,220000,,,0,,P. Tucker offensive foul TURNOVER (1 TO),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,201639.0,1.0,,,,,,,,,
23,PT09M44.00S,2022-02-16T00:44:39.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,65.1281208935611,51.470588235294116,1610612742,4,7,2022-02-16T00:47:18Z,230000,7.0,275.0,1,right,L. Doncic 27' 3PT pullup (3 PTS),[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,27.54,Made,3.0,,,,,,,,,,,,,,,,,,
24,PT09M31.00S,2022-02-16T00:44:51.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200768,14.011169513797633,44.36274509803921,1610612748,6,7,2022-02-16T00:44:57Z,240000,28.0,79.0,1,left,K. Lowry 8' turnaround fadeaway Jump Shot (2 PTS),[200768],1610612748.0,MIA,turnaround fadeaway,,,Lowry,K. Lowry,,,,,8.41,Made,2.0,,,,,,,,,,,,,,,,,,
25,PT09M12.00S,2022-02-16T00:45:09.9Z,1,REGULAR,3pt,Jump Shot,[],1629029,63.9454664914586,31.127450980392158,1610612742,6,7,2022-02-16T00:47:44Z,250000,-94.0,286.0,1,right,MISS L. Doncic 30' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,30.16,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M10.00S,2022-02-16T00:45:11.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,6,7,2022-02-16T00:45:17Z,260000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,
27,PT09M10.00S,2022-02-16T00:45:15.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,6,7,2022-02-16T00:45:15Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT08M48.00S,2022-02-16T00:45:43.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,10.5946123521682,62.5,1610612748,6,7,2022-02-16T00:45:48Z,280000,-62.0,47.0,1,left,MISS J. Butler 7' turnaround fadeaway Shot,[202710],1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,7.83,Missed,,,,,,,,,,,,,,,,,,,
29,PT08M45.00S,2022-02-16T00:45:46.4Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,6,7,2022-02-16T00:45:46Z,290000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,28.0,1.0,0.0,1.0,,,,,,,,,,,
30,PT08M44.00S,2022-02-16T00:45:47.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628389,7.178055190538765,50.245098039215684,1610612748,8,7,2022-02-16T00:45:53Z,300000,-1.0,15.0,1,left,B. Adebayo putback DUNK (4 PTS),[1628389],1610612748.0,MIA,putback,,,Adebayo,B. Adebayo,,,,,1.5,Made,4.0,,,,,,,,,,,,,,,,,,
31,PT08M36.00S,2022-02-16T00:45:55.4Z,1,REGULAR,3pt,Jump Shot,[],1627827,67.62483574244416,69.11764705882352,1610612742,8,7,2022-02-16T00:46:03Z,310000,96.0,252.0,1,right,MISS D. Finney-Smith 26' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,26.93,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M32.00S,2022-02-16T00:45:59.4Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,8,7,2022-02-16T00:46:03Z,320000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,
33,PT08M12.00S,2022-02-16T00:46:20.0Z,1,REGULAR,2pt,Jump Shot,[],202710,6.389618922470433,21.813725490196077,1610612748,8,7,2022-02-16T00:48:56Z,330000,141.0,8.0,1,left,MISS J. Butler 14' turnaround fadeaway Shot,[202710],1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,14.11,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M06.00S,2022-02-16T00:46:26.0Z,1,REGULAR,rebound,defensive,[],1630182,,,1610612742,8,7,2022-02-16T00:46:26Z,340000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,
35,PT07M56.00S,2022-02-16T00:46:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630182,92.9862023653088,45.83333333333333,1610612742,8,9,2022-02-16T00:46:40Z,350000,-21.0,13.0,1,right,J. Green cutting Layup (2 PTS) (L. Doncic 1 AST),"[1630182, 1629029]",1610612742.0,DAL,cutting,,,Green,J. Green,,,,,2.47,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,,
37,PT07M52.00S,2022-02-16T00:46:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,6.783837056504599,50.245098039215684,1610612748,8,9,2022-02-16T00:46:49Z,370000,-1.0,11.0,1,left,MISS J. Butler Layup - blocked,"[202710, 1627827]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,1.14,Missed,,,,,,,,,,,,,,,Finney-Smith,1627827.0,,,
38,PT07M52.00S,2022-02-16T00:46:40.6Z,1,REGULAR,block,,[],1627827,,,1610612748,8,9,2022-02-16T00:46:59Z,380000,,,0,,D. Finney-Smith BLOCK (1 BLK),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT07M52.00S,2022-02-16T00:46:40.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,8,9,2022-02-16T00:46:49Z,390000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,
40,PT07M52.00S,2022-02-16T00:46:47.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,8,9,2022-02-16T00:46:47Z,400000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
