actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-22T00:32:12.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-22T00:32:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-22T00:32:15.2Z,1,REGULAR,jumpball,recovered,[],1627734,,,1610612754,0,0,2021-12-22T00:32:15Z,40000,,,0,,Jump Ball M. Turner vs. D. Dedmon: Tip to D. Sabonis,"[1627734, 1626167, 203473]",1610612754.0,IND,startperiod,D. Sabonis,1627734.0,Sabonis,D. Sabonis,Turner,1626167.0,Dedmon,203473.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-12-22T00:32:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,94.30026281208936,52.94117647058824,1610612754,0,2,2021-12-22T00:32:39Z,70000,15.0,1.0,1,right,M. Turner driving Layup (2 PTS),[1626167],1610612754.0,IND,driving,,,Turner,M. Turner,,,,,1.47,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2021-12-22T00:32:51.3Z,1,REGULAR,3pt,Jump Shot,[],1629216,28.597240473061763,12.990196078431374,1610612748,0,2,2021-12-22T00:32:58Z,80000,185.0,216.0,1,left,MISS G. Vincent 28' step back 3PT,[1629216],1610612748.0,MIA,step back,,,Vincent,G. Vincent,,,,,28.46,Missed,,,,,,,,,,,,,,,,,,
9,PT11M16.00S,2021-12-22T00:32:55.3Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,2,2021-12-22T00:32:58Z,90000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M07.00S,2021-12-22T00:33:04.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627734,93.24901445466492,40.68627450980392,1610612754,0,4,2021-12-22T00:33:22Z,100000,-47.0,11.0,1,right,D. Sabonis turnaround Jump Shot (2 PTS) (J. Holiday 1 AST),"[1627734, 203200]",1610612754.0,IND,turnaround,,,Sabonis,D. Sabonis,,,,,4.79,Made,2.0,,,,,J. Holiday,203200.0,1.0,,,,,,,,,,
12,PT10M46.00S,2021-12-22T00:33:25.2Z,1,REGULAR,3pt,Jump Shot,[],1629130,30.962549277266753,23.774509803921568,1610612748,0,4,2021-12-22T00:33:34Z,120000,131.0,239.0,1,left,MISS D. Robinson 27' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,27.22,Missed,,,,,,,,,,,,,,,,,,
13,PT10M41.00S,2021-12-22T00:33:30.2Z,1,REGULAR,rebound,offensive,[],1629216,,,1610612748,0,4,2021-12-22T00:33:34Z,130000,,,0,,G. Vincent REBOUND (Off:1 Def:0),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,
14,PT10M40.00S,2021-12-22T00:33:35.4Z,1,REGULAR,turnover,out-of-bounds,[],200768,,,1610612748,0,4,2021-12-22T00:33:44Z,140000,,,0,,K. Lowry step out-of-bounds TURNOVER (1 TO),[200768],1610612748.0,MIA,step,,,Lowry,K. Lowry,,,,,,,,,,,,,,,1.0,,,,,,,,,
15,PT10M28.00S,2021-12-22T00:33:59.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627747,94.03745072273325,68.38235294117648,1610612754,0,4,2021-12-22T00:34:20Z,150000,92.0,4.0,1,right,MISS C. LeVert 9' driving floating Shot,[1627747],1610612754.0,IND,driving floating,,,LeVert,C. LeVert,,,,,9.2,Missed,,,,,,,,,,,,,,,,,,
16,PT10M28.00S,2021-12-22T00:33:59.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,4,2021-12-22T00:34:20Z,160000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,
17,PT10M28.00S,2021-12-22T00:34:03.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,0,4,2021-12-22T00:34:03Z,170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M23.00S,2021-12-22T00:34:19.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203200,70.38436268068331,21.568627450980394,1610612754,0,4,2021-12-22T00:34:23Z,180000,-142.0,226.0,1,right,MISS J. Holiday 26' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,26.69,Missed,,,,,,,,,,,,,,,,,,
