actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-09T00:12:58.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-09T00:12:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT12M00.00S,2022-04-09T00:13:15.4Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2022-04-09T00:19:40Z,23750,,,0,,TEAM delay-of-game VIOLATION,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT12M00.00S,2022-04-09T00:13:31.9Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2022-04-09T00:16:34Z,28750,,,0,,Jump Ball B. Adebayo vs. C. Capela: Tip to K. Lowry,"[200768, 1628389, 203991]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
3,PT11M36.00S,2022-04-09T00:13:37.2Z,1,REGULAR,3pt,Jump Shot,[],202710,28.33442838370565,17.401960784313726,1610612748,0,0,2022-04-09T01:17:40Z,30000,163.0,214.0,1,left,MISS J. Butler 26' 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,26.88,Missed,,,,,,,,,,,,,,,,,,,
4,PT11M32.00S,2022-04-09T00:13:41.2Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,0,0,2022-04-09T01:17:40Z,40000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,3.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
6,PT11M10.00S,2022-04-09T00:13:47.7Z,1,REGULAR,3pt,Jump Shot,[],1628989,70.12155059132719,17.892156862745097,1610612737,0,0,2022-04-09T00:13:53Z,50000,-161.0,228.0,1,right,MISS K. Huerter 27' 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,27.92,Missed,,,,,,,,,,,,,,,,,,,
7,PT11M06.00S,2022-04-09T00:13:51.7Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,0,0,2022-04-09T00:13:53Z,60000,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,6.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
8,PT11M02.00S,2022-04-09T00:13:55.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629631,89.17542706964521,30.88235294117647,1610612737,0,0,2022-04-09T00:14:01Z,70000,-96.0,49.0,1,right,MISS D. Hunter 10' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,10.76,Missed,,,,,,,,,,,,,,,,,,,
9,PT10M58.00S,2022-04-09T00:13:59.3Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,0,0,2022-04-09T00:14:01Z,80000,,,0,,C. Capela REBOUND (Off:2 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,8.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
10,PT10M56.00S,2022-04-09T00:14:01.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,94.1688567674113,53.18627450980392,1610612737,0,2,2022-04-09T00:23:15Z,90000,16.0,2.0,1,right,C. Capela putback Layup (2 PTS),[203991],1610612737.0,ATL,putback,,,Capela,C. Capela,,,,,1.61,Made,,,,,2.0,,,,,,,,,,,,,,
11,PT10M41.00S,2022-04-09T00:14:16.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200768,11.514454664914586,47.549019607843135,1610612748,0,2,2022-04-09T00:14:22Z,100000,12.0,56.0,1,left,MISS K. Lowry driving floating Shot,[200768],1610612748.0,MIA,driving floating,,,Lowry,K. Lowry,,,,,5.7,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M39.00S,2022-04-09T00:14:18.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,2,2022-04-09T00:14:22Z,110000,,,0,,C. Capela REBOUND (Off:2 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,11.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
13,PT10M30.00S,2022-04-09T00:14:27.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,89.70105124835742,49.26470588235294,1610612737,0,4,2022-04-09T00:24:03Z,120000,-4.0,44.0,1,right,C. Capela turnaround Hook (4 PTS) (K. Huerter 1 AST),"[203991, 1628989]",1610612737.0,ATL,turnaround,,,Capela,C. Capela,,,,,4.45,Made,,,,,4.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,
15,PT10M19.00S,2022-04-09T00:14:38.9Z,1,REGULAR,3pt,Jump Shot,[],200768,31.61957950065703,26.47058823529412,1610612748,3,4,2022-04-09T01:14:11Z,140000,118.0,245.0,1,left,K. Lowry 27' 3PT pullup (3 PTS),[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,27.15,Made,,,,,3.0,,,,,,,,,,,,,,
16,PT10M01.00S,2022-04-09T00:14:57.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,93.51182654402102,51.71568627450981,1610612737,3,6,2022-04-09T00:15:02Z,150000,9.0,8.0,1,right,C. Capela cutting Layup (6 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,1.21,Made,,,,,6.0,T. Young,1629027.0,1.0,,,,,,,,,,,
18,PT09M47.00S,2022-04-09T00:15:14.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,3,6,2022-04-09T00:15:14Z,170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
