actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-05T23:45:06.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-05T23:45:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-04-05T23:45:08.4Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2022-04-05T23:45:08Z,40000,,,0,,Jump Ball B. Adebayo vs. M. Plumlee: Tip to P. Tucker,"[200782, 1628389, 203486]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Adebayo,1628389.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-04-05T23:45:25.5Z,1,REGULAR,2pt,Jump Shot,[],1629216,27.283180026281208,39.46078431372549,1610612748,0,0,2022-04-05T23:46:12Z,70000,53.0,204.0,1,left,MISS G. Vincent 21' step back Shot,[1629216],1610612748.0,MIA,step back,,,Vincent,G. Vincent,,,,,21.07,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-04-05T23:45:28.5Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,0,0,2022-04-05T23:45:31Z,80000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-04-05T23:45:32.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],200782,5.732588699080158,96.07843137254902,1610612748,0,0,2022-04-05T23:45:38Z,90000,-230.0,1.0,1,left,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2022-04-05T23:45:37.0Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,0,0,2022-04-05T23:45:38Z,100000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M12.00S,2022-04-05T23:45:56.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,90.62089356110381,57.35294117647059,1610612766,0,2,2022-04-05T23:46:05Z,110000,37.0,36.0,1,right,T. Rozier driving Layup (2 PTS) (L. Ball 1 AST),"[1626179, 1630163]",1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,5.13,Made,,,,,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,,
12,PT11M12.00S,2022-04-05T23:46:01.1Z,1,REGULAR,foul,personal,['1freethrow'],1629216,,,1610612766,0,2,2022-04-05T23:46:09Z,120000,,,0,,G. Vincent shooting personal FOUL (1 PF) (Rozier 1 FT),"[1629216, 1626179]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,,,,,,,,,,,202058.0,1.0,0.0,Rozier,1626179.0,,,,,,
15,PT11M12.00S,2022-04-05T23:46:25.5Z,1,REGULAR,freethrow,1 of 1,[],1626179,,,1610612766,0,3,2022-04-05T23:46:25Z,140000,,,0,,T. Rozier Free Throw 1 of 1 (3 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
16,PT11M00.00S,2022-04-05T23:46:39.2Z,1,REGULAR,3pt,Jump Shot,[],1629216,30.962549277266753,74.26470588235294,1610612748,0,3,2022-04-05T23:46:45Z,150000,-121.0,239.0,1,left,MISS G. Vincent 26' 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,26.76,Missed,,,,,,,,,,,,,,,,,,,
